titulo,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Analista Senior de Operaciones del Broker,"['Python', 'SQL', 'Excel']","Es una gestora de fondos Peer-2-Peer y un bróker regulado por la FCA (UK) que tiene el compromiso de facilitar la tecnología más innovadora que conecte a traders con inversores.
Es una empresa de producto y tecnología. Su departamento de Tecnología (A-Team) está formado actualmente por 30 personas (50% de toda la plantilla), con más de 25 desarrolladores backend y frontend. Además cuentan con un departamento de operaciones del broker.",Madrid,Remoto parcial,"Buscan a una persona con muchas ganas de aprender sobre los mercados financieros y sin miedo a enfrentarse a nuevos retos. Piensan en una persona con buena capacidad analítica, atención al detalle, resolutiva, buena comunicación y a la que le guste trabajar en equipo.
A continuación, enumeramos algunas de las tareas y responsabilidades que llevarás a cabo:

Monitorización de los mercados financieros.
Configuración y mantenimiento de herramientas de acceso a los mercados.
Estudio e implementación de nuevos instrumentos financieros. FX, Futuros, CFDs, Acciones, ETFs, Cryptos, etc.
Análisis de datos de trading a través de herramientas de Bases de datos.
Gestión de la relación con los proveedores de liquidez.
Monitorización de condiciones de ejecución a los clientes.
Diseño de scripts en Python para Middle Office.
Monitorización del riesgo.
	 
",Jornada completa,De 3 a 5 años de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Data/analista-senior-de-operaciones-del-broker-1064,talenthacker
IoT & Mobility Developer,"['Java', 'Spring Boot']","Comprometida con el ciclo de vida de las personas, atendiendo las necesidades desde recién nacidos hasta personas de la tercera. Siendo una compañía con diversos modelos de negocio, desde el sector hospitalario, pasando por el mundo asegurador siendo un impacto directo hasta finalizando con el entorno del cuidad y atención de los mayores en centros especializados. 
Además de ser una de las compañías con mayor impacto en el día a día de la salud de muchos de nosotros, cuenta con equipo muy fuerte en tecnología teneindo así difertes desarrollos propios dentor del mundo IOT/OT para seguir crecienco a nivel nacional e internacional. ",Madrid,Remoto parcial,"

Realizarás el diseño detallado de los componentes software en base al análisis recibido.


Construirás los elementos de software de acuerdo con la tecnología seleccionada y los test cases necesarios para las pruebas unitarias


Ejecutarás las pruebas unitarias y comprobar el correcto funcionamiento de los elementos SW.


Realizarás las pruebas de integración de los elementos software construidos y la revisión técnica de los desarrollos externalizados


Darás soporte a usuarios en las pruebas de aceptación y realizarás la corrección de incidencias comunicadas por usuarios.

",Jornada completa,De 3 a 5 años de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/iot-mobility-developer-1067,talenthacker
Administrador de Bases de datos SQL,"['MySQL', 'DB2', 'SQL Server']","Nuestro cliente, empresa líder en el sector de la consultoría IT, busca actualmente un Administrador de Bases de Datos. Están especializados en ofrecer diferentes soluciones tecnológicas a empresas en las áreas de ciberseguridad, Ciclo de Vida de Desarrollo de Software, aprovechamiento de Datos, Monitorización de Infraestructuras, Automatización de Procesos (IA y machine learning), Transformación Digital y migración de datos a la nube. Tienen presencia internacional con oficinas en Portugal, Londres, Madrid, Boston, San Francisco y Miami.",madrid,Remoto,"Mantenimiento y sincronización DB2-MySQLMantenimiento tareas sincronización des, pre, demo y producciónSupervisión de la ejecuciónSupervisión de servicios con MySQL.JIRA actuaciones subida producción y tareas diarias.MySQL Supervisión y ejecución de scripts.DB2 supervisión y ejecución de scripts.Modelado, creación de objetos bbdd, índices, optimización de las consultas.Resolución de incidencias.Intervenciones de calidad del dato.Mantener correctamente informado el trabajo en el JiraColaborar con el equipo. ",Jornada completa,4 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Data/administrador-de-bases-de-datos-sql-1074,talenthacker
Senior Engineering Manager,"['Java', 'NoSQL', 'Software Development', 'Agile Software Delivery']",Roche Diagnostics has created a new start-up business charged with building a modern software stack that will change the way patients are cared for. Our challenge is to bring together complex diagnostic and treatment data from medical devices and IT systems within a hospital and intelligently process and present this data to doctors and caregivers to improve patient care.,barcelona,Remoto parcial,"Your key responsibilitiesSoftware Delivery: this is a hands-on management position and you will be expected to be lead the teams to design and deliver software components, with the skills needed to understand and lead the design of the softwarePeople Management: as a people manager, you’ll be responsible for hiring, growing and motivating engineers on your team, ensuring you recruit and retain top talentBest Practices: lead the team to deliver on their commitments, ensuring the design and planning is accurate and work is delivered on time with quality; drive best practices in Agile and Software DeliveryLeadership and Vision: individual and team leadership, with the ability to scale up and inspire multiple teams; long term vision, proactively planning for future organizational growth and driving a technology roadmap ",Jornada completa,10 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/senior-engineering-manager-1071,talenthacker
Salesforce Consultant,"['SalesForce Developer', 'Salesforce Marketing Cloud', 'CDP', 'SFMC']","Our client, a leading company in the IT consulting sector, is currently looking for a Cloud Marketing Consultant. They are specialized in offering different technological solutions to companies in the areas of cybersecurity, Software Development Life Cycle, Data utilization, Infrastructure Monitoring, Process Automation (AI and machine learning), Digital Transformation and data migration to the cloud. They have international presence with offices in Portugal, London, Madrid, Boston, San Francisco and Miami. You will work on a long-term project in the banking sector, allowing you to acquire knowledge of this sector and its ecosystem.",lisboa,Remoto parcial,Data automations (import/export)Integrations with CDP (understanding and effectively addressing data integrations issues within the implemented SF ecosystem and also with the banks platforms.Experience in configuring and parameterizing custom activities and REST endpoints in SFMC. ,Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Data/salesforce-consultant-1076,talenthacker
Java Developer,"['Java', 'Spring Boot', 'SQL', 'WebLogic']","Our client, a leading company in the IT consulting sector, is currently looking for a Senior Java Developer. They are specialized in offering different technological solutions to companies in the areas of cybersecurity, Software Development Life Cycle, Data utilization, Infrastructure Monitoring, Process Automation (AI and machine learning), Digital Transformation and data migration to the cloud. They have international presence with offices in Portugal, London, Madrid, Boston, San Francisco and Miami. You will work on a long-term project for a well-known client in the technology, software and infrastructure sector.",Lisboa,Remoto parcial,"You will be responsible for designing, developing, testing and implementing Java applications using the Spring Boot framework.Develop efficient and maintainable code following best programming practices.utilize the Spring Boot framework to efficiently develop Java applications.Create RESTful web services using Spring Boot for communication between different components of the application.Design and develop micro services using Spring Boot to build distributed and scalable application architectures.Collaborate in the manage of data persistence at microservices level, using  MySQL or SQL Server. Work in agile teams, participating in planning, reviews and retrospectives to collaborate efficiently with other team members. ",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/java-developer-1075,talenthacker
Consultor Datacenter,"['Cloud', 'Azure', 'AWS', 'DataCenter']","Buscamos un Consultor DataCenter para ampliar el equipo de Servicios Centrales, formando parte del equipo de ingeniería dónde apoyar en el entorno Cloud. Buscamos que seas una persona dinámica, abierta a bajarse, a trabajar con todo tipo de cloud y también con capacidad de estar trabajando orientado a negocio y resultados objetivos. ",Madrid,Remoto parcial,"¿Que buscamos? Te dejamos los detalles:


Participación técnica en proyectos y servicios TI de sistemas.- Apoyo a la entrega de servicios en entornos de producción.


Definición de arquitecturas para soluciones de consolidación y virtualización de servidores (VMware) y despliegues en la nube.


Entornos de Alta Disponibilidad (HA).


Apoyo a la integración de diferentes subsistemas tecnológicos (sistemas, almacenamiento, backup, networking, seguridad)


Definición y mantenimiento de la documentación técnica y de servicio.

",Jornada completa,5 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/SysOps/consultor-datacenter-1084,talenthacker
FullStack Engineer,"['.NET', 'C#', 'SQL Server']","It is a global insurance and financial services company offering a wide range of products and services to individual and corporate customers. Its main areas of business include: Life insurance, health insurance, accident and disability insurance, business insurance, financial planning, savings and retirement products, etc. It is important to note that it is a company with a global presence and adats its offerings to local needs and regulations. ",lisboa,Remoto parcial,"You will be working for the Lisbon Office. They are looking for a profile with previous experience developing with .NET using C#. Also with good knowledge of SQL Server. And your main responsabilities are: You will be responsible for the design, development and implemetation of solutions. You will participate in the creation of architectual specifications wich are aliend with the existing platforms at the office. You will be working with cross- function teams for deliveryMentoring Mid/ Junior Software Engineers. ",Jornada completa,3 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Development/fullstack-engineer-1043,talenthacker
Senior Consultant Meta4,"['Meta4', 'RRHH']","Nuestro cliente es una de las más estratégicas consultoras de panorama español que ofrece servicios profesionales centrados en áreas como Auditoría, Consultoría, Impuestos, advisory y Business & Outsourcing.

Actualmente se encuentran en búsqueda de un Consultor y Especialista en Meta4 orientado al desarrollo y formalización de nóminas que se quiera incorporar al equipo de cara a dar servicio a uno de sus más importantes clientes.
 ",Madrid,Presencial,"El candidato que se incorporé se centrará en:

La gestión de manera completa el ciclo de Nómina (carga de incidencias, cálculos IRPF y nómina, comprobaciones, pagos y cierres), para empresa multi-convenio con alto volumen de empleados.
Elaboración de Finiquitos.
Gestión de Préstamos, Anticipos y Embargos Judiciales.
Elaboración de informes mensuales.
Contabilidad de la nómina.
Gestión de impuestos (Nac, Forales y No Residentes) mensuales y anuales (111, 190, 216 y 296).
Conciliación de ficheros CRA (conceptos retributivos abonados).
Gestión de cotizaciones y afiliaciones a la Seguridad Social (Siltra, Sistema Red).
",Jornada completa,De 5 a 9 años de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/Digital/consultant-meta4-955,talenthacker
Helpdesk / Técnico de soporte,['technical_support'],"Our client's employees work every day to help millions of people and businesses prosper, this is its way. The idea is that our actions can have a positive impact on customers, employees, shareholders, and the communities we serve.  To further deliver on our vision, we’ve recently launched a new autonomous company that will comprise our most disruptive payments businesses, creating one of the largest private fintech companies in the world.

This new company will help bring instant digital payments to everyone, everywhere, via a focus on three distinct business verticals:


Merchant Solutions: our goal is to build a global, open merchant payment platform and consolidate Santander as an acquiring world leader.


Trade Solutions: our vision is to deliver fast, efficient trade finance, supply chain, and FX payments solutions for international SMEs that were once only accessible to larger corporations.


Consumer Solutions: our aim is to deliver simple, highly engaging payment solutions for individuals in order to become embedded in our customers’ everyday life.


It is an exciting time to join this newly launched company, with the backing of our client.  We'll value your commitment to our shared success and you’ll benefit from a dynamic, fast-changing working environment with opportunities for career development and ongoing training and support.",Madrid,Remoto parcial," 


Actively monitor the Payments Hub environment, using the tools provided. 


Support deployment activity in order to ensure deployments are carried out with no harm done to the production environment.


Carry out periodic systems checks, noting results in the required way.


Support Incident activity in order to help the team ensure correct resolution.


Run daily maintenance checks, carrying out required system housekeeping.


Be the first point of contact for customers reporting incidents 


Suggest improvements to processes, and routines, and run books to improve efficiency.


Be prepared to work rotating shifts in a 24/7/365 Production environment. 

",Jornada completa,2 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/SysOps/helpdesk-tecnico-de-soporte-693,talenthacker
CIAM LEAD,"['IAM', 'CIAM', 'Cybersecurity', 'Ciberseguridad']","
The company in question is a multinational financial institution headquartered in Spain. It is one of the largest banks in the world in terms of market capitalization and total assets. The company provides a wide range of financial services to individuals, businesses, and institutions, including retail banking, commercial banking, investment banking, and asset management. It operates in numerous countries and has a significant presence in Latin America, Europe, and the United States. The company is known for its strong commitment to corporate social responsibility, particularly in the areas of environmental sustainability and financial inclusion.
 
",Málaga,Remoto parcial,"Our client is looking for a CIAM Lead, responsible for leading a company's Customer Identity and Access Management (CIAM) program. Customer Identity and Access Management is a set of processes, tools, and technologies used to manage and secure customer data and identity in digital interactions with a company. 
As a CIAM Lead, the person would be responsible for designing, implementing and maintaining the company's CIAM strategy, which includes managing the lifecycle of customer identities, ensuring regulatory compliance, protecting customer data privacy and security, and providing a seamless and secure user experience. The CIAM Lead would work closely with cross-functional teams, such as IT, marketing, legal, and compliance, to ensure the effective execution of the CIAM program and drive business outcomes, such as customer acquisition, retention, and loyalty.
 
Key responsibilities:


Functional and technical knowledge of CIAM products, and preferent ForgeRock solutions (DS, AM &amp; IDM).
Lead teams, being responsible for their delivery
Improve functional requirements, having a vision aligned with all stakeholders.
Minimize the technical risk of the project by ensuring that it is carried out in accordance with good practices and architectural recommendations.
Coordinate and validate the developments made by the team.
Ensure the quality and safety of the systems.
Identify the technical needs of the project, to establish requirements for new components, as well as collaborate in their design, configuration, development and testing.
Standardize and implement methodologies to optimize development and operations processes.

 ",Jornada completa,2 años  de experiencia,Indefinido,Salario no disponible,2024-01-27,https://talenthackers.net/spots/SysOps/ciam-lead-927,talenthacker
