titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
ANALISTA DE SISTEMAS,Fermax Technologies,hace 50m,"['SYMFONY', 'PHP']","DESCRIPCIÓN DEL PUESTODe la fuerte apuesta por la digitalización interna surge la necesidad de incorporar un nuevo Analista al Departamento de Sistemas. El candidato ideal tendrá una sólida experiencia en ingeniería, con habilidades en el desarrollo de software, y pasión por la optimización de procesos y la implementación de soluciones digitales.Uniéndote al equipo de Sistemas, bajo la tutela del Director de Digitalización, y con el apoyo del resto de compañeros, ayudarás a mejorar los flujos de trabajo interno para los más de 250 empleados que se reparten entre la sede principal de Valencia, y las delegaciones comerciales distribuidas por el resto de España. Así como a los más de 200 empleados repartidos por las filiales a nivel mundial.FUNCIONES¿Cuál será tu labor en el equipo?Como Analista de Sistemas, trabajarás en la continua transformación digital de Fermax, y tus principales tareas incluirán:Análisis y documentación de flujos de trabajo de diferentes departamentos y procesos.Desarrollar propuestas para la automatización y sistematización de las tareas.Colaborar en el desarrollo de nuevas aplicaciones para la Intranet Corporativa.Integración con APIs de terceros que contribuyan a la digitalización de un proceso.Apoyo en el modelado de Bases de Datos, e implementación de consultas y procedimientos almacenados.También el conocimiento de metodologías agiles y la coordinación y seguimiento a través de tableros Kanban es importante. En nuestro caso usamos ClickUp como gestor de proyectos, y ahí definimos las tareas, y hacemos el seguimiento de los avances.",Valencia,"Fabric. prod. informáticos, electrónicos y ópticos", jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/valencia/analista-sistemas/of-ief80ff6b5142f7b15f8981c34020ee?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Data Scientist/IA Generativa. Madrid,Second Window,hace 50m,"['DATA SCIENTIST', 'IA GENERATIVA', 'PYTHON', 'SLQ', ' GPT', 'OPEN API', ' NPL', ' GLM/REGRESION', 'RANDOM FOREST', 'BOOSTING TREE']","DATA SCIENTIST/IA GENERATIVA (INDRA-BBVA)Te ofrecemos crecer con nosotros en una de nuestras unidades tecnológicas como Data Scientist en una posición híbrida en Madrid, para cliente perteneciente al sector bancarioSi tienes unos 4-6 años de experiencia  como Data Scientist y están interesado en un cambio de proyecto, danos la oportunidad de conocerte!!!¿Qué necesitamos?- Fuertes habilidades de resolución de problemas con énfasis en el desarrollo de productos. - Experiencia en el uso de lenguajes informáticos estadísticos (R, Python, SLQ, etc.) para manipular datos y extraer información de grandes conjuntos de datos. - Experiencia en modelos GenAI: LMM, transformadores, GPT, OpenAI, NPL- Conocimiento de una variedad de técnicas de aprendizaje automático Técnicas estadísticas y de minería de datos: GLM/Regresión, Random Forest, Boosting, Trees, minería de textos, análisis de redes sociales, clustering, aprendizaje de árboles de decisión, redes neuronales artificiales, etc. y sus ventajas/inconvenientes en el mundo real. - Excelentes habilidades de comunicación escrita y verbal para la coordinación entre equipos. -Impulso por aprender y dominar nuevas tecnologías y técnicas.¿Qué ofrecemos?· Contratación indefinida· Modalidad Trabajo: Hibrida en Madrid· Rango salarial: 45-48K b/año (dependiendo experiencia del candidato y expectativas salariales)· Beneficios sociales: Seguro médico privado y seguro de vida· Retribución flexible: tickets restaurante, tickets guardería, tarjeta transporte· 23 días de vacaciones y el día de tu cumpleaños· Plan de formación personalizado.Si sientes que podrías encajar y te apetece la experiencia, ¡ponte en contacto con nosotros! Y te daremos toda la información que necesites.¡Abre una nueva ventana a tu futuro con Second Window! ¡Inscríbete!",Madrid,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido,45.000€ - 48.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/data-scientist-ia-generativa.-madrid/of-i32df14fc404ecf9a7b81944c83a1ee?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Técnico de Gestores de Red de Transmisión (SDH y DWDM),Insyte instalaciones,hace 52m,"['Mantenimiento', 'Transmisión (telecomunicaciones)']","Trabajos de ingeniería y de atención de la demanda sobre equipos de tecnología JDS (SDH) y DWDM Tareas/ Funciones: Operar sobre los gestores de los equipos JDS y DWDM de Alcatel-Lucent-Nokia, Ericsson y Huawei para reconfiguraciones de tráfico, integración de tarjetas y alta/baja de equipos. Requisitos mínimos: Conocimientos y experiencia en tecnología JDS (SDH) y DWDM, sus equipos y sus gestores de elementos. Requisitos deseados: Se valorará haber trabajado en la planta de Telefónica en actividades de operación, mantenimiento o ingeniería de esta tecnología ( Transmisión). Se valorará especialmente conocer los equipos y gestores de los fabricantes Ericsson, Nokia, Lucent y Alcatel. Inglés Técnico Información adicional. Por las característica del trabajo se requiere disponibilidad para jornada irregular ( 60%-30%-10%) Competencias Personales Capacidad de aprendizaje Proactividad Solución de problemas Autonomía Capacidad de análisis Creatividad Planificación y control Capacidad para detectar riesgos",Getafe,Telecomunicaciones, jornada completa,al menos 1 año,indefinido,o disponible,2024-01-29,https://www.infojobs.net/getafe/tecnico-gestores-red-transmision-sdh-dwdm/of-i68f922b49b43fe897cd6514d8eb56d?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Perfiles Data Engineer / Remoto 100%,Azertium IT Global Services SL,hace 53m,"['ETL', 'Python', 'SQL', 'Apeche NIFI', 'Análisis', 'Modelado', 'Modelado de datos']","¡Estamos ampliando el equipo! ¡En Azertium IT te buscamos! Nos urge incorporar perfiles de Consultor y Senior Data Engineer con al menos 2 y 4 años de experiencia en el puesto y sector IT, para formar parte de nuestro equipo con grandes retos, trayectoria y crecimiento profesional.Modalidad de trabajo 100% EN REMOTO. Experiencia requerida: -  Experiencia de al menos 2 y/o 4 años en BI. - Experiencia en desarrollo de proyectos en Python, SQL, Apache NiFi. - Experiencia en toma de requisitos, análisis , diseño y desarrollo de procesos ETL/ELT, modelado de datos e implementación de Datamarts (solo para los perfiles senior). - Deseable pero no imprescindible inglés nivel medio-alto para participar en proyecto internacional.Ofrecemos formación, contrato indefinido, desarrollo y flexibilidad laboral.",Madrid,LBC, jornada completa,al menos 2 años,indefinido,36.000€ - 42.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/perfiles-data-engineer-remoto-100/of-i0f3966d0ac4e9a898f28f9ef75ecfb?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Consultor Técnico Gestión de identidad (Madrid),Azertium IT Global Services SL,hace 54m,"['Control de accesos', 'CISSP', 'ISO 27001', 'Control de acceso', 'Gestión de equipos', 'Seguridad', 'Gestión de proyectos', 'Proactividad', 'Resolución de problemas', 'gestión de identidades']","¡Estamos ampliando el equipo! ¡En Azertium IT te buscamos! Nos urge incorporar un Consultor Técnico en Gestión de identidades y Coordinación de equipos con al menos 5 años de experiencia en el puesto y sector IT, para formar parte de nuestro equipo con grandes retos, trayectoria y crecimiento profesional.Modalidad de trabajo 50% teletrabajo y 50% presencial (zona Madrid ciudad). Experiencia requerida: - Experiencia en la coordinación de equipos técnicos, liderazgo o gestión de proyectos. - Conocimientos Técnicos en sistemas de gestión de identidades y control de accesos. - Experiencia en implementación y mantenimiento de soluciones de seguridad, como firewalls, VPNs y sistemas de detección de intrusiones. Familiaridad con estándares de seguridad y cumplimiento (por ejemplo, ISO 27001, GDPR, etc.). - Habilidades Técnicas Específicas en el uso de herramientas específicas de gestión de identidades y control de accesos (por ejemplo, NetIQ, Azure AD, Okta, CyberArk, etc.). - Conocimientos en tecnologías de autenticación multifactor (MFA) y políticas de acceso. - Habilidades de Coordinación y Gestión: Habilidades demostradas en la coordinación y gestión de equipos técnicos. Capacidad para liderar proyectos, asignar tareas y garantizar la entrega oportuna de soluciones. - Habilidades Interpersonales: Excelentes habilidades de comunicación oral y escrita. Capacidad para trabajar en equipo y colaborar con otros departamentos.- Adaptabilidad y Resolución de Problemas: Habilidad para adaptarse a entornos dinámicos y resolver problemas de manera efectiva. Capacidad para tomar decisiones informadas y estratégicas. - Cualidades Personales: Proactividad y capacidad para trabajar de manera autónoma. Orientación a resultados y atención al detalle.- Deseable certificaciones relevantes en gestión de identidades y control de accesos (por ejemplo, CISSP, CISM, CompTIA Security+).Ofrecemos formación, contrato indefinido, desarrollo y flexibilidad laboral.",Madrid,LBC, jornada completa,al menos 4 años,indefinido,36.000€ - 39.000€ Bruto/año,2024-01-29,https://www.infojobs.net/madrid/consultor-tecnico-gestion-identidad-madrid/of-iec8a0fb5474daa8df2af9e9cc48465?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
PROGRAMADOR/DESARROLLADOR DE SISTEMAS  FULL STACK,INEXO SA,hace 57m,[],"Se necesita Programador/Desarrollador de sistemas,  Full Stack.Grado en Ingeniería del Software o similar/ Ingeniero de software.Experiencia trabajando en equipos de desarrollo.Si eres un Ingeniero de software y estás buscando nuevos horizontes profesionales en sectores de  crecimiento y con gran recorrido en la transformación digital. Estamos creando un equipo  de desarrollo y ofrecemos la posibilidad de trabajar en nuestras oficinas de Valladolid y en remoto. Únete a una empresa fuerte y en crecimiento y desarrolla todo tu potencial trabajando en proyectos relevantes en el sector de la arquitectura,  energía e infraestructuras.Tus principales funciones serán: -Análisis ,  diseño  y desarrollo de aplicaciones y plataformas software-Participar en las fases de diseño y definición de la arquitectura de las aplicaciones.- Actividades internas de I+D en tecnologías de proceso de la informaciónTe ofrecemos:-Formar parte de un equipo técnico de desarrollo de aplicaciones usando tecnologías y métodos de  trabajo modernos.-Desarrollo profesional en proyectos de relevancia-Salario  competitivo acorde a experiencia y valía-Flexibilidad horaria y modalidad de trabajo remoto-Trato cercano y respetuoso,  en un entorno inclusivo- Entorno de trabajo colaborativo.",Valladolid,"PROGRAMADOR SISTEMAS, FULL STACK", jornada completa,al menos 1 año,indefinido,o disponible,2024-01-29,https://www.infojobs.net/valladolid/programador-desarrollador-sistemas-full-stack/of-iabf37465ba4cdbb86995354b8e6f8f?applicationOrigin=search-new&page=2&sortBy=PUBLICATION_DATE,infojobs
Técnico/a NETWORKING Redes y Seguridad,INETUM Centro,hace 1h,['Networking'],"Desde INETUM, buscamos incorporar un/a Técnico de Networking - Redes y Seguridad, para uno de nuestros proyectos en el sector Telecomunicaciones. Se trata de una posición estable, ubicada en Madrid con un modelo de trabajo de manera presencial ALCOBENDASExperiencia y conocimientos:- Soporte a la infraestructura MPLS de Red Eléctrica- Soporte a la infraestructura de Firewalls de Red Eléctrica- Proyectos de migración e implantación, renovación tecnológica, etc- Evolución de las plataformas de monitorización y del servicio en general- Documentación de las actividadesRequisitos del perfilConocimientos principales:- Redes en general: troubleshooting y despliegue de infraestructura- BGP y MPLS- Firewalls Fortinet- Scripting: Python, shell, etc- Herramientas de gestión del servicio: Service Now,Horario de OficinaPresencial Alcobendas¿ESTAMOS HABLANDO DE TI? ¡NO TE VAYAS TODAVÍA!¿QUÉ PODEMOS OFRECERTE?- Contratación indefinida.- Salario Competitivo.- Retribución flexible y club de beneficios de empresa.- 22 días de vacaciones + 2 de asuntos propios.- Flexibilidad horaria.- Sistema de teletrabajo flexible.- Formación por parte de la empresa para que puedas seguir desarrollándote y promocionar dentro del plan de carrera que existe para ti.- Acceso a ventajas del grupo de empresa.¿Eres la persona que buscamos? Inscríbete en nuestra oferta y haznos llegar tu perfil completo. ¡Estamos deseando contar contigo!Inetum es una compañía de IT ágil que proporciona servicios y soluciones digitales y un grupo global que ayuda a compañías e instituciones a aprovechar al máximo el flow digital. En un contexto de continuo movimiento, en el que las necesidades y los usos se reinventan constantemente, el grupo Inetum se compromete con todos esos actores a innovar, seguir adaptándose y mantenerse a la vanguardia. Con su perfil multi-experto, Inetum ofrece a sus clientes una combinación única de proximidad, organización sectorial y soluciones de última generación. Presente en más de 27 países, el Grupo tiene cerca de 27.000 empleados y en 2021 generó unos ingresos de 2.200 millones de euros.Únete a Inetum. Live your positive digital flow.",Alcobendas,RCP, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/alcobendas/tecnico-networking-redes-seguridad/of-idc61ac6f1344658aa43654f115b6ad?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Analista Programador/a .Net Azure,NexTReT,hace 1h,"['.NET', 'PowerShell', 'Microsoft Azure', 'API', 'REST', 'Angular', 'React', 'Git']","Contamos con dos posiciones como analista programador senior en tecnologías .NET Core y Azure, con una experiencia de entre 3 y 5 años para unirse a nuestra oficina de proyectos.Se trata de una posición híbrida, con un 60% de teletrabajo, y podrás trabajar desde la oficina de Madrid o Barcelona.¿Qué harás en NexTReT? Si te incorporas a NexTReT, formarás parte del equipo de Desarrollo de Software y te integrarás en el equipo de soluciones Microsoft, especialmente en proyectos y servicios orientados a .Net y Azure. Formarás parte del equipo de Desarrollo de Software (ADV) y te integrarás en el equipo de soluciones Microsoft, y especialmente en proyectos y servicios orientados a .NET y Azure.Participarás en el desarrollo de proyectos como programador y en la documentación de las soluciones a implementar.De forma genérica participarás en el ciclo de vida completo de las soluciones desarrolladas.¿Qué funciones realizarás? - Desarrollo de aplicaciones .NET Core, MVC, SPA.- Conocimientos de Azure Apps, BBDD cloud, desarrollo de API REST y Azure Funtions, API Management- Conocimientos de Angular, React, Vue y Node.js.- Colaboración con equipo de desarrollo de proyectos y servicios- Azure Devops- En dependencia de jefe de proyecto del área de desarrollo- Elaboración de documentación técnica- Preparación de planes de pruebas y su ejecución.¿Cómo te imaginamos? Buscamos un perfil senior, que haya trabajado como Analista programador al menos entre 3 y 5 años en el desarrollo de aplicaciones, especialmente c# y entornos cloud con Azure.Formación universitaria tecnológica, o ciclo formativo de grado superior tecnológico.Con buena capacidad de comunicación en el trabajo en equipo y orientado a resultados. Que tenga pasión por la tecnología y la innovación con una visión general en el ámbito tecnológico de los proyectos. ¿Qué ofrecemos? - Contrato indefinido.- Salario competitivo en función de experiencia y conocimientos aportados que está alrededor de 30.000-38.000€ brutos/anuales.- Teletrabajo al 60%.- Podrás trabajar en las oficinas de Madrid o Barcelona. Oficinas con ubicación céntrica y bien comunicada. - Horario flexible. Habitualmente L-J de 9 a 14 y 15 a 18:30. V de 9 a 15- Beneficios adicionales, como la opción de solicitar tickets guardería y la posibilidad de unirte a nuestro seguro de salud colectivo.- Te unirás a una empresa comprometida con la igualdad de oportunidades para todas las personas, que se esfuerza por mantener un entorno laboral inclusivo y libre de discriminación. Valoramos la diversidad, por lo que consideraremos todas las candidaturas sin importar su origen, género, edad, religión, orientación sexual o cualquier otra característica personal.“En el caso de ser considerado finalista y seleccionado para incorporarse en NexTReT, le solicitaremos información adicional para poder cursar la contratación, con la única finalidad de poder acreditar fehacientemente la información de su CV, especialmente en cuanto a titulaciones académicas e información profesional relevante del CV. Si tuviera dudas sobre como aportar información de forma parcial, podrá indicarlo a la persona que gestione, en su caso, su contratación”.",Barcelona,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido,30.000€ - 39.000€ Bruto/año,2024-01-29,https://www.infojobs.net/barcelona/analista-programador-.net-azure/of-iae03ab87184d4d81bacf487c9c94a5?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Desarrollador .NET,ACM INNOVACION Y PERSONAS SL.,hace 59m,"['.NET', 'Git', 'Angular']","Estamos seleccionando a un desarrollador de aplicaciones .NET, con al menos 5 años de experiencia para ser contratado por una excelente compañíaSe requiere conocer .NET 6 MVC, Angular, Git y tener capacidad de resolución de problemasEs una gran oportunidad profesionalEl puesto es híbrido, 2 días a la semana en oficina",Manresa,Servicios de RRHH, jornada completa,más de 5 años,indefinido,39.000€ - 44.000€ Bruto/año,2024-01-29,https://www.infojobs.net/manresa/desarrollador-.net/of-i5f688fda2348ffabf3b06168910d50?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
"Software Development Engineer, Multiple EU locations",Amazon Europe Core,hace 59m,[],"Join our Software Development Engineer opportunities in the Stores Tech Organization teams in EMEA in  * Madrid  * Berlin  * Luxembourg  * Dublin  * London  You will decide the location and Amazon will support your relocation. Come build the future with us!  As a Software Development Engineer you will contribute to all aspects of an agile software development life cycle including design, architecture, development, documentation, testing and operations. You will push your design and architecture limits by owning all aspects of solutions end-to-end, through full stack software development. Taking pride in both the technical and business contribution of your work, you will be given the chance to have a significant impact on our systems, our business and our customers. You will design and implement new features and be part of a team that is building the future of online retail.  Key job responsibilities  Great candidates for this position possess a sound understanding of computer science and a passion to make a profound impact for our customers. You will have the opportunity to apply this passion by leveraging your technical skills in areas such as algorithms, object-oriented design, distributed systems, web development, front-end/back-end design, and more. You will also have the opportunity to collaborate with diverse business and technical partners to shape our technology.  About the team  Here at Amazon, we embrace our differences and are committed to furthering our culture of inclusion. We offer 13 employee-led affinity groups with 190 global chapters. Some examples include the Amazon Women in Engineering (AWE), People with Disabilities (PwD) and Mental Health and Well-Being (MHW) at Amazon.  We actively recruit people from diverse backgrounds to build a supportive and inclusive workplace, and take steps to ensure employees have a sense of belonging, value, and opportunity.  The perks of being an Amazon employee don't stop at collaborating with great people on exciting and innovative projects. Amazon's benefits support the needs of our diverse workforce and their family members, no matter what stage they're at in their life or career. For more details about benefits, check here https://www.amazon.jobs/en/benefits/global  We are open to hiring candidates to work out of one of the following locations:  Madrid, M, ESP",Madrid,216419, jornada completa,más de 5 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/software-development-engineer-multiple-eu-locations/of-i645ec8405e47e9bf9a7042a6f1b72e?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
"Business Analyst, Sustainability Maintenance Services (SMS) Team",Amazon Europe Core,hace 59m,[],"The Amazon Reliability, Maintenance Engineering (RME) team is seeking an exemplary Business Analyst with broad technical skills to develop data visualizations and build automation solutions that drive business decision making and process improvement.  The ideal candidate would be creative, innovative, team oriented, an effective communicator, have a desire to participate in change and appreciate a dynamic environment with rapidly changing priorities.  Key deliverables of the role:  - Develop new analytical tools, interfacing with business and technical stakeholders;  - Develop models and metrics providing insights on customer and seller experience and performance  - Manage the business metrics reporting process;  - Drive process efficiency and automation;  - Collaborate with key stakeholders across the network to come up with new customer opportunities/insights.  We are open to hiring candidates to work out of one of the following locations:  Barcelona, ESP",Barcelona,216417, jornada completa,al menos 1 año,indefinido,o disponible,2024-01-29,https://www.infojobs.net/barcelona/business-analyst-sustainability-maintenance-services-sms-team/of-ia0312b3e8a46709951612d051c2e6f?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Administrador sistemas Openshift/Linux/Ansible,CIVIR,hace 1h,"['Bash', 'Linux', 'VMware', 'Ansible', 'Openshift', 'Kubernetes']","Seleccionamos, para proyecto cloud de transformación digital en importante grupo bancario, un/a Caas Support.Funciones:El candidato tendrá que realizar labores de ingeniería y evolución del producto que englobe todas sus fases (diseño, implementación, automatización, testeo y documentación). El producto es OpenShift / AKS / EKS / GKE en distintos proveedores de nube (VMware on-premises/Azure/AWS...) y todos los procesos, herramientas ysistemas que van alrededor del mismo. especial hincapié en operadores oficiales de openshift, así como de comunidad.La posición tiene una parte específica de implementación de operadores dentro de los clusters en kubernetes/openshift.IMPRESCINDIBLE EXPERIENCIA DE AL MENOS 2/3 AÑOS ADMINISTRANDO OPENSHIFTRequisitos:ObligatoriosContenedores (docker/podman...) Openshift/Kubernetes Linux Ansible Bash Skills deseados Python Terraform VMware Azure AKS AWS EKS Por nuestra parte, ¿qué ofrecemos?-Para nosotros, la estabilidad es muy importante. Por ello, nuestros pcontratos son de carácter indefinido.-La formación y el crecimiento de nuestros empleados también es muy importante. Por ello, te apoyaremos en las necesidades formativas que tengas, queremos crecer junto a ti.-Nos adaptamos a tus necesidades para el cambio en la medida de lo posible-Tenemos un paquete de beneficios sociales para facilitarte el día a día, que podrás escoger según tus necesidades-Te damos la posibilidad de dar clases inglés con nuestra profesora de inglés nativa, totalmente gratuitas-Tanto en la incorporación como en el día a día, estarás totalmente acompañado por el equipo humano de Civir-Trabajamos de manera personalizada en cada empleadoEn CIVIR valoramos la diversidad y facilitamos la inserción de personas con discapacidad priorizando su candidatura. No dudes en aplicar a nuestras ofertas.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/administrador-sistemas-openshift-linux-ansible/of-if26859d13f4c5a9faadf7135029cbc?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Scrum Master,Sopra Steria,hace 1h,"['Scrum Master', 'Agile Coach', 'Lean']","En Sopra Steria trabajamos para hacer posible la transformación digital de nuestros clientes y para conseguirlo necesitamos seguir creciendo y sumando gracias a personas como tú.Nuestros empleados coinciden en el gran equipo y ambiente que formamos en Sopra Steria. Somos más de 46.000 personas trabajando en 25 países y nuestra misión es unir talento y tecnología, tratando de ayudarte a que encuentres un lugar en el que poder desarrollar todo tu potencial.¿Te atreves a crear el futuro?Para acompañarnos en este camino estamos buscando, un/a Scrum Master / Agile Coach para nuestra Agencia.FUNCIONES:- Liderar técnicas Agile (dailys, retros, etc)- Impartir talleres sobre modelos Agile.- Dinamizar el entorno colaborativo.- Servir de Agile Coach dando apoyo a los diferentes proyectos y áreas de la Agencia.¿Qué ofrecemos?Porque sabemos que lo necesitas...• Facilidades para ti, para tu tiempo. ¡No todo va a ser trabajo!• Participa en proyectos retadores. ¿Te animas a aprender algo nuevo?• Crece con un programa de desarrollo continúo personalizado.• Disfruta de nuestros Beneficios y accede al Plan de retribución flexible.• Continúa formándote con nosotros: Tecnología, habilidades, metodologías e idiomas.• Smart Sessions ¿Tienes algo que contarnos?¡Atrévete a trabajar de una forma diferente y conócenos!",Sevilla,"
Informática y telecomunicaciones -
													Gestión de proyectos
", jornada completa,al menos 4 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/sevilla/scrum-master/of-ib724b2e70848ebaa36f844877535a7?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Técnico de Sistemas Junior,HAYS Working for your Tomorrow,hace 1h,[],"En Hays estamos colaborando con empresa líder en la fabricación de maquinaria y equipos de energía renovable, especializándose en el diseño, construcción y operación de aerogeneradores. Con más de 35 años de experiencia en el aprovechamiento del viento, la compañía cuenta con fábricas a nivel mundial en más de 32 países.Actualmente buscamos un/a Técnico de Sistemas Junior para incorporarse a su equipo de trabajo.¿Cuáles serán tus funciones?Análisis y comprensión de las soluciones actuales implementadas.Identificación de integraciones y dependencias del sistema.Definición de prerrequisitos para las soluciones.Creación de la base de Conocimiento mediante la transformación de conocimiento Implícito y Tácito a Conocimiento Explícito en forma de documentación.Soporte y creación y definición de procedimientos de recuperación de Sistemas y Aplicaciones.Soportar requerimientos adicionales de proyectos.Ayudar a ejecutar y apoyar las actividades del proyecto con los diferentes equipos del proyecto.Ayudar e intentar realizar un seguimiento y cumplir con el plan de actividades del proyecto.¿Cuáles son los requisitos?Formación en Ingeniería Informática, Ciclo Superior de Sistemas o similar.Experiencia previa en un rol similar.Conocimientos básicos en el área de aplicaciones y arquitectura de red.Experiencia en Virtualización VMWare, Domain Servicesm Azure, O365, Sharepoint.Conocimientos en Hyper V, Network/Applications Arquitecture, System Storage NETAPP.Capacidad para trabajar en equipo y buena interlocución.Inglés intermedio, comunicación internacional puntual.¿Qué ofrecemos?Proyecto estable con contrato indefinido.Modalidad de trabajo: híbrido flexible (1 día/semana oficinas)Ubicación: Madrid.Horario flexible, viernes y verano jornada intensiva.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 1 año,indefinido,o disponible,2024-01-29,https://www.infojobs.net/madrid/tecnico-sistemas-junior/of-i42b08dbb8541a2b3407429614ff597?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Jefe/a de Proyecto,Sopra Steria,hace 1h,[],"En Sopra Steria trabajamos para hacer posible la transformación digital de nuestros clientes y para conseguirlo necesitamos seguir creciendo y sumando gracias a personas como tú.Nuestros empleados/as coinciden en el gran equipo y ambiente que formamos en Sopra Steria. Somos 50.000 personas trabajando en 30 países y nuestra misión es unir talento y tecnología, tratando de ayudarte a que encuentres un lugar en el que poder desarrollar todo tu potencial.Nos gustaría incorporar en nuestro equipo un/a Jefe/a de Proyectos para colaborar en un proyecto de administración pública, donde trabajara con herramientas de Administración Electrónica. ¿Qué ofrecemos?Porque sabemos lo que necesitas…• Facilidades para ti, para tu tiempo. ¡No todo va a ser trabajo!• Participa en proyectos retadores. ¿Te animas a aprender algo nuevo?• Crece con un programa de desarrollo continúo personalizado.• Disfruta de nuestros Beneficios y accede al Plan de retribución flexible.• Continúa formándote con nosotros: Tecnología, habilidades, metodologías e idiomas.¡Atrévete a trabajar de una forma diferente y conócenos!",Sevilla,"
Informática y telecomunicaciones -
													Gestión de proyectos
", jornada completa,más de 5 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/sevilla/jefe-proyecto/of-ib9a6336cfb43cdbb176eb691d1317c?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
Técnico/a NETWORKING Redes y Seguridad,INETUM Centro,hace 1h,['Networking'],"Desde INETUM, buscamos incorporar un/a Técnico de Networking - Redes y Seguridad, para uno de nuestros proyectos en el sector Telecomunicaciones. Se trata de una posición estable, ubicada en Madrid con un modelo de trabajo de manera presencial ALCOBENDASExperiencia y conocimientos:- Soporte a la infraestructura MPLS de Red Eléctrica- Soporte a la infraestructura de Firewalls de Red Eléctrica- Proyectos de migración e implantación, renovación tecnológica, etc- Evolución de las plataformas de monitorización y del servicio en general- Documentación de las actividadesRequisitos del perfilConocimientos principales:- Redes en general: troubleshooting y despliegue de infraestructura- BGP y MPLS- Firewalls Fortinet- Scripting: Python, shell, etc- Herramientas de gestión del servicio: Service Now,Horario de OficinaPresencial Alcobendas¿ESTAMOS HABLANDO DE TI? ¡NO TE VAYAS TODAVÍA!¿QUÉ PODEMOS OFRECERTE?- Contratación indefinida.- Salario Competitivo.- Retribución flexible y club de beneficios de empresa.- 22 días de vacaciones + 2 de asuntos propios.- Flexibilidad horaria.- Sistema de teletrabajo flexible.- Formación por parte de la empresa para que puedas seguir desarrollándote y promocionar dentro del plan de carrera que existe para ti.- Acceso a ventajas del grupo de empresa.¿Eres la persona que buscamos? Inscríbete en nuestra oferta y haznos llegar tu perfil completo. ¡Estamos deseando contar contigo!Inetum es una compañía de IT ágil que proporciona servicios y soluciones digitales y un grupo global que ayuda a compañías e instituciones a aprovechar al máximo el flow digital. En un contexto de continuo movimiento, en el que las necesidades y los usos se reinventan constantemente, el grupo Inetum se compromete con todos esos actores a innovar, seguir adaptándose y mantenerse a la vanguardia. Con su perfil multi-experto, Inetum ofrece a sus clientes una combinación única de proximidad, organización sectorial y soluciones de última generación. Presente en más de 27 países, el Grupo tiene cerca de 27.000 empleados y en 2021 generó unos ingresos de 2.200 millones de euros.Únete a Inetum. Live your positive digital flow.",Alcobendas,RCP, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-29,https://www.infojobs.net/alcobendas/tecnico-networking-redes-seguridad/of-idc61ac6f1344658aa43654f115b6ad?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE,infojobs
