titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,url,portal
Analista Programador/a Java (Horario Tardes),Redsys,29/01/2024,"java, Rest, Soap, WEB","Redsys, compañía líder en medios de pago en España, requiere incorporar en plantilla interna a varios perfiles para participar en un novedoso proyecto en LATAM. El horario comenzará a las 15:00 horas hasta las 23:00h aprox. El trabajo puede realizarse desde otras provincias ya que tendrán alto porcentaje en remoto.Buscamos desarrolladores y analistas programadores bajo tecnología JavaEntre las responsabilidades:• Colaborar con el análisis, diseño y definición de módulos/aplicaciones y en su arquitectura.• Mantenimiento y desarrollo de aplicaciones.• Diseño, documentación y ejecución de batería de pruebas.• Cumplir con los calendarios de entrega de trabajos.• Aplicar las normas de calidad definidas.• Soporte y resolución de incidencias en entorno de Producción• Colaborar con el resto del equipo al que pertenece en la transmisión del conocimiento.• Asistir a reuniones con clientes del proyecto en el que participe.Conocimientos específicos para Java:• 4-5 años de experiencia Java 8.• 4-5 años de experiencia en desarrollo de servicios REST.• Dominio de lenguajes para el desarrollo de aplicaciones web en capa cliente y servidor: HTML, Javascript, JQuery, AngularJS, CSS• Dominio en Sistemas de Control de Versiones y Repositorios de Código Fuente. GIT, SVN.• Conocimientos Base de Datos relacionales (DB2) y frameworks de persistencia de datos: Hibernate, JPA• Conocimientos de todo el ciclo de vida de desarrollo web.• Conocimientos en el desarrollo seguro para aplicaciones web.• Conocimiento en Agile (Kanban, Scrum).",Córdoba (Híbrido),Analista Programador,Jornada completa,3-5 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/analista-programador-java-horario-tardes-hibrido/java-rest-soap-web-angula/rf-58b411c4324623176a42,tecnoempleo
Analista Prog. COBOL CICS DB2 (Alemán C1),Incoming Domain,29/01/2024,"cobol, cics, db2","TELETRABAJO para Desarrolladores (AF, AT, AP, PS) en alguno de los siguientes entornosOFERTAS ACTIVAS:( SE VALORARA NIVEL DE INGLES C1)( NIVEL ALEMAN C1CORE BANKING: CONOCIMIENTO GENERAL DE BANCA ( NO REQUIERE INGLES )                  1.- ANALISTA  DE REQUERIMIENTOS ,  FUNCIONAL  Y  PRUEBAS DE USUARIO                   2.- ANALISTA CORE BANKING REGULATORIO ( MERCADOS FINANCIEROS Y MEDIOS DE PAGO)DWH / ETL . . : INFORMATICA, PL-SQLFrontEnd. . . . : HTML5, HTML, CSS3,APPVERSE, QWT, JAVA SCRIPT , REACTBackEnd. . . . : Indispensable APIs, Spring MVC, API, Maven, GIT, JIRA,. . . . . . . . . . . . : Docker, Kubernetes, Openshift, JUnit, Nexus, SonarQ,. . . . . . . . . . . . : Spring Data, Swagger, AgileJAVA. . . . . . . : J2EE, J2SE,SCRIPT,(SHELL,PYTHON,PERL). . . . . . . . . . . . : MICROSERVICIOS. . . . . . . . . . . . : (SVN,GIT) (API Rest,RAML,Springboot,). . . . . . . . . . . . : (JIRA,REMEDY,GITLAB)HOST . . . . . . : COBOL, CICS,, DB2 , JCLMicrosoft . . . : .NET, C#, VISUAL BASIC ANGULAR , SQL SERVERMobility. . . . . : IOS, ANDROIDOther . . . . . . : C/C++,VISUAL BASICTesting . . . . . : QA, SCRUM,AUTOMATION, MANUAL...DBA . . . . . . . : LINUX,DOCKER,KUBERNETES,JENKINS,ANSIBLE. . . . . . . . . . . .: (MAVEN,GRADLE)(JUNIT,KARMA,JASMINE). . . . . . . . . . . . : (PYTHON,JAVA,GROOVY). . . . . . . . . . . . : (ADMINISTRACION DE REDES)DATABASE . . . : SQL Server, ETLs,DTSX, VISUAL BASIC , . NET , SASTIBCO :                BPM , LINUX",Madrid - España,Analista,Jornada completa,3-5 años,Indefinido,21.000 €-30.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/analista-prog-cobol-cics-db2-aleman-c1-madrid/cobol-cics-db2/rf-c2c817b5922103525940,tecnoempleo
Desarrollador/a PL/SQL,NPR Spain,29/01/2024,"pl/sql, javascript, html5, c++","En NPR, siempre estamos en continua evolución incorporando nuevas tecnologías para conseguir los mayores estándares de calidad. Para ello, estamos ampliando nuestros equipos y buscamos un desarrollador/a PL/SQL con experiencia de al menos 2 años y con conocimientos de software de almacenes o de gestión de materiales en fábricas (SGA o SGP).¿QUÉ REQUISITOS TÉCNICOS SON NECESARIOS?Formarás parte de uno de los equipos de una gran multinacional española, pero para ello necesitamos que tengas conocimientos en lenguajes de programación.Imprescindible:• PL/SQL• C++• HTML5• JavaScriptDeseable:• Ingeniero Informático o similar.• Inglés nivel medio/alto.• Conocimientos de la industria farmacéutica, alimentación o similar.¿QUÉ OFRECEMOS?- Salario a convenir.- Desarrollo profesional y personal dentro de la empresa.- Formación y actualización continua.- Ubicación: Azuqueca de HenaresEnvíanos ya tu CV, te estamos esperando.",Guadalajara (Presencial),Desarrollador Web,Jornada completa,3 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/desarrollador-pl-sql-presencial/pl-sql-javascript-html5-c-sga-sgp-almacene/rf-b6fa1b7af220634e0e41,tecnoempleo
BI/EPM Consultant,Michael Page,29/01/2024Nueva,"BI, CPM","Perfil buscado (Hombre/Mujer)• Desarrollar soluciones técnico-funcionales en áreas como Análisis de Datos, Modelado de Datos, Diseño de Procesos y Arquitectura de Datos utilizando software líder en Business Intelligence y Gestión del Rendimiento Corporativo, para clientes importantes en sectores variados como Servicios Públicos, Energía, Banca, Sanidad y Fabricación.• Realizar análisis funcional del modelo de negocio.• Definir, gestionar y personalizar proyectos estratégicos de BI y CPM.• Contratación directamente en cliente final. |Proyecto internacional• Titulación en disciplinas técnicas o económicas (Ingeniería de Gestión, Ingeniería Informática, Informática, Administración de Empresas).• Experiencia de 1 a 2 años en consultoría, implementación y gestión de proyectos de BI & CPM.• Buenos conocimientos en lenguajes de programación y bases de datos.• Se valorará experiencia en el software BOARD.Empresa dedicada a consultoría de BI.Oportunidad Contrato indefinido y paquete salarial y beneficios competitivos;Ambiente internacional;Oportunidades reales de carrera y crecimiento profesionalEntorno dinámico.",Madrid - España,Consultor,Jornada completa,2 años,Indefinido,27.000 €-36.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/bi-epm-consultant-madrid/bi-cpm/rf-a0561760829ad31da64e,tecnoempleo
IT Support Lead,Michael Page,29/01/2024Nueva,"Windows, MacOS","Perfil buscado (Hombre/Mujer)* Demonstrate strong ownership on committed tasks.* Responsible for managing escalations within the GTS Function Onsite scope.* Responsible for monitoring service quality according to KPI´s, creating reports, and data analysis.* Proactively identify gaps, propose improvement actions, and explore solutions.* Suggest or create valuable documentation articles.* Input into team meeting agenda and coordinate operational tasks and BAU.* Be available to support users and provide constructive feedback.* Build profitable relationships with vendors and third-parties, with the ability to negotiate and procure, aligned with budget control.* Maintain confidentiality when dealing with sensitive or personal issues.* Participate in Interviews, lead operational meetings, and project management.• Expertise and interest in Audio-visual and videoconferencing equipment|Spanish is not required* Knowledge of Windows 10, MacOS, networking components, services, inventory tools, deployment software, endpoint management consoles, and user profiles.* Experience coordinating projects such as HW or SW implementation, office moves, assets lifecycle, etc. especially if at international level.* Expertise and interest in Audio-visual and videoconferencing equipment, especially Crestron and MTR devices. Including supporting corporate live events.* Experience with Service ticketing and Inventory tools (GSD, Jira).* ITIL Oriented, ITIL v4 is positively valued.* Ability to innovate and develop creative and efficient solutions (I+D).* Programming and scripting knowledge for automating is very valued.PageGroup SSC• Food Voucher (1540 euros NET/year)• Health Insurance (Cigna)• Life Insurance• Gym discounts • Bonus• Fruit in the office",Barcelona - España,Soporte Técnico,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/it-support-lead-barcelona/windows-macos/rf-c3b619e7522f8343fe40,tecnoempleo
Project Manager,Page Personnel,29/01/2024Nueva,Project Manager,"Perfil buscado (Hombre/Mujer)• Project Planning: Develop a detailed project plan that includes defining objectives, scope, timelines, required resources, and budget.• Resource Management: Assign tasks and responsibilities to team members, ensuring they have the necessary resources to carry out their functions.• Progress Monitoring: Oversee project progress to ensure deadlines are met and established milestones are achieved.• Risk Management: Identify and assess potential project risks, develop mitigation strategies, and be prepared to address unforeseen issues.• Communication: Keep all stakeholders informed about project progress, potential issues, and implemented solutions.• Team Coordination: Facilitate collaboration among team members and ensure effective communication.• Problem Solving: Address problems and challenges that arise during the project, seeking effective solutions and minimizing negative impacts.• Important Company in Barcelona|Searching for a Project Manager• Strong communication skills.• Ability to present complex technical concepts to a non-technical audience.• Must be proactive, innovative, and creative in meeting user needs.• Customer service-oriented and empathetic to user demands.• Ability to work independently with minimal supervision.• Energy and enthusiasm for learning, along with a clear desire to continue to develop and grow in knowledge and experience.• Team player.• Organizational and leadership skills.• Able to work on multiple projects simultaneously.Important company located in Barcelona.Carrer GrowthFlexible CompensationFlexible scheduleRemote",Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,3 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/project-manager-hibrido/project-manager/rf-55d9181ce2da03c3174f,tecnoempleo
Analista java,CAS TRAINING,29/01/2024Nueva,java,"Cas training selecciona a dos analistas programadores con experiencia de al menos tres años de experiencia en java como en la elaboración de documentación , pruebas.. para proyecto remoto",Remoto -  Madrid - España,Analista,Jornada completa,3 años,Indefinido,27.000 €-33.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/analista-java-madrid/java/rf-650515e702b4d3250b4b,tecnoempleo
SAP Business One Consultant,Michael Page,29/01/2024Nueva,SAP Business One,"Perfil buscado (Hombre/Mujer)Reportando al responsable y Cordinador de IT corporativo, entre tus principales funciones podemos destacar:• Configuración y Mejora de SAP B1.• Colaborar con los usuarios finales y equipos funcionales para comprender y documentar los procesos de negocio.• Análisis y Optimización de Procesos: para identificar áreas de mejora y eficiencia.• Proponer y Documentar muy detalladamente soluciones basadas en SAP B1 que optimicen la funcionalidad y la productividad.• Proporcionar formación a usuarios finales sobre el uso eficaz de SAP B1 y garantizar el uso óptimo del producto SAP BO.• Empresa multinacional con headquarter Europeo en la provincia de Barcelona.|Consultor ERP funcional con experiencia en SAP B1.• Título universitario en un campo relevante.• Experiencia como Consultor SAP B1 y en proyectos del ERP.• Conocimiento de procesos comerciales, administración, y mejores prácticas.Será de gran valor que tengas:• Conocimientos de Herramientas de Reporting (Power BI, Crystal Report,...).• Experiencia con HANA y habilidades en SQL.• Excelentes habilidades de comunicación e interpersonales.• Habilidades de gestión de proyectos.• Inglés.Empresa multinacional en pleno proceso de integración para convertirse en el HeadQuarter Europeo.• Oportunidad de trabajar en proyectos de unificación de procesos Europeos de las compañías del grupo.• Ambiente de trabajo colaborativo y enfocado en el crecimiento profesional.• Remuneración competitiva y beneficios adicionales.",Barcelona - España,Consultor,Jornada completa,3 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/sap-business-one-consultant-barcelona/sap-business-one/rf-e9bf19c832bf1343df4d,tecnoempleo
Fullstack .Net,Michael Page,29/01/2024Nueva,"Net, NET Core","Perfil buscado (Hombre/Mujer)Trabajarás con un equipo multidisciplinar en varios proyectos. Desde la fase de inicio, toma de requerimientos, hasta la implementación en distintas áreas de la compañía pasando por diferentes aplicaciones.Y poco a poco ir ganado autonomía y aportar el máximo valor a proyecto.• Proyecto estable, 100% teletrabajo|Formarás parte de un ecosistema de Talento Tecnológico- Al menos 2 años de experiencia laboral en la parte de front con Js (Angular, Vue, React) o en el back con ASP.NET Core.- Experiencia con SQL- Conocimientos con API Rest, JSON, Git, etc.- Importante: tener actitud e iniciativa.Valorable: - Experiencia Python y Azure.- Conocimientos de CI/CD, Docker, TDD, Scrum, etc.Page Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida. • Contrato indefinido con Page Tech Solution• Salario: 30-45k• Modalidad: 100% remoto• Formación continua para desarrollar tu talento• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo• Plan de carrera en un ecosistema de talento tecnológico.* Solo residentes en España",100% En remoto,Programador,Jornada completa,2 años,Indefinido,30.000 €-45.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/fullstack-net-remoto/net-net-core/rf-ca171d86c232c3300748,tecnoempleo
Técnico de Soporte,Page Personnel,29/01/2024Nueva,"soporte, Workspace One","Perfil buscado (Hombre/Mujer)- Atención a usuarios in situ/ remoto - Resolución de incidencias- Atención a clientes.- Formación a clientes en UEM. Fabricantes como Soti-Ivanti-VMware-Microsoft• Técnico de Soporte - Híbrido|San Fernando de Henares- Formación FPII ASIR o superior- Conocimiento Cloud- Conocimiento Workspace One o Ivanti EPMM- Inglés B2Empresa IT especializada, con mucho foco en formaciónContrato IndefinidoSalario: 22-24K según perfil2 días teletrabajo/ semanaOficinas en San Fernando de HenaresHorario 08.30-18h/ Viernes de 09-15h Plan de formación/ Certificaciones facilitadas por empresaSeguro médico y dental",Madrid (Híbrido),Soporte Técnico,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/tecnico-soporte-hibrido/soporte-workspace-one/rf-e8a21fc86221a3957445,tecnoempleo
Ingeniero/a de Testing,GMV,29/01/2024Nueva,"C, C++, C#, Matlab","Si eres de los que, tras aparcar, comprueba dos veces que ha cerrado el coche...¡Tu sitio está connosotros! Estamos ampliando nuestros equipos la División de Sistemas de Transporte Inteligente (ITS), buscamos un/a Ingeniero/a de Testing, para encargarse del aseguramiento de la conformidades productos HW: requisitos, certificaciones y estándares internos de calidad.Nos gusta ir al grano, tevamos a contar lo que no está en la red. Si quieres saber más sobre nosotros, accede a la web de GMV.¿A QUÉ RETO TE VAS A ENFRENTAR?En nuestro equipo te ocuparás de la planificación, definición, ejecución y reporte de la verificación y validación de los productos HW durante las fases de diseño, prototipado, pre-serie yproducción.  Desarrollo de herramientas, set-up del entorno, instalación del sistema en pruebas, etc.- Validación, Verificación y Testing HW.       - Certificaciones de Equipos HW (CE, otros).            - Diseño de sistemas de HW y su firmware.               - Experiencia en herramientas de gestión de requisitos y pruebas, ejecución de pruebas, gestiónde defectos, gestión de configuración.  - Producción de PCBs, conocimiento de componentes, tipos de soldaduras, métodos de montaje, etc.            - Programación microcontroladores.            - Fabricación de prototipos.             - Diseño y programación de sistemas VHDL.             - Experiencia en control de calidad de producción.¿QUÉ NECESITAMOS EN NUESTRO EQUIPO?Para este puesto, estamos buscando Ingenieros/as con exeperiencia en Tecnologías:Matlab, simulink, LabVIEW, Scripting, C#, C/C++, ensamblador  y Conocimientosteóricos de Ingeniería de Sistemas.También valoraremos experiencia en productos deSistema de transporte inteligente.¿QUÉ TE OFRECEMOS?💻 Modelo de trabajo híbrido y 8 semanas alaño de teletrabajo fuera de tu área geográfica habitual🕑 Horario flexible de entrada y salida, y jornada intensiva viernes y verano. 🚀 Desarrollo de plan de carrera personalizado,formación y ayuda para el aprendizaje de idiomas.🌍 Movilidad nacional e internacional. ¿Vienes de otro país? Te ofrecemos un relocation package. 💰 Retribución competitiva con revisionescontinuas, retribución flexible y descuento en marcas. 💪Programa Wellbeing: seguro médico,dental y de accidentes; fruta y café gratis, formación en salud física,mental y económica, y ¡mucho más!⚠️ En nuestros procesos de selecciónsiempre tendrás contacto telefónico y personal, presencial u online, connuestro equipo de talent acquisition. Además, jamás se solicitarántransferencias ni tarjetas bancarias.  Si contactan contigo siguiendo otroproceso, escribe a nuestro equipo a la dirección de correo privacy@gmv.com❤️Promovemos la igualdad de oportunidades en lacontratación comprometidos con la inclusión y la diversidad       ¿AQUE ESPERAS? ÚNETE                    Si tienes alguna pregunta no dudes en contactar con Alejandra Estévez Melgarejo, responsable de esta vacante.                   Alejandra Estévez Melgarejo",Valladolid (Híbrido),Tester,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/ingeniero-testing-hibrido/c-c-c-matlab-simulink-labview/rf-068e17b062c363081942,tecnoempleo
Planificadores Batch ControlM Distribuidos. Ingles,Grupo NS,29/01/2024Nueva,Control M,"En Grupo NS, seleccionamos Planificadores Batch con Control M en entornos distribuidos con experiencia en servicios de operación, monitorización y planificación de procesos en sistemas críticos. Ofrecemos participación en proyecto de primer nivel en sector financiero, en modalidad híbrida (50% teletrabajo - 50% presencial). Ubicación Madrid (Boadilla)Grupo NS es una empresa donde se valora tanto el perfil profesional y tecnológico de los trabajadores así como el interés y la aptitud que demuestren a la hora de desarrollarnuevos proyectos en sus diversos clientes. Por ello, necesitamos personas constantes, con ganas de evolucionar y aprender, responsables y con compromiso.Para los perfiles de Planificadores, es necesario aportar:* Conocimiento avanzado del planificador Control M, en Sistemas Distribuidos* Conocimiento avanzadoen Sistemas Windows y Linux* Alto nivel de inglés, de forma que pueda mantener una conversación fluida en dicho idioma (deseable C1 o, en su defecto, B2 avanzado).* Disponibilidad para trabajar a turnos 24x7, modalidad híbrida.Las funciones a desempeñar y en las que se debe aportar experiencia son:* Automatización de tareas* Despliegue de aplicaciones* Configuración de SW* Orquestación de tareas (despliegues continuos, actualizaciones, etc.)",Madrid (Híbrido),Técnico de Gestión,Jornada completa,2 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/planificadores-batch-controlm-distribuidos-ingles-/control-m/rf-10161e34b2d42349184c,tecnoempleo
Consultores/as SAP HANA  FIORI,Grupo Digital,29/01/2024Nueva,"SAP, HANA, FIORI","Desde Grupo Digital, buscamos para importante cliente del sector industrial CONSULTORES SAP FIORI   Consultor de paquetes - Análisis avanzado de SAP FIORIubicacion españa  ** remoto>>> IMPRESCINDIBLE residir en territorio españolRequisitosMinimo 3 años de experiencia en puesto similar .Habilidades requeridas* Conocimiento de Fiori* habilidades de ABAP trabajando con SAPGrupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 250 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Amplia informacion en nuestra web .. www.grupodigital.eu",100% En remoto,Consultor,Jornada completa,3 años,Indefinido,27.000 €-33.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/consultores-sap-hana-fiori-remoto/sap-hana-fiori/rf-ec2e11c6d24553af0444,tecnoempleo
Desarrollador Power Aps,PSS,29/01/2024,"PowerAps, PowerBI, PowerAutomate","Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría conocerte.Actualmente estamos seleccionando un desarrollador Power Aps con altos conocimientos. Para ello, ¿Qué necesitamos?- Experiencia de al menos 4 años en: - Creación de aplicaciones low code con Power Apps- Conocimientos de Automizatización con Power Automate- Creación de reports con Power BI- Experiencia en diseño y modelado de orígenes de datos con Dataverse.- Experiencia en integración con SharePoint, Teams, Ms365, IA Copilot- Experiencia en Plataformas Cloud, preferiblemente Azure- Experiencia en desarrollo con metodologías Agiles (Scrum).- Se valorará experiencia de programación en otros lenguajes y BBDD relacionalesY llegados a este punto... ¿qué te ofrecemos?- Contrato Indefinido con PSS- Salario acorde a la experiencia aportada.- Proyecto estable- Proyecto híbrido/teletrabajo- Plan de carrera y formación continua- PSS Flex: Seguro médico- Campaña de referenciados: Si tienes algún amigo del sector que crees que encaja en nuestras vacantes, tráelo a trabajar contigo, ¡tendrás un premio!",Madrid (Híbrido),Programador,Jornada completa,3-5 años,Indefinido,30.000 €-42.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/desarrollador-power-aps-hibrido/poweraps-powerbi-powerautomate/rf-88b71381e245e314e84f,tecnoempleo
Técnico de Soporte Windows,Seltime,29/01/2024,"Windows, Office 365","SELTIME compañía española en proceso de expansión, líder en dar soluciones tecnológicas específicas a cada cliente y un trato personalizado a nuestros profesionales.Selecciona Técnicos de Soporte o Atención a Usuarios, con experiencia profesional de al menos 2 años en Soporte Micro Informático básico para incorporación inmediata en proyecto estable dentro de nuestra organizaciónRequerimos profesionales que cumplan los siguientes requisitos:- Disponibilidad para incorporación inmediata- Experiencia con Windows 10, MS Office, O365- Instalación y configuración de equipos- Gestión de incidencias- Disponibilidad para desplazarse entre oficinas del clienteSe ofrece:- Incorporación inmediata en proyecto estable-Formación personalizada- Buen ambiente de trabajo- Retribución flexible- Desarrollo profesional",Barcelona (Presencial),Soporte Técnico,Jornada completa,2 años,Indefinido,15.000 €-18.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/tecnico-soporte-windows-presencial/windows-office-365/rf-6eb81bb0425c63bf934d,tecnoempleo
Programador/a Typescript,PSS,29/01/2024,"typescript, angular, nodejs, vue","¿Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría conocerte.Actualmente estamos buscando un perfil Typescript para incorporarse a un proyecto novedoso del sector retail para uno de nuestros más potenciales clientes del sector.Para ello, ¿Qué necesitamos?- Dominio de los conceptos Agile (Scrum, Sprint Planning, Backlog).- Dominio senior de lenguajes de programación y frameworks asociados (TypeScript, Angular, NodeJS, VUE).- Dominio de CI.- Dominio del desarrollo de pruebas unitarias.- Conocimiento de conceptos de seguridad relacionados con el desarrollo web.- Dominio de herramientas de desarrollo (IDE, GitLab, Git).- Nivel alto de inglés y/o francés.Y llegados a este punto... ¿qué te ofrecemos?- Contrato indefinido (proyecto estable).- Horario flexible + 3 meses de jornada intensiva en verano.- Modalidad de trabajo remota con disponibilidad de acudir 1 día a la semana a las oficinas de cliente en Málaga.- Salario en función de la experiencia aportada.- Plan de carrera y formación continua- Retribución flexible: te brindamos diversos beneficios sociales, tales como seguro médico privado, ticket restaurante, ticket guardería y/o ticket transporte, para que disfrutes de un completo bienestar.- Campaña de referenciados: Si tienes algún amigo del sector que crees que encaja en nuestras vacantes, tráelo a trabajar contigo, ¡tendrás un premio!PSS comprometida con la Igualdad.",Málaga (Híbrido),Analista Programador,Jornada completa,3-5 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/programador-typescript-hibrido/typescript-angular-nodejs-vue/rf-1aca16d42255d3890243,tecnoempleo
Programador Senior Host,Krell Consulting & Training,29/01/2024,"HOST, COBOL, SQL, DB2","Estamos en la búsqueda de un/a profesional con al menos 2 años de experiencia en el área de programación y análisis, con conocimientos específicos en sistemas HOST. La persona seleccionada se encargará de desarrollar, mantener y optimizar aplicaciones y programas relacionados con el procesamiento de Nominas en entornos HOST.RequisitosExperiencia mínima de 2 años en desarrollo y/o análisis de sistemas HOST.Conocimientos sólidos en lenguaje de programación COBOL.Experiencia en el manejo de bases de datos relacionales, preferiblemente en entornos BBDD y SQL.Conocimientos en el manejo de bases de datos DB2.Capacidad para trabajar en equipo y bajo presión.Habilidades de comunicación efectiva y capacidad analítica.ResponsabilidadesDesarrollar y mantener aplicaciones y programas relacionados con el procesamiento de Nominas en entornos HOST.Colaborar en la identificación y resolución de problemas técnicos.Realizar pruebas unitarias y de integración.Participar en la documentación de los sistemas y procesos.BeneficiosIncorporación a una empresa líder en el sector IT.Oportunidades de crecimiento y desarrollo profesional.Formar parte de un equipo altamente capacitado.Salario competitivo acorde a experiencia y habilidades.60% Teletrabajo",Madrid (Híbrido),Analista Programador,Jornada completa,2 años,Indefinido,21.000 €-30.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/programador-senior-host-hibrido/host-cobol-sql-db2-jcl/rf-628f1bd382d2d3b55842,tecnoempleo
Analista técnico/a Java,CAS TRAINING,29/01/2024,"java, microservicios, springboot, APIS","Cas Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a Analista técnico/a Java para formar parte de importante proyecto 100% remoto.Experiencia: 5 años.Modalidad: 100% remoto.No son perfiles únicamente técnicos sino personas con experiencia que puedan sobre todo trabajar de forma autónoma (y tablas para que puedan llegar a tener interlocución con cliente funcionalmente llegado el caso).Conocimientos imprescindibles:- Java, Microservicios, Spring, Spring Boot, REST, Hibernate, APIs GIT.- Conocimiento de BBDD Oracle.- Capacidad de interlocución con clientes.Conocimientos valorables:- Formación universitaria.Se ofrece:• Formar parte de un equipo altamente cualificado en una empresa en proceso de expansión.• Participar en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.• Proyectos de larga duración, estabilidad profesional y progresión laboral.• Contratación Indefinida.• Acceso gratuito al catálogo de formación anual de Cas Training.• Salario negociable en base a la experiencia y valía del candidato/a.",100% En remoto,Analista,Jornada completa,3-5 años,Indefinido,39.000 €-42.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/analista-tecnico-java-remoto/java-microservicios-springboot-apis-rest-hibe/rf-04261d4532e713ab3643,tecnoempleo
Analista programador SAS/Base - SAS/AF,CMV Consultores,29/01/2024,"SAS/BASE, SAS/AF, JCL, IBM z/Os","CMV Consultores es una empresa de Servicios de IT, dedicada fundamentalmente a la selección de profesionales con perfiles técnicos. Asimismo ofrece a sus clientes servicios de asesoría y soporte en la implantación de soluciones tecnológicas y desarrollo de aplicaciones.¿Estás buscando una nueva oportunidad o un nuevo proyecto?Desde CMV Consultores te brindamos las mejores oportunidades, tanto si estás empezando tu carrera como si tienes experiencia y estás buscando nuevos retos.En colaboración con un importante partner del sector IT precisamos incorporar un perfil ANALISTA / PROGRAMADOR CON EXPERIENCIA EN SAS/BASE - SAS/AF.¿Qué se requiere?- Tener experiencia demostrable en SAS/Base y SAS/AF (requisito indispensable)- Haber trabajado en entornos IBM z/Os o Windows- Conocimiento en JCL¿Cuáles serán tus tareas?- Desarrollo para incorporar nuevas prestaciones evolutivas en las aplicaciones informáticas de soporte.Localización: MadridModalidad: Híbrido: 2 días a la semana presenciales, el resto teletrabajo. ÇProyecto de larga duración (+2 años)",Madrid (Híbrido),Analista,Jornada completa,3-5 años,Indefinido,,2024-01-29,https://www.tecnoempleo.com/analista-programador-sas-base-sas-af-hibrido/sas-base-sas-af-jcl-ibm-z-os-/rf-815f11c672aa838ab849,tecnoempleo
Analista programador/a .NET,CAS TRAINING,29/01/2024,".Net, C#","Cas Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a Analista programador/a .NET para un importante proyecto REMOTOLos miembros del equipo dispondrán de titulación mínima de Ciclo Formativo de Grado Superior en áreas relacionadas con la Informática. Preferible Titulación universitaria en carreras técnicas (Ingeniería Informática, Matemáticas...) Analista programador con experiencia en tecnologías .Net (4 años), conocimientos de Angular y a ser posible de Java. Las tecnologías principales son J2EE para el desarrollo del nuevo sistema unificado y .NET para el mantenimiento de las aplicaciones actuales hasta su paso/migración al nuevo sistema según se vayan desarrollando los módulos que sustituyan la funcionalidad de las antiguas. C++.NET: Avanzado Angular: Medio Lenguaje Java: Medio PL - SQL: Medio Servicios Web ASMX: Medio Arquitectura Microservicios: Básico Movilidad .NET Multi-platform App UI (MAUI): BásicoProyecto en remotoSe ofrece• Formar parte de un equipo joven y dinámico altamente cualificado en una empresa en proceso de expansión.• Participar en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.• Proyectos de larga duración, estabilidad profesional y progresión laboral.• Contratación Indefinida.• Acceso gratuito al catálogo de formación anual de Cas Training.• Salario negociable en base a la experiencia y valía del candidato/a",100% En remoto,Analista Programador,Jornada completa,2 años,Indefinido,24.000 €-27.000 € Bruto/año,2024-01-29,https://www.tecnoempleo.com/analista-programador-net-remoto/net-c/rf-541a1ff11284f31b2348,tecnoempleo
