titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal,url
"Data Scientist Senior - Python, SQL, Cloud - scrum, agile - remoto (*)",BETWEEN Technology,ace 1d,[],"BETWEEN TECHNOLOGY es una consultora multinacional que cuenta con avanzadas capacidades tecnológicas en el ámbito de la Ingeniería y las TIC. Nuestros servicios llegan a todos los continentes y cubren varios sectores de la economía mundial, de la industria y las empresas de servicios. En la actualidad BETWEEN cuenta con un equipo de 800 personas trabajando en los ámbitos de la industria del automóvil, aeronáutica, ferrocarril, Oil&Gas, retail, mundo del deporte, educación, etc.Actualmente seleccionamos un/a Data Scientist Senior con amplia en proyectos de Data Science & Machine learning  para incorporarse de forma indefinida en uno de los equipos que Between tiene implantados en uno de nuestros principales clientes, en proyecto estable en el sector retail y en Ecommerce.La persona seleccionada trabajará bajo metodología agile y se integrará en equipos de gran impacto y en proyectos y funconalidades transversales.Misión: Data Scientist Senior altamente experimentado y motivado para trabajar en el desarrollo de modelos predictivos y análisis de datos para el área de devoluciones de un cliente retail.Este rol desempeñará un papel crucial en todas las fases del ciclo de vida de los modelos predictivos, desde la recopilación y limpieza de datos hasta el despliegue del modelo en producción.¿Qué haré? Estas serán tus funciones principales:- Generación de modelos de machine learning, así como de todo el pipeline de procesado de datos.- Análisis, limpieza y tratamiento de fuentes datos con complejidad variada tratando de obtener insights orientados a las necesidades dadas.- Análisis de performance de modelos y soluciones existentes.- Documentación técnica.- Desarrollo y productivización de procesos en la nube.- Asistencia a reuniones.¿Cómo lo haré? Tendrás a tu alcance:- Trabajarás en un entorno ágil.- Formarás parte del día a día de una empresa referente en su sector.- Ambiente de trabajo dinámico con grandes retos.- Trabajarás en remoto con desplazamientos puntuales a A Coruña.Además, trabajando para BETWEEN obtendrás los siguientes beneficios añadidos:- Ser parte de un equipo joven en una comunidad techie.- Te integrarás en un equipo de alto rendimiento y con un alto grado de especialización.- Planes de formación personalizados con nuestra BTW University (Idiomas con Speexx, The Power Business School, Udemy, Certificaciones técnicas, Pharos, etc).- Seguro médico gratuito desde el primer día. Posibilidad de elegir cómo obtener parte de tu salario gracias a las ventajas fiscales de nuestra Retribución Flexible (tickets restaurante, guardería).- Acceso a variedad de descuentos (Viajes, tecnología... y muchos más).- Precios reducidos en bienestar, fitness y nutricón con Gympass.- ¡Cumplir años como Betweener tiene premio!¿Data Scientist Senior con amplia en proyectos de Data Science & Machine learning en busca de un nuevo reto y quieres formar parte de un proyecto referente a nivel mundial en un entorno 100% agile y en España? ¡No dudes en inscribirte!",A Coruña,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido, 39.000€ - 52.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/a-coruna/data-scientist-senior-python-sql-cloud-scrum-agile-remoto-*/of-i51314e85d64c46ae636f118bfcc01a?applicationOrigin=search-new&page=9&sortBy=PUBLICATION_DATE
Datastage Developer - Barcelona/Hibrido,Luca TIC,ace 4d,"['SQL', 'ETL', 'Datastage']",Desde Luca TIC te estamos buscando!!!! ...¿tienes más de 2 años de experiencia  como consultor Datastage y conocimientos de IBM ESB?Nos gustaría contar contigo.Serás responsable del desarrollo y el diseño de servicios sobre este móduloRequisitos Imprescindibles:-Al menos 2 años de experiencia trabajando con Datastage¿Qué ofrecemos?-Contrato Indefinido.-Teletrabajo hibrido - Barcelona-Formar parte de un proyecto estable-Seguro médico,Barcelona,AA, jornada completa,al menos 2 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/barcelona/datastage-developer-barcelona-hibrido/of-ica4247f0e94b59b2c42cce54935122?applicationOrigin=search-new&page=40&sortBy=PUBLICATION_DATE
Desarrollador .NET,Fyte (Find your talent easily),hace 1d,[],"Empresa líder en el sector seguros busca incorporar un Analista Desarrollador .NET a su equipo de trabajo.Condiciones laborales:Perfil: Analista Desarrollador .NET (Análisis y desarrollo de software).Formación requerida: FP2 Desarrollo de aplicaciones informáticas, Grado en informática o Diplomatura de Ingeniería.Experiencia previa en puesto homólogo: 3-5 años.Modalidad de trabajo: Asistencia híbrida 2/3.Horario de entrada flexible. Jornada intensiva los viernes y en verano.Requisitos imprescindibles:Experiencia en desarrollo de software con tecnología .NET Framework, C#.Desarrollo y consumo de API (SOAP, REST).Experiencia y conocimientos en SQL, diagramas E-R, generación de consultas y procedimientos almacenados.Desarrollo de aplicaciones web ASP.NET, .NET CORE.Experiencia en análisis y desarrollo de manera autónoma.Idiomas:Inglés: Nivel básicoSi cumples con los requisitos y estás interesado/a en formar parte de nuestro equipo, aplica a la oferta y va.",Madrid,Seguros, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-.net/of-i6641a399e84683a7b3167c16e5faa6?applicationOrigin=search-new&page=6&sortBy=PUBLICATION_DATE
Desarrollador .NET BizTalk /  TELETRABAJO,E2K2 Netechnology,ace 2d,"['Microsoft BizTalk Server', 'Trabajo en equipo', 'Integración', 'Sector banca', 'Oracle', 'SQL Server', '.NET', 'WCF', 'Proceso Evolutivo', 'Metodología ágil']","¡En E2K2 cumplimos 20 años de éxitos comprometidos con las Personas y la Tecnología!Nuestro Éxito son las Personas que trabajan con nosotros, y destacamos especialmente en el cumplimiento de los compromisos que adquirimos con nuestros profesionales.Contemplamos incentivos particularizados, Flexibilidad, Bolsa de Formación, Bonus por Objetivos, y más, en reconocimiento a la involucración y motivación de nuestras personas.El perfil tecnológico que buscamos es con experiencia de 2 años enDesarrollo de aplicaciones utilizando Microsoft BizTalk Server y servicios WCF.*Experiencia en el acceso a datos con .NET y PL/SQL, trabajando con SQL Server y/o Oracle.*Colaboración autónoma pero integrada en el trabajo en equipo, trabajando por Sprints en metodología ágilObjetivo del proyecto:*El objetivo del proyecto de Servicio Gestionado es garantizar la eficiencia, disponibilidad y evolución continua de la plataforma BizTalk en el sector Banca, a través de tareas de mantenimiento, desarrollo de aplicaciones, consultoría y soporte técnico, contribuyendo así a la mejora constante de su funcionamiento y rendimientoLocalización exacta: Remoto 100%Guardias: Posibilidad de realización de guardiasAños de experiencia: 2 años mínimoIdiomas: EspañolOfrecemos:* Contratación indefinida.* Salario según experiencia aportada.* Absoluta confidencialidad en el proceso de selección.* Integración en una empresa comprometida con sus empleados.* Trato directo y seguimiento continuo de la relación.* Flexiblidad según proyecto.* Incentivos: Plan de formación, Bonus por Objetivos y otros.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-.net-biztalk-teletrabajo/of-i2247d20cab41dfab38a409f3f742ef?applicationOrigin=search-new&page=21&sortBy=PUBLICATION_DATE
Desarrollador .NET BizTalk /  TELETRABAJO,E2K2 Netechnology,ace 2d,"['Microsoft BizTalk Server', 'Trabajo en equipo', 'Integración', 'Sector banca', 'Oracle', 'SQL Server', '.NET', 'WCF', 'Proceso Evolutivo', 'Metodología ágil']","¡En E2K2 cumplimos 20 años de éxitos comprometidos con las Personas y la Tecnología!Nuestro Éxito son las Personas que trabajan con nosotros, y destacamos especialmente en el cumplimiento de los compromisos que adquirimos con nuestros profesionales.Contemplamos incentivos particularizados, Flexibilidad, Bolsa de Formación, Bonus por Objetivos, y más, en reconocimiento a la involucración y motivación de nuestras personas.El perfil tecnológico que buscamos es con experiencia de 2 años enDesarrollo de aplicaciones utilizando Microsoft BizTalk Server y servicios WCF.*Experiencia en el acceso a datos con .NET y PL/SQL, trabajando con SQL Server y/o Oracle.*Colaboración autónoma pero integrada en el trabajo en equipo, trabajando por Sprints en metodología ágilObjetivo del proyecto:*El objetivo del proyecto de Servicio Gestionado es garantizar la eficiencia, disponibilidad y evolución continua de la plataforma BizTalk en el sector Banca, a través de tareas de mantenimiento, desarrollo de aplicaciones, consultoría y soporte técnico, contribuyendo así a la mejora constante de su funcionamiento y rendimientoLocalización exacta: Remoto 100%Guardias: Posibilidad de realización de guardiasAños de experiencia: 2 años mínimoIdiomas: EspañolOfrecemos:* Contratación indefinida.* Salario según experiencia aportada.* Absoluta confidencialidad en el proceso de selección.* Integración en una empresa comprometida con sus empleados.* Trato directo y seguimiento continuo de la relación.* Flexiblidad según proyecto.* Incentivos: Plan de formación, Bonus por Objetivos y otros.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-.net-biztalk-teletrabajo/of-i2247d20cab41dfab38a409f3f742ef?applicationOrigin=search-new&page=36&sortBy=PUBLICATION_DATE
Desarrollador .NETCore 6. (Jr ó Mid ó Senior). y/o Fullstack Angular,SANDAV,ace 1d,[],"¡Volvemos a las andadas con uno de nuestros equipos favoritos de desarrollo!!!- Buscamos perfiles .NET Core / .NET 6 (preferiblemente con también experiencia Frontend / Fullstack con Angular).Desde experiencias de en torno al año y medio o dos años en función similar, hasta perfiles realmente veteranos en el ámbito. (Diferentes vacantes).Aunque el formato de fondo es el teletrabajo, requerimos gente que resida en Alicante o zonas de Valencia, (o Murcia), porque sí que requerimos que la persona pueda estar disponible para presentarse al menos alguna vez a la semana o al mes en oficinas en oficinas de un polígono de Alicante.Contratación indefinida desde el principio, si el proceso va hacia delante, estarías contratado por nosotros prestando tus servicios en cliente. Proyecto - Servicio estable sin fecha de fin, posibilidad de seguro médico con buenas condiciones, y formar parte de una empresa que apuesta por la innovación y las tecnologías punteras con múltiples proyectos en andanza.Horario habitual de oficina con flexibilidad de entrada entre 8 y 9.Información del perfil base:- Experiencia mínima de aproximadamente en torno a 2 años en adelante como desarrollador .NET. Habiendo llegado a trabajar en .Net Core. / Net 6- Se valorará experiencia a aportar en conocimientos habituales en tecnología .NET CORE, desarrollos en WebService, Webapi, Restfull etc... + Filosofía Clean, DDD, buenas prácticas de Software, Agile, Azure / Azure Devops etc...El perfil se espera que también acometa funciones Frontend basado en Angular, por lo que:- Se valorará el conocimiento de Frontend y especialmente con Angular. Se prevé que pueda llegar a darse la oportunidad de trabajar también en ese apartado, incluyendo incluso candidaturas que no hayan tenido la oportunidad de trabajar con ello aún, pero que puedan demostrar algun conocimiento de interés en el ámbito.¿Quieres trabajar en una empresa en la que sabemos cómo te llamas, nos preocupamos por tu bienestar y cuando necesitas algo te atendemos al momento?SANDAV es una empresa que basa la relación con sus empleados en la INTEGRIDAD, que en resumen quiere decir que CUMPLIMOS LO PROMETIDO.- Para más información: sandavteam.com",Alicante/Alacant,VOM, jornada completa,al menos 1 año,indefinido, 26.000€ - 39.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/alicante-alacant/desarrollador-.netcore-6.-jr-mid-senior-.-fullstack-angular/of-i6bf266dd494be09fba88807f2cb35f?applicationOrigin=search-new&page=13&sortBy=PUBLICATION_DATE
Desarrollador /a C++ Qt,SEGULA TECNOLOGIAS,hace 2d,"['C++', 'Qt', 'QML']","FuncionesPrecisamos incorporar en plantilla a un/a Desarrollador/a C++ con Qt.Se trata de una posición híbrida, trabajando 3 días en semana en Aranjuez y 2 de forma remota.Requisitos:- Al menos 3 años de experiencia en definición de arquitectura, requisitos de sistema, diseño y desarrollo de software.- Se necesitan conocimientos de entornos C++ de integración continua (Git, pruebas unitarias, Jenkins, Sonar...) y metodologías ágiles (Scrum).- Conocimientos en gestión técnica de proyectos, MS Project, gestión de riesgos, gestión técnica de subcontratos.Se valorará la experiencia en el mercado de defensa y uso de estándares militares.INFORMACIÓN ADICIONAL: puntualmente se podrían requerir desplazamientos para integración/pruebas en instalaciones.SEGULA Technologies es un grupo de ingeniería con presencia mundial que ayuda a impulsar la competitividad en todos los principales sectores industriales: automotriz, aeroespacial, energía, ferrocarril, naval, farmacéutico y oil&gas. En España tenemos oficinas técnicas en 12 ciudades: Barcelona, Bilbao, Cartagena, La Coruña, Madrid, Oviedo, Pamplona, Sevilla, Valladolid, Vigo, Vitoria, Zaragoza y trabajamos allá donde se encuentren nuestros clientes. Con operaciones en 28 países y 140 oficinas en todo el mundo, el Grupo promueve una relación cercana con sus clientes gracias a la experiencia de sus 12,000 empleados. Como un especialista en ingeniería líder que coloca la innovación en el centro de su estrategia, SEGULA Technologies lleva a cabo proyectos a gran escala, desde estudios técnicos hasta industrialización y producción.Se ofrece- Salario en función de valía y experiencia aportada por el candidato.- Formación continua.- Buen ambiente de trabajo: profesional y muy especializado.- Posibilidad de trabajar en una empresa multinacional en pleno crecimiento a nivel nacional e internacional.- Promoción interna según tus propios objetivos.- Posibilidad de obtener ventajas fiscales en tu salario con SEGULA BENEFITS",Aranjuez,Informática y telecomunicaciones-Programación, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/aranjuez/desarrollador-c-qt/of-i7811b978ca463d85061393bc770db2?applicationOrigin=search-new&page=28&sortBy=PUBLICATION_DATE
Desarrollador APX,"ALVEA SOLUCIONES TECNOLOGICAS, S.L.",ace 1d,"['Mantenimiento', 'Desarrollo profesional', 'APX', 'Java']","Especialista en Tecnologías de la Información con Certificación APXAlvea Soluciones Tecnológicas, líder en soluciones innovadoras, está en búsqueda de un Especialista en Tecnologías de la Información con al menos 2 años de experiencia y certificación APX para unirse a nuestro equipo. Valoramos el conocimiento profundo respaldado por la certificación APX y la capacidad de abordar desafíos tecnológicos de manera efectiva.Responsabilidades:Mantener y mejorar la infraestructura tecnológica de la empresa.Colaborar en la implementación y optimización de sistemas y redes.Proporcionar soporte técnico a los usuarios internos.Participar en proyectos de desarrollo y actualización tecnológica.Asegurar la seguridad y la integridad de los datos.Requisitos:Al menos 2 años de experiencia con APXCertificación APXExperiencia en la implementación y mantenimiento de infraestructuras tecnológicas.Habilidades para la resolución de problemas y el trabajo en equipo.Ofrecemos:Oportunidad de formar parte de un equipo dinámico e innovador.Desarrollo profesional y oportunidades de formación continua.Salario competitivo acorde a la experiencia y habilidades.Beneficios adicionales y flexibilidad laboral.Cómo Aplicar:Los candidatos interesados que cumplan con los requisitos mencionados pueden enviar su currículum y certificación APX a través de InfoJobs. Indica claramente en el asunto del correo ""Solicitud - Especialista en Tecnologías de la Información con Certificación APX"". Agradecemos a todos los solicitantes y nos pondremos en contacto con aquellos seleccionados para una entrevista.¡Alvea Soluciones Tecnológicas espera conocer a profesionales certificados APX con experiencia en Tecnologías de la Información!",Madrid,Servicios y tecnología de la información, jornada completa,al menos 2 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-apx/of-i0b882759964de182440703466000c7?applicationOrigin=search-new&page=3&sortBy=PUBLICATION_DATE
Desarrollador Backend Java,ENTELGY - Zona Madrid,hace 1d,"['Java', 'API', 'Maven', 'Scrum']","DÉJANOS CONTARTE LO QUE NOS HACE GENUINEBuscamos profesionales que quieran reinventarse cada día, que enfrentarse a los retos vaya en su ADN y que sientan pasión por trabajar con la tecnología. Esto nos hace únicos, diferentes y auténticos.¿QUÉ ESTAMOS BUSCANDO?Buscamos un Desarrollador Senior con experiencia en Backend con Java. Es un puesto con el objetivo de mejorar el stack tecnológico actual.Proyecto 100% remotoFunciones:- Comunicar ideas, nuevos métodos o tecnologías con el objetivo de mejorar el stack tecnológico actual.- Participar de forma activa y constante en diseño y desarrollo de API.- Velar por la calidad de desarrollo y limpieza de código (Clean Code).- Estar al día en tecnologías, especialmente en las asociadas al eCommerce. Identificar nuevas tendencias que se puedan utilizar para lograr máximos resultados.- Trabajar en equipo y mano a mano con el Tech Lead y el resto del equipo de desarrollo.- Cumplir con todas las pautas y estándares del proyecto y la empresa y asegurarse de que el equipo lo esté haciendo.- Trabajar en sprints de 2 semanas, compuestos principalmente por historias de usuario iterativas y hacerse responsable en equipo de dicho compromiso.Requisitos:- Experiencia participante en el diseño de arquitectura de sistemas basado en servicios distribuidos.- Experiencia o conocimientos sobre arquitectura hexagonal.- Experiencia demostrable en entornos de ejecución de alto rendimiento y concurrencia.- Conocimientos de kafka o algún otro gestor de colas.- Experiencia en el diseño y desarrollo de APIs.- Experiencia demostrable en el desarrollo bajo el modelo de integración continua y revisión de código.- Experiencia con PrimaveraPORQUE EN ENTELGY TODO COMIENZA CONTIGOCuidarte en todos los aspectos es una máxima en Entelgy, por ello, la conciliación es algo que valoramos y facilitamos con nuestro modelo de trabajo flexible, #Balance.Nuestra cultura se vive en el día a día, somos como una gran familia y formamos Entelgy Family, donde podrás participar en actividades, eventos, concursos y mucho más. También tenemos un conjunto de iniciativas orientadas a potenciar que tengas una vida sana y equilibrada, como nuestra plataforma digital de Salud y Bienestar MyWellness, Health Training y Entelgy SportClub.Además, con nuestro programa de Retribución Flexible MyFlex accederás a productos con ventaja económica y fiscal, así como podrás beneficiarte de más de 450 descuentos y ofertas especiales en nuestro portal MyClub y mucho más.ASÍ ES COMO PONEMOS TODO NUESTRO TALENTO EN POTENCIAR EL TUYOVen para formar parte de nuestro equipo, y descubre que no es sólo lo que hacemos, sino cómo lo hacemos. ¡Atrévete a vivir una experiencia Genuine!Proyectos retadores para grandes clientes: Trabajarás en proyectos de gran relevancia para nuestros clientes, junto a un gran equipo de profesionales desde el primer día.Partners de las mejores tecnologías: AWS, Splunk, Red Hat, Microsoft, Opentext y Oracle, Celonis y más.Entelgy College: nuestra universidad pone a tu disposición una amplia oferta formativa en tecnologías, habilidades, certificaciones, 12 idiomas y mucho más. Tu decides en que quieres formarte.Un progreso acelerado: Tu crecimiento estará garantizado y potenciado. Vamos contigo en lo que necesites.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-backend-java/of-iee995b4ceb41da8ef953e9d4b5ddd6?applicationOrigin=search-new&page=20&sortBy=PUBLICATION_DATE
Desarrollador C# SQL Server,E2K2 Netechnology,hace 1d,"['C#', 'SQL Server']","¡En E2K2 cumplimos 20 años de éxitos comprometidos con las Personas y la Tecnología!Actualmente, buscamos un perfil de Desarrollador C# SQL Server con algo más de 2 años de experiencia para trabajar en modo híbrido, 3 días en teletrabajo y 2 días presencial en Almussafes.Ofrecemos:* Contratación indefinida.* Salario según experiencia aportada.* Absoluta confidencialidad en el proceso de selección.* Integración en una empresa comprometida con sus empleados.* Trato directo y seguimiento continuo de la relación.Esperamos:* Motivación por aprender nuevas habilidades y tecnologías.* Capacidad de trabajar en equipo.* Ganas de crecer profesionalmente.Nuestro Éxito son las Personas que trabajan con nosotros, y destacamos especialmente en el cumplimiento de los compromisos que adquirimos con nuestros profesionales.Contemplamos incentivos particularizados, Flexibilidad, Bolsa de Formación, Bonus por Objetivos, y más, en reconocimiento a la involucración y motivación de nuestras personas.",Valencia,Servicios y tecnología de la información, jornada completa,al menos 2 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/valencia/desarrollador-c-sql-server/of-i46ed8a77bf470d8d9cb86b2a85041e?applicationOrigin=search-new&page=14&sortBy=PUBLICATION_DATE
Desarrollador C++,Sopra Steria,ace 1d,[],"En Sopra Steria trabajamos para hacer posible la transformación digital de nuestros clientes y para conseguirlo necesitamos seguir creciendo y sumando gracias a personas como tú.Nuestros empleados coinciden en el gran equipo y ambiente que formamos en Sopra Steria. Somos más de 46.000 personas trabajando en 25 países y nuestra misión es unir talento y tecnología, tratando de ayudarte a que encuentres un lugar en el que poder desarrollar todo tu potencial.¿Te atreves a crear el futuro?¿Qué ofrecemos?Porque sabemos lo que necesitas…• Facilidades para ti, para tu tiempo. ¡No todo va a ser trabajo!• Participa en proyectos retadores. ¿Te animas a aprender algo nuevo?• Crece con un programa de desarrollo continúo personalizado.• Disfruta de nuestros Beneficios y accede al Plan de retribución flexible.• Continúa formándote con nosotros: Tecnología, habilidades, metodologías e idiomas.",Madrid,Informática y telecomunicaciones-Programación, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-c/of-i568efcebf24394bf71abdad932087b?applicationOrigin=search-new&page=8&sortBy=PUBLICATION_DATE
Desarrollador Drupal,Azertium IT Global Services SL,ace 1d,"['Drupal', 'PHP', 'JavaScript', 'Symfony', 'SOAP', 'REST', 'Ajax', 'Git', 'JSON', 'Docker']","Estamos ampliando el equipo!!! En Azertium IT te buscamos!!!! Buscamos incorporar un Desarrollador Drupal, con experiencia en el puesto y sector IT, para formar parte de nuestro equipo con grandes retos, trayectoria y crecimiento profesional.Funciones/ Responsabilidades:- Desarrollo tanto backend como frontend en Drupal 10- Participar en reuniones de toma de requisitos- Asegurar la calidad de sus entregables- Mantenimiento y resolución de incidencias de los proyectos existentesRequisitos/ Experiencia:- Nivel alto en PHP- Nivel alto en Drupal 8/9/10- Symfony- Javascript- html5- SASS- Ajax- Twig- GIT- Docker- Rest/SOAP, JSON, XML- Experiencia demostrable en proyectos con Drupal CommerceOfrecemos:- Modelo de trabajo híbrido- Contrato indefinido con cliente- Puesto estable- Desarrollo y crecimiento profesional",Madrid,EM, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-drupal/of-ia18c6ca5cc47d1a78bb83b2c4c08bc?applicationOrigin=search-new&page=18&sortBy=PUBLICATION_DATE
"Desarrollador Fullstack (PHP, Laravel)",MYCELIUM NETWORKS SL.,hace 2d,"['PHP', 'MySQL', 'Laravel', 'Microservicios', 'Bootstrap']","Si quieres ser parte de un equipo dinámico y motivado a la vez que dejas tu huella participando de la transición energética, en Mycelium Networks estamos buscando un desarrollador (Backend y Frontend), con amplio dominio de programación web, bases de datos SQL/NoSQL y experiencia en AWS.Se ofrece:* Incorporación inmediata* Contrato indefinido* Formar parte de un equipo muy potente* Entorno de trabajo agradable, flexible y sostenible.* Actualmente compaginamos el teletrabajo con el trabajo presencial (oficinas en Barcelona)* Proyección de futuro según tus intereses y habilidades* Salario según valía",Barcelona,"Portales web, Proceso de datos, hosting y act. relac.", jornada completa,al menos 2 años,indefinido, 25.000€ - 33.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/barcelona/desarrollador-fullstack-php-laravel/of-ibff1830cf64fa58af4106d45b83b6e?applicationOrigin=search-new&page=29&sortBy=PUBLICATION_DATE
Desarrollador JAVA STRUTS SPRING HIBERNATE JPA / TELETRABAJO,E2K2 Netechnology,ace 3d,"['Java', 'Struts', 'Spring', 'Hibernate', 'JPA']","¡En E2K2 cumplimos 20 años de éxitos comprometidos con las Personas y la Tecnología!Nuestro Éxito son las Personas que trabajan con nosotros, y destacamos especialmente en el cumplimiento de los compromisos que adquirimos con nuestros profesionales.Contemplamos incentivos particularizados, Flexibilidad, Bolsa de Formación, Bonus por Objetivos, y más, en reconocimiento a la involucración y motivación de nuestras personas.El perfil tecnológico que buscamos es con experiencia de 3 años en JAVA / STRUTS/SPRING / HIBERNATE / JPAOfrecemos:* Contratación indefinida.* Salario según experiencia aportada.* Absoluta confidencialidad en el proceso de selección.* Integración en una empresa comprometida con sus empleados.* Trato directo y seguimiento continuo de la relación.* Flexiblidad según proyecto.* Incentivos: Plan de formación, Bonus por Objetivos y otros.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-java-struts-spring-hibernate-jpa-teletrabajo/of-i4ce1a15a8e499ea966cc58a6ceaa1d?applicationOrigin=search-new&page=32&sortBy=PUBLICATION_DATE
Desarrollador Java Microservicios Senior,METRICA CONSULTING,ace 1d,"['Java', 'Microservicios']","En Métrica Consulting estamos seleccionando un Technical Lead con sólida experiencia en Java y Microservicios, para incorporar en un importante proyecto del sector bancario.Requisitos imprescindibles:- Java- Microservicios- Inglés nivel B1 para poder asistir a reuniones técnicasRequisados deseables:- Metodología Ágil- TDD- Ser capaz de entender flujos funcionales complejosSus tareas incluirán:- Evaluar alternativas técnicas- Liderar técnicamente el equipo- Formación del equipo- Asistir a reuniones técnicas y funcionales (con el Product Owner del equipo)- Resolución de incidencias- Buenas habilidades de comunicación personal y empresarial¿Qué ofrecemos?100% TeletrabajoContrato y proyecto de duración indefinidaFormación gratuitaPlan de retribución flexible¿Buscas estabilidad? ¡Inscríbete!",Madrid,ncc, jornada completa,al menos 4 años,indefinido, 40.000€ - 44.000€ Bruto/año,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-java-microservicios-senior/of-i626f027c544e5aa04e610b6da7bf33?applicationOrigin=search-new&page=5&sortBy=PUBLICATION_DATE
Desarrollador Python,EVOLUTIO,ace 1d,"['Python', 'Azure', 'Git', 'Jenkins', 'Gestión']","Evolutio nace después de más de 30 años prestando servicios en el mercado español con la marca BT (British Telecom). Evolutio es un nuevo proyecto de servicios de telecomunicaciones, computación cloud, ciberseguridad y tecnologías de la información para clientes españoles, tanto con alcance internacional como doméstico.Conocemos los retos a los que nuestros clientes se enfrentan y cómo la tecnología les puede ayudar.¡Sólo nos faltas tú!La principal responsabilidad será trasformar y evolucionar los Sistemas de Evolutio en su plan de renovación tecnológica. Para ello, desarrollará las siguientes funciones:- Generación de los diseños técnicos en base a requerimientos y diseños funcionales.- Implementación de los diseños técnicos, incluyendo:- Desarrollo- Integración con sistemas- Seguimiento y planificación- Preparación y ejecución de planes de prueba- Documentación- Colaboración activa en los planes de mejora continua de los sistemas- Control de calidad. Elaboración de propuestas de optimización y trasformación de los sistemas- Actualización de versiones de software y productos- Comunicación y Colaboración con las distintas Áreas de Evolutio.- Coordinación y colaboración con proveedores cuando sea necesarioConsideramos imprescindible:- Formación técnica. Graduado en Informática o similar- Más de tres años de experiencia en desarrollo- Experiencia en Phyton- Experiencia en Azure- Contenedores y orquestación de contenedores- Experiencia con herramientas de DevOps: Azure Devops, Git, Jenkins,- Administración Sistemas: UNIX/Linux - Shell Script- Capacidades de gestión colaborativaConsideramos deseable:- Microsoft Power Apps / Power Automate- Base de datos:- Postgress/Oracle/SQL Server- PL/SQL, optimización consultas. Definición de modelos de datos.- Java, Hibernate, Springboot, Angular, React, Django- Power BI- Grafana / Prometheus- Apache, WeblogicNuestra propuesta de valor:- Un programa de beneficios sociales en el que trabajamos de forma continua para que responda a las expectativas de las personas que trabajan en Evolutio.- Diversas iniciativas de flexibilidad y conciliación laboral.- Un plan de aprendizaje continuo mediante plataforma elearning para que todas las personas que trabajan en Evolutio puedan desarrollarse profesionalmente tanto en competencias técnicas como en habilidades.- Una Oficina de Cambio Cultural cuyo objetivo es que todos los empleados de Evolutio sean agentes de cambio a través de creativas iniciativas y proyectos de innovación.- Una red de voluntariado dinamizada por la Fundación Evolutio que nace en 2006 como una forma de contribución a la sociedad utilizando las nuevas tecnologías como vehículo para ayudar a los colectivos más desfavorecidos.- Nuevas formas de trabajo en un entorno colaborativo, ágil y diverso.Los valores que nos definen:- Nuestro Compromiso: somos personas que asumimos responsabilidades, y nos empleamos al máximo para cumplir nuestras promesas.- Nuestra Confianza: creemos en nosotros mismos y en nuestras capacidades. Creen en nosotros porque actuamos con transparencia y humildad.- Nuestra Adaptabilidad: somos flexibles y nos sabemos manejar en entorno cambiantes e inciertos.¡Únete al reto digital!",Madrid,Otras actividades, jornada completa,al menos 3 años,indefinido,no disponible,2024-02-10,infojobs,https://www.infojobs.net/madrid/desarrollador-python/of-ied2e427fc143fdb42db05a31e3ab11?applicationOrigin=search-new&page=18&sortBy=PUBLICATION_DATE
