titulo,empresa,fecha,herramientas,descripcion,ubicacion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,solicitudes,fecha_scrapeo,url,portal
Técnico/a de Electrónica Vitoria-Gasteiz (Álava),EUROFIRMS ETT,Hace 8 horas ¡Nueva!,- Experiencia demostrable en un puesto similar.- Buscamos a una persona proactiva y responsable.- Valorable residencia cercana al puesto de trabajo.- Carnet de conducir y vehículo propio para desplazarse hasta las instalaciones.,- Instalación de equipos informáticos.- Mantenimiento de equipos.- Arreglo de componentes.- Identificación de errores.- Arreglo de impresoras.- Tareas relacionadas con la electrónica.,Vitoria-Gasteiz (Álava),,"['Técnico de Impresoras', 'Técnico de Hardware y Software', 'Categoría o nivelEmpleado Técnico']",,Al menos 1 año de experiencia,,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-de-electronica/vitoria-gasteiz/3016149/,infoempleo
PRODUCT OWNER Madrid,Page Personnel,Hace 3 horas ¡Nueva!,"Experiencia senior como product owner, inglés fluido, experiencia en Agile o SAFe. Valorable experiencia en web y Cloud.","Desde la división de tecnología en Page Group, buscamos profesionales especializados como Product Owner.Planificación, roadmaps, product goals, comunicación con el equipo de desarrollo y otros product owners.",Madrid,,"['Gestor - Especialista de Producto', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 5 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/product-owner/madrid/3016034/,infoempleo
Desarrollador PHP Madrid (Madrid),GRUPO CRIT,Hace 17 horas (Actualizada),"Requisitos:- Grado en informática o campo relacionado.- Experiencia comprobable en desarrollo PHP- Conocimientos sólidos en Symfony para el desarrollo y mantenimiento de aplicaciones web.- Habilidades en la gestión de servicios en la nube, (experiencia en despliegue y gestión de aplicaciones preferiblemente en Azure)- Experiencia en integración de datos, gestionar bases de datos.- Control de Versiones Git: Uso experto de Git para el control de versiones y colaboración en proyectos",Desde Grupo Crit buscamos un Desarrollador PHP con Especialización en Symfony y Azure para empresa ubicada en Madrid.FUNCIONES:- Desarrollo y mantenimiento de aplicaciones web en PHP utilizando Symfony.- Implementación y gestión de servicios en la nube de Azure.- Integración y manejo efectivo de bases de datos en proyectos.- Colaboración con equipos de desarrollo usando Git.SE OFRECE:- Contrato indefinido con empresa- Salario acorde a la experiencia.,Madrid,,"['Programador', 'Programador PHP', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 5 años de experiencia,Contrato Indefinido,Retribución sin especificar,4.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/desarrollador-php/madrid/3015985/,infoempleo
Desarrollador fullstack PHP Junior Madrid,Page Personnel,Hace 14 horas (Actualizada),"Perfil con mínimo 2 años de experiencia en puesto similar. Conocimientos destacados de PHP y algún framework (Laravel, Symfony, CakePHP..)Conocimientos en bases de datos (MySQL, MariaDB).","Importante empresa del sector IT busca incorporar un Desarrollador fullstack PHP.Grandes posibilidades de crecimiento profesional.Descripción de la oferta Participarás en todo el proceso de desarrollo de nuevas funcionalidades y módulos para su plataforma.   Desarrollo desde el diseño inicial hasta su lanzamiento y soporte.  Diseñar distintos tipos de soluciones PHP.   Optimización del código.   Diseñar bbdd SQL.   Uso de entornos ágiles.Perfil del candidato Formación de Grado o Profesional dentro del área IT (informática, telecomunicaciones, desarrollo web o similar).  Perfil con mínimo 2 años de experiencia en puesto similar.   Conocimientos destacados de PHP y algún framework (Laravel, Symfony, CakePHP..)  Conocimientos en bases de datos (MySQL, MariaDB).Oferta de empleo Contrato indefinido. Contratado directamente por el cliente final.   Salario: 25-35.000€ b/a. Valorable en función del perfil.  Modalidad híbrida. 3 días de teletrabajo a la semana.   Ubicación oficina: Madrid.  Flexibilidad horaria.  Beneficios sociales.",Madrid,,"['Analista-Programador', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,2.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/desarrollador-fullstack-php-junior/madrid/3015872/,infoempleo
Network and Security Engineer Madrid,Page Personnel,Hace 2 días,Network and Security Engineer,"Network and Security Engineer.Descripción de la oferta Guidance and support in the migration activities of local infrastructure and solutions to cloud for all EUROPE countries on the scope of Networking  Ensuring that Isonet (MPLS and IPsec) Services are Optimized ensuring Quality of Services on them and Failover.  Ensure the implementation across all EUROPE countries of the standard configurations & tools around networking administration and configuration.  Ensure that the Local Telco or Infra teams (internal or external) are engaged in the different regional infrastructure teams with the Platforms and Foundations Competence Center.  Support in the implementation of the Target Operational Model in the region focused on Networks operations.  Drive the adoption of standard processes and tools.  Work closely with the infrastructure and external Providers to provide technical guidance.  Helping countries on technical enablement's required on the Move to Azure roadmap.  Ensure that Knowledge management and standardization of the different Solution enablement's follow the New TOM aligned with the ITIL Processes in service management / service delivery activities.  Focus on knowledge management ensuring traceability and proper documentation of the Network assets and services in the CMDB.  Providing support to the Local and Regional Teams on operational Incidents.  Monitor and manage all KPI based performance, spotting trends, and ensuring the highest level of quality of service.  Ensuring that a secure Networking approach is developed on the region.  Experience Migrating company's infrastructures from traditional MPLS/BGP/IPSec to SDWAN.  Standardize all the network at global level (offices and Datacenters).  Assisting in regular review and optimization of the networks WAN and LAN projects to acquire/upgrade equipment and WAN links to meet business requirements.  Proactive management and maintenance of the networks.  Keeping up to date with relevant technologies such as Firewalls, Azure cloud and SDWAN.Perfil del candidato +5 years' experience in Networking.  +2 years managing teams.  +3 years of experience related to Networking administration MPLS/IPSec and SDWAN.  Azure Cloud infrastructures, Active Directory and Azure Devops.  Valuable experience in SDWAN.  Project Management experience will be valuable.  Experience managing multiskilled teams.  Very good IT knowledge adopting new technologies in existing environments.  Knowledgeable in ITIL methodology.  Infrastructure monitoring tools: Datadog, Dynatrace, NewRelic, Nagios.Oferta de empleo Proffsional development.",Madrid,,"['Administrador de Bases de Datos', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 5 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/network-and-security-engineer/madrid/3015868/,infoempleo
Erp finance specialist 3306d9d3 Barcelona,Adecco,Hace 2 días,"Se requiere Licenciatura / Ingeniería Superior y Al menos 2 años de experienciaConocimiento y experiencia en áreas financieras (contabilidad y controlling)Experiencia de al menos 2 - 5 años en un puesto similarExperiencia en proyectos de implementación financiera de ERP (es imprescindible haber participado en, al menos, dos ciclos completos de implementación dentro de la empresa consultora)Estudios mínimos en Finanzas, Economía o ADE. Disponibilidad para realizar viajes, incluidos viajes al extranjero.Inglés fluido","¿Te gusta trabajar en entornos internacionales? ¿Dispones de experiencia trabajando con implantación de sistemas y tienes conocimientos en el área financiera?¡Te lo contamos todo!Trabajarás en una importante empresa del sector automoción ubicada en Montornés del Vallés como ERP Finance Specialist formando parte del equipo ERP Global que da soporte financiero a nivel mundial para otros sites del grupo. Tus responsabilidades serán las siguientes:- Comprender el finance templatede Global ERP para implementar en todas las plantas de todo el mundo, asegurando que las tareas requeridas se cumplan a tiempo y cumpliendo los objetivos.- Conocimiento de los módulos financieros del ERP a implementar (Cuentas por Pagar, Cuentas por Cobrar, Libro Mayor, Costeo, Activos Fijos)- Analizar las necesidades del negocio y brindar soluciones desde un punto de vista global, teniendo siempre en cuenta la funcionalidad del sistema estándar existente- Preparar la configuración financiera y la migración de datos para implementar la solución propuesta- Preparar y proporcionar capacitaciones financieras a los usuarios clave locales para implementar la solución propuesta según sea necesario, brindando apoyo en las pruebas y fases piloto antes de comenzar las actividades reales en el nuevo sistema.- Brindar apoyo en el cierre de fin de mes- Comunicar el estado de los proyectos y los tickets Helpdeska los solicitantes proporcionando comentarios adecuados con regularidad",Barcelona,,"['Consultor ERP', 'Categoría o nivelTécnico']",,Al menos 2 años de experiencia,,36.000€ Brutos/anuales,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/erp-finance-specialist-3306d9d3/barcelona/3015812/,infoempleo
Técnico/a de Soporte Informático (Teletrabajo Hibrido) Madrid (Madrid),GRUPO AGIO,Hace 19 horas (Actualizada),- Experiencia previa de 2 años en tareas similares- Disponiblidad inmediata para la incorporación,"AgioGlobal selecciona desde su división de Outsourcing un/a técnico/a de soporte informático para importante empresa ubicada en la zona centro de Madrid.Las funciones a realizar serán:- Diagnostico y solución de problemas informáticos, tanto a nivel de hardware como de software.- Brindando soporte técnico a los compañeros para garantizar un funcionamiento eficiente de los sistemas y equipos informáticos.- Ofrecer asistencia y capacitación a los compañeros de trabajo y clientes en el uso de herramientas informáticas.- Gestionar las consultas y solicitudes de soporte técnico de manera efectiva y amigable.- Mantener un alto nivel de satisfacción del cliente interno y externo a través de una comunicación clara y soluciones eficaces.Se ofrece contrato indefinido desde el primer día, horario de Lunes-Viernes 9-18:15 y modalidad de trabajo híbrida (3 días presencial y 2 teletrabajo)Si crees que es tu oportunidad, no dudes en inscribirte!",Madrid,Teletrabajo parcial,"['Técnico de Soporte', 'Técnico de Hardware y Software', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 2 años de experiencia,Contrato Indefinido,Retribución sin especificar,17.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/tecnicoa-de-soporte-informatico-teletrabajo-hibrido/madrid/3015783/,infoempleo
C++ Developer - AI & Video Analytics Company (Vallés Occ.) Barcelona,Page Personnel,Hace 3 horas (Actualizada),"Bachelor's degree in Computer Science, Engineering, or related field.  +2 years of C++ of professional experience.  Interest in working on high-performance C++ software development with experience in multi-threading and asynchronous programming.  Strong knowledge of software design patterns and development methodologies.  You are an open minded, positive, pragmatic and solution-oriented person with a focus on goalsand outcomes.  You have strong analytical, communication and problem-solving skills.  Nice things to have: Familiar with SOLID principles, testing or agile.","We are looking for a highly skilled and motivated C++ Developer with experience.    Analysis, design, implementation and maintenance of world class smart video surveillance solutions.  Deliver state of the art software in an agile environment within a highly collaborative team of engineers.  Take ownership and drive end-to-end quality software development processes.  Ensure coding standards are followed and help to enforce good programming practices within the engineering team.",Barcelona,,"['Analista-Programador', 'Ingeniero de Software C++', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 1 año de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/c-developer-ai-video-analytics-company-valles-occ/barcelona/3015653/,infoempleo
Software developer .NET with fluent enligsh Barcelona (Barcelona),Page Personnel,Hace 38 horas (Actualizada),"- Must have very good knowledge of .Net and C# (at least 1 year of experience).- Should have the understanding of Test Driven Development (TDD) and have the ability to write unit tests- Must have strong Object-oriented modelling and design skills.- Strong problem-solving skills.- Should have hands on with JavaScript ECMA, Typescript.- BE/BCA/MCA/BSc degree in Computer Science or relevant- Full professional level of English language- Real passion for software engineering and best practices.Desireble: - Knowledge on working with Relational Databases, SQL, NOSQL.- Hands-on experience in using open source technologies such as Liferay.- Good knowledge of current frameworks like ICE faces, JSF.- Must have hands-on coding with frameworks like Spring Core & Spring Boot.- Must have experience in developing REST services.- Experience in developing Rest Services in Microservices architecture.- Handling Common web services and XML processing.- Knowledge of internet technologies, software architectures and development tools such as Eclipse, maven and SVN. - Willing to work in other languages like Kotlin, Golang, Scala, Ruby on Rails Etc.,","Technology company with its own product and projects for clients in the automotive sector. Permanent contract for a Mid-Senior level professional developer in C# with 3 to 8 years of experience. Fluent English is essential for conducting interviews.- Design and develop high-quality applications using C#, .NET among other tecnologies.- Collaborate with the design team to define requirements and ensure the best user experience.- Manage the entire development lifecycle, from conceptualization to implementation and maintenance.- Define tasks and time estimates, ensuring the delivery of projects within established deadlines.- Stay updated on the latest trends and technologies in application development.",Barcelona,Teletrabajo parcial,"['Analista-Programador', 'Analista-Programador .NET', 'Arquitecto de Software .NET', 'Categoría o nivelTécnico Mando intermedio']",Jornada Completa,Al menos 3 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/software-developer-net-with-fluent-enligsh/barcelona/3015634/,infoempleo
Programador Web Java,GRUPO CRIT,Hace 27 horas (Actualizada),"Experiencia de 4 años como analista programador. Conocimientos web en Html5 - Css3 – Bootstrap – Jquery – Ajax - Maquetación web Conocimientos back en Jdk versiones 8, 11, 17 – Maven - Springboot (módulos mvc, security, data, jdbc, webservices) - Swagger/OpenAPi - SQL / PLSQL - Oracle – Thymeleaf – Freemaker - Pruebas de integración (Junit, Postman, SoapUI) - Shell linux","Desde Grupo CRIT buscamos un Programador Web Java para empresa especialista en soluciones tecnológicas.Persona que formará parte de un equipo de desarrollo del departamento de Compensación Electrónica, para el mantenimiento y migración de los sistemas actuales","Barcelona, Alcobendas (Madrid), Bilbao (Vizcaya)",Teletrabajo parcial,"['Analista-Programador', 'Programador', 'Programador JAVA', 'Analista-Programador Java', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,1.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/programador-web-java/3015551/,infoempleo
System Security Engineer Estados Unidos,THE WISE SEEKER S.L,Hace 32 horas (Actualizada),"-Due to the sensitivity of customer related requirements, U.S. Citizenship is required.-Candidate must have a master's degree in a specialized field plus a minimum of 4 years of applicable experience; or, a bachelor's degree in the specialized field plus 5 years of applicable experience; or, a bachelor's degree in any field with a minimum of 7 years of specialized experience.-Must have a Top Secret clearance.-Candidate will provide subject matter expertise in the system engineering technical review (SETR) process and through each adaptive acquisition framework pathway.-Must have thorough understanding of engineering principles and analyze a wide range of technology principles.-Must have familiarity with security requirements (e.g., anti-tamper, exportability features, supply chain risk management, secure design, defense-in-depth and cybersecurity implementation) required.-Must have DAU Courses such as ACQ 160 or ENG 260 or equivalent experience.-Must have a DoD Top Secret Clearance","At The Wise Seeker, we're seeking a System Security Engineer subject matter expert (e.g. anti-tamper, exportability features, and secure design) to represent program protection equities in the system engineering technical review (SETR) process to ensure adequate protection measures are incorporated across the entire customer portfolio and throughout each’s product’s lifecycle.The System Security Engineer (SSE) will provide Technology Protection and engineering assistance to an Army acquisition program. Apply scientific and engineering principles to identify security vulnerabilities in hardware, software, or firmware and develop risks and mitigations associated with these vulnerabilities. Position will play a key role in protecting critical technology and recommending appropriate countermeasures and program protection strategies.Tasks-Document program protection planning in the systems engineering plan (SEP), program protection plan (PPP) and system security plan (SSP).-Analyze and assist engineering and program management with program protection requirements analysis.-Provide technical support to identify vulnerabilities for CPI, mission critical functions, mission critical components, and recommend appropriate security controls.-Support system threat assessments, vulnerability identification, security risk analysis, and security test and evaluation.-Provide System Security Engineer subject matter expertise in meetings, system engineering technical review (SETR) process, and through each adaptive acquisition framework pathway.",Estados Unidos - Maryland,Teletrabajo parcial,"['Técnico de Seguridad', 'Técnico de Sistemas', 'Categoría o nivelTécnico']",Jornada Completa,Al menos 4 años de experiencia,Contrato Indefinido,Retribución sin especificar,0.0,2024-01-26,https://www.infoempleo.com/ofertasdetrabajo/system-security-engineer/maryland/3014259/,infoempleo
