titulo,empresa,fecha,herramientas,descripcion,ubicacion,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal
INFORMATICO junior Sant Cugat del Vallés,Externa," 
15 de ene",[],"FuncionesDesde Grupo Externa estamos buscando a un informático junior para incorporar en un Call Center situado en San Cugat del Vallés que realice las siguientes funciones:- Garantizar la calidad de la información.- Interlocución con proveedor externo ocasionalmente para el desarrollo del aplicativo.- Conocimiento estructura Jira- Asistencia remota- Apertura de incidencias- Monitorización de equipos- Apertura de incidencias- Acceso a datos.- Documentación de procedimientosSe ofrece-Salario de 9,68€ b/h-39 o 35 horas semanales, nos adaptamos a sus necesidades.-Horario: 13h a 20h o de 12h a 20h o de 11h a 20h con una hora para comer.-Perfil junior.-Gran conocimiento de Excel, nivel Avanzado.-4 meses por ett y posteriormente será contratado por empresa",San Cugat Del Vallés,"
Informática y telecomunicaciones -
													Sistemas
", jornada completa,al menos 1 año,de duración determinada,18.000€ - 20.000€ Bruto/año,2024-01-26,infojobs
Senior Data Scientist  IA Generativa y NLP,M & GT Consulting," 
15 de ene","['Python', 'IA', 'pyspark', 'plotly']","Es imprescindible que tenga conocimientos de IA Generativa y NLP (procesamiento del lenguaje natural, Transformers, LLMs)Amplia experiencia en ML: aprendizaje supervisado (regresión logística, redes bayesianas, random forest, baggins, clustering, deep learning, XGBoost), no supervisado (clustering, reducción dimensional, ...) y series temporalesProfundos conocimientos de programación en Python PySpark, SQLConocimiento de nuevas tecnologías de visualización: plotly, matplotlib, bokeh, ggplot2, Dash, D3,...M&GT Consulting es una Consultora Tecnológica y de Negocio con un fuerte bagaje profesional y especialización en sectores como la Banca, las Telecomunicaciones o la Industria.Somos una empresa joven y comprometida con la innovación y los cambios, por lo que apostamos fuerte por los nuevos retos de la tecnología: Big Data, Cloud, Desarrollo Digital o Movilidad.Trabajamos con los clientes más importantes de estos sectores, ofreciendo proyectos acordes a tu formación, experiencia y motivaciones profesionales.Ofrecemos:- Incorporación a la plantilla de M&GT.- Formación y seguimiento personalizado para tu desarrollo profesional (mentor).- Participación en proyectos de tecnologías destacables en el sector.- Salario acorde a la experiencia aportadaNuestra política de privacidad se encuentra en nuestra web http://www.mgt-consulting.com/index.php/esp/politica-de-priv",Madrid,Servicios financieros, jornada completa,más de 5 años,indefinido,o disponible,2024-01-26,infojobs
Comercial producto tecnológico,MELT GROUP," 
15 de ene","['Ventas', 'Operaciones de venta', 'Digital', 'Presupuestos', 'Calidad', 'Flexibilidad', 'Búsqueda', 'Documentación']","Si tienes experiencia en venta de producto tecnológico, vives en la zona de Bilbao y crees que es un buen momento para iniciar un nuevo reto profesional, en Melt Group te estamos buscando.Empecemos por la empresa:Se trata de una tecnológica que lleva más de 10 años aportando soluciones innovadoras en torno a la identidad digital tanto para sector público como privado. Su cartera de soluciones permite a las empresas implementar tecnologías innovadoras para la automatización y digitalización de sus procesos. Cuentan con cerca de 100 personas en plantilla y más de 360.000 clientes suscritos, con un incremento sostenido de 128 nuevos al día. Hablemos de tu proyecto:Serás responsable del cumplimiento de los Objetivos Plurianuales de Ventas, plasmados en los Presupuestos aprobados por la Propiedad, diseñando el correspondiente Plan Comercial. Reportarás e informarás periódicamente al director de ventas de la evolución de sus operaciones de Ventas, de la gestión con tus clientes, y de la obtención gradual de los objetivos fijados, determinando y proponiendo, cuando sea necesario, las acciones correctoras oportunas. También serás responsable de proyectar la Imagen de la empresa, y de potenciar el sello de Identidad Corporativa e Imagen de Marca.Funciones principales:- Cumplimiento de objetivos de ventas.- Búsqueda de nuevos clientes.- Implementación de las medidas necesarias para corregir posibles desviaciones sobre sus objetivos.- Realización de demostraciones comerciales.- Gestión y acompañamiento del cliente en todo el proceso de alta.- Gestionar y completar toda la documentación legal necesaria para dar el alta de cliente.- Asegurar la calidad en las operaciones y en el servicio al cliente.- Proponer y llevar a cabo acciones para fidelizar al cliente.- Conocer en profundidad los productos y su operativa interna.- Reportar incidencias o debilidades de seguridad que se detecten durante el trabajo diario.- Respetar las normas especificadas en la Política de Seguridad de los usuarios.¿Cuál es la experiencia que puedes aportar?- Experiencia en ventas de al menos 6 años.- Conocimientos del sector tecnológico.- Conocimiento de soluciones y ""offfering"" a cliente.- Carnet de conducir.- Comunicación efectiva.- Enfoque a cumplimiento de objetivo y obtener resultados.Esto es lo qué te hará destacar:- Conocimiento del sector de Despachos profesionales: Asesorías y Administración de Fincas en general y de los que se encuentren en su territorio en particular.¿Te preguntas qué podemos ofrecerte? Ahí va:- Salario: 24.000 € - 45.000 € (fijo + comisiones)- Medidas de conciliación: flexibilidad horaria, teletrabajo, etc.- Seguro de vida y accidentes.",Bilbao,Venta al por mayor, jornada completa,más de 5 años,indefinido,24.000€ - 45.000€ Bruto/año,2024-01-26,infojobs
Técnico/a Soporte Informático,ZAidAN it solutions," 
15 de ene","['Hardware', 'Software', 'Informatica', 'Soporte informático a clientes', 'Gestión de incidencias']","En representación de importante cliente ubicado en Gipuzkoa, en las zonas de Irún y Oyarzun, Zaidan IT Solutions, empresa líder en el sector de consultoría en tecnologías de la información, se encuentra en la búsqueda de:02 Técnicos/as de Soporte Informático- Funciones: configuración, maquetado de equipos, instalación y preparación de equipos, soporte a usuarios, resolución de incidencias a nivel hardware y software, entre otras propias del puesto.- FP en informática o afín.- Experiencia mínima: 6 meses (incluidas prácticas de grado)Contrato Indefinido a Jornada Parcial.OPCIÓN 1: lunes y miércoles, de 09 a 13 horas (Oyarzun)OPCIÓN 2: martes y jueves, de 09 a 13 horas (Irún)Posibilidad de complementar con otros proyectos en la zona de Gipuzkoa o alrededores.",Oiartzun,Servicios y tecnología de la información, jornada parcial - mañana,al menos 1 año,a tiempo parcial,15.000€ - 16.000€ Bruto/año,2024-01-26,infojobs
Analista Programador/a C# / Webforms / PL/SQL  (Teletrabajo 100%),MINSAIT (Indra Producción de Software)," 
15 de ene","['SQL', '.NET', 'C#', 'WebForms', 'PL/SQL', 'ASP.NET (ASP+)']","More digital. More human. More Minsait.Somos una empresa líder global de tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.Buscamos Analistas y Programadores/as, con experiencia en C# con ganas de trabajar en nuestros equipos multidisciplinares.¿Cuál es el reto que te proponemos?Desarrollarás en entornos Java con tecnologías punteras.Estarás en contacto continuo con las novedades tecnológicas, impulsando la transformación digital.Participarás en proyectos y desarrollos que tienen una alta visibilidad y que marcan la diferencia con soluciones disruptivas y especializadas para toda la cadena de valor.¿Qué esperamos por tu parte?Al menos 3 años de background técnico en .NET, con el entorno tecnológico que sigue:Analista Programador .Net C# con Webforms, cuyas principales funciones serán:o Desarrollo en .NET.o Toma de requisitos, análisis y estimación de los desarrollos.o Elaborar y gestionar la documentación de los desarrollos.o Conocimientos: Aplicaciones Web en .Net C#, ASP.Net, Webforms, Javascript, jquery, Oracle (SQL y PL/SQL)Motivos por los que te encantará ser un #Minsaiter:Conciliación y equilibrio: 32 días laborables de descanso, jornada intensiva en verano y teletrabajo.Carrera profesional y formación continua adaptada a tus necesidades y motivaciones.Contrato indefinido y retribución competitiva, seguro de vida y acceso a planes de retribución flexible.Programa de bienestar con acceso a una red de gimnasios, servicio de telemedicina en línea gratuita y otras ventajas.Minsait, technology for a more human future!Nuestro compromiso es promover ambientes de trabajo en los que se trate con respeto y dignidad a las personas, procurando el desarrollo profesional de la plantilla y garantizando la igualdad de oportunidades en su selección, formación y promoción ofreciendo un entorno de trabajo libre de cualquier discriminación por motivo de género, edad, discapacidad, orientación sexual, identidad o expresión de género, religión, etnia, estado civil o cualquier otra circunstancia personal o social.",Madrid,Desarrollo de programación, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-26,infojobs
"Técnico/a de Soporte, A Coruña",ZAidAN it solutions," 
15 de ene","['Mantenimiento', 'Gestión', 'Informatica', 'Impresoras', 'Herramientas de ticketing']","Para importante cliente ubicado en la provincia de A Coruña, desde Zaidan IT Solutions, empresa consultora en el sector IT, nos encontramos en búsqueda de:Técnico/a Informático y de SoporteFunciones:- Mantenimiento de las infraestructuras y equipos informáticos- Maquetado, configuración de Equipos- Resolución de incidencias de los usuarios- Uso de herramienta de ticketing.Requisitos:- FP en informática o afín.- Experiencia mínima: 6 meses- Disponibilidad inmediata para trabajar media jornada- Contrato IndefinidoLugares y Horarios:1.- Ferrol: Martes y Jueves de 09:00 a 13:00 hrs.2.- Coruña: Lunes y Miércoles de 09:00 a 13:00 hrs.3.- Santiago de Compostela: Martes y Jueves de 09:00 a 13:00 hrs.",Ferrol,Servicios y tecnología de la información, jornada parcial - mañana,al menos 1 año,indefinido,15.000€ - 16.000€ Bruto/año,2024-01-26,infojobs
PERFIL DESARROLLADOR SPA ANGULAR,"ALVEA SOLUCIONES TECNOLOGICAS, S.L."," 
15 de ene","['Front-end', 'angular', 'SPA', 'Material', 'ES6', 'Typescript', 'Solid', 'CI CD', 'Jenkins', 'Swagger']","Desde Alvea Soluciones Tecnológicas estamos en búsqueda de un perfil Angular como tu!Conocimientos requeridosAltos:AngularExperiencia de frameworks de tipo SPA Angular (Matertial, Clarity)Conocimiento altos de ES6 y TypescriptMedios:Expertise en el uso de librerías y herramientas front-end como Webpack, NPM, ESlint, SCSSMicrofrontalesAplicación de buenas prácticas, principios y metodologías: Gitflow, BEM, SOLID, ""SCRUM""...Experiencia trabajando con arquetipos clientePostman (prerequest-tests), Newman.Experiencia y conocimiento de arquitecturas para despliegues front-end haciendo uso de CI/CD (Jenkins)Uso de herramientas de calidad de código como Sonar, ESLintConocimiento de integración de frontales con APIs: CORS, securización con WTDeseables:SwaggerManejo de sistemas de virtualización/contenedores de entornos como Docker, Kubernetes...Conocimiento de testing unitario y e2e front-end con herramientas como Jasmine, KarmaOfrecemos:Contrato: IndefinidoModalidad:Remoto.Salario: motivante y competitivo.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-26,infojobs
SAP MANAGER_EMPRESA FINAL,LHH Recruitment Solutions," 
15 de ene","['SAP', 'SAP S/4HANA', 'Roll Out', 'Gestión', 'Mantenimiento', 'Negociación']","Desde LHH Bilbao buscamos un perfil ""SAP MANAGER"" para incorporase en la plantilla de nuestro cliente, EMPRESA FINAL LÍDER INTERNACIONAL EN SOLUCIONES DE INGENIERÍA  próxima a Beasain.Se busca una persona con PERFIL ""SAP MANAGER"" con al menos 3 años de experiencia con estudios mínimos en Ingeniería o ADE similar. JORNADA FLEXIBLE DE ENTRADA Y SALIDA.Dependiendo del Director de Sistemas, las funciones másrelevantes para esta posición serían:-Los roll out internacionales quedarían bajo la responsabilidad de esta figura.-Controlar como trabaja funcionalmente SAP-Sería la persona responsable de las contratas que dan soporte a SAP (contratos, relaciones con las mismas etc.)Requisitos:-Formación: Ingeniería/ ADE-Capacidad de organización, negociación, gestión y trabajo en equipo.-Experiencia en implantaciones o mantenimiento SAP S/4 HANA.-Valorable experiencia en módulo MM de SAP-Valorable experiencia en programación en entorno SAP HANA y S/4.-Idiomas: Inglés (se valorará muy positivamente el Euskera)Ofrecemos:-Interesante Paquete retributivo (Banda Salarial abierta en función a tu expertise)-Contrato Indefinido y Flexibilidad horaria- Plan de Carrera- Otros beneficios sociales",Idiazabal,Industria química, jornada completa,al menos 3 años,indefinido,o disponible,2024-01-26,infojobs
Técnico/a de Soporte con Alemán,SEIDOR," 
15 de ene","['Helpdesk', 'Informatica', 'CAU', 'ingles', 'aleman']","En SEIDOR creemos que otra forma de afrontar el futuro es posible.Promovemos el desarrollo sostenible, la diversidad, la igualdad de oportunidades y la conciliación entre nuestros equipos.Por ello buscamos personas inquietas, comprometidas, que les motiven los retos y con ganas de crecer personal y profesionalmente, que se unan a nuestro equipo para dar respuesta a los desafíos de nuestros clientes a través de proyectos con impacto.¿TE APUNTAS AL RETO?Queremos que formes parte de nuestro equipo IT HELPDESK en Barcelona. Se trata de un equipo que trabaja con un cliente extranjero y donde se ofrecen unas condiciones competitivas. ¿QUÉ ENCONTRARÁS EN SEIDOR?+ Un equipo diverso. Somos inclusivos y valoramos a todas las personas, respetando las diferencias que nos hacen más humanos.+ Compañerismo. Nos ayudamos, trabajamos en equipo y aprendemos los unos de los otros.+ Aprendizaje continuo. Contamos con diferentes tipos de formación (idiomas, formaciones técnicas, certificaciones, etc.) para impulsar tu desarrollo personal y profesional.+ Carrera profesional individualizada, para que seas tú quien decide a donde quieres llegar, según tu experiencia, intereses y motivaciones.+ Autonomía y posibilidad de proponer y promover nuevas oportunidades.+ Programa de retribución flexible (Tickets guardería, restaurante, transporte, y seguro médico)+ Descuentos exclusivos y condiciones especiales por ser empleado de SEIDOR en tecnología, ocio, viajes, etc.+ Podrás formar parte de iniciativas solidarias y relacionadas con el medio ambiente, a través de nuestra colaboración con organizaciones sociales y acciones de voluntariado.+ Si tienes inquietudes internacionales, estamos en 45 países.¡Únete a nuestro equipo y ayúdanos a humanizar el mundo a través de la tecnología!",Barcelona,Servicios y tecnología de la información, jornada completa,al menos 1 año,indefinido,o disponible,2024-01-26,infojobs
SENIOR JAVA DEVELOPER 100% REMOTO,LHH Recruitment Solutions," 
15 de ene","['Java', 'SQL', 'Arquitectura', 'Git', 'Bases de datos', 'API', 'Spring', 'Metodologías ágiles']","Desde LHH estamos buscando un perfil "" DESARROLLADOR/A SENIOR JAVA 100% REMOTO"" en reputada Empresa proveedor líder de soluciones de entrega de video y TV OTT digital.Requisitos:·      Mínimo 6  años de experiencia en desarrollo backend JAVA·      Sólida comprensión de los fundamentos orientados a objetos.·      Experiencia comprobada con arquitectura de microservicios.·  Competencia en la optimización de código y procesos, documentación y pruebas.·      Experiencia en metodologías ágiles (SCRUM, Kanban).·      Experiencia en el desarrollo de sistemas robustos y altamente escalables.·      Familiaridad con los sistemas de control de versiones, especialmente GIT.·      Conocimiento de bases de datos SQL.·      Dominio de Java y experiencia con el ecosistema Spring Boot, incluyendo Spring MVC, Spring WebFlux, Spring Data, Spring Security, Spring Cloud, etc.·      Familiaridad con herramientas de optimización de entrega de contenido como Nginx, Varnish y Hazelcast.·      Conocimiento de soluciones de despliegue como Docker y Vagrant.·      Comprensión de las tecnologías de TV, incluyendo streaming y DRM.·      Experiencia en el uso de OpenAPI/AsyncAPI para el desarrollo de API.·      Familiaridad con los principios de Domain-Driven Design.·      Conocimiento de los agentes de mensajes.Funciones:·      Participar en el desarrollo de nuevos productos y en la evolución de los existentes a la vez que contribuye en las decisiones arquitectónicas (por ejemplo: Plataforma de TV de Nueva Generación).·      Colabore en el diseño y la implementación de nuevas funciones necesarias para admitir módulos de backend y funcionalidades y versiones de la plataforma.·      Ayudar en la entrega de análisis y desarrollo para aplicaciones de alto rendimiento, confiables, seguras y escalables.Ofrecemos:-      Trabajo 100% remoto-      Flexibilidad de entrada y salida-      Formación continua-      Oportunidades de crecimiento dentro de la Empresa-      Interesante paquete retributivo",Madrid,Telecomunicaciones, jornada completa,más de 5 años,indefinido,o disponible,2024-01-26,infojobs
Consultor/a de implantación ámbito Administración electrónica (f/m),T-Systems,11 de ene,"['Consultoría', 'Administración', 'Electrónica', 'Administración pública', 'Gestión Documental', 'Gestión de expedientes', 'Sector público', 'Puesta en marcha', 'Tecnologías de la información', 'Gestión']","T-Systems, multinacional líder en Tecnologías de la Información y las Comunicaciones, precisa incorporar a Consultores/as en administración pública en entornos de modernización, idealmente con experiencia en implantaciones de productos TIC y conocimientos y experiencia en gestión de expedientes, Leyes 39/2015 y 40/2015, e-administración, etc., para incorporarse en nuestro equipo de TAO y participar en importantes proyectos.La posición es en Barcelona en modalidad híbrida.Buscamos personas con experiencia demostrable en configuración y puesta en marcha, en Ayuntamientos, Diputaciones, CCAA, etc., de aplicaciones de:Modernización administrativa (Registro de entrada y salida de documentos, Gestión de expedientes, gestión documental, integración con plataformas generales de contratación, subvenciones, etc.).Administración electrónica (Sede Electrónica, presentación telemática de solicitudes y documentación, obtención de documentos etc.).Realizarás funciones tales como consultoría, implantaciones de producto, formaciones y soporte a clientes de la administración pública local.Ofrecemos plan de carrera profesional como consultor/a de modernización (Administración Electrónica - Sector Público).¿Qué te ofrecemos?Posición estable, ambiente de trabajo muy positivo, dinámico y motivado.Modelo híbrido de trabajo (teletrabajo/presencial).Flexibilidad horaria.Retribución mensual a negociar en función de la valía profesional y experiencia del candidato.Plan de carreraPlan de formación en competencias tecnológicas de acuerdo con el perfil de la persona y las necesidades de los proyectos y clientes.Formación continua.Plan de Retribución Flexible.Seguro de vida y accidentes.Tickets guardería¡y muchas más ventajas por formar parte de T-Systems!Si estás buscando un nuevo reto, no dudes en enviarnos tu CV¡Únete a nuestro equipo!¡Come to the magenta side!T-Systems Iberia solo tratará los CVs de quienes reúnan los requisitos especificados para cada oferta.",Barcelona,Telecomunicaciones, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-26,infojobs
Consultor/a de implantación (ámbito Tributos) (f/m),T-Systems,11 de ene,"['Gestión tributaria', 'Administración pública', 'SQL', 'Puesta en marcha', 'Tecnologías de la información']","T-Systems, multinacional líder en Tecnologías de la Información y las Comunicaciones, precisa incorporar a Consultores/as de producto (ámbito Tributos) (f/m) en nuestro equipo de TAO, idealmente en Barcelona y participar en importantes proyectos. TAO es la unidad de negocio de T-Systems, especializada en productos de software para la administración pública local, relacionados con contabilidad pública, tributos, administración electrónica entre otros.La posición está abierta en distintas localizaciones, preferible en BARCELONA, pero puede ser en otras sedes de T-Systems (Valencia, Bilbao, Gijón, Granada, Sevilla, Vigo), incluso se puede considerar 100% teletrabajo.Requisitos· Al menos 3 años de experiencia en Administración Pública en general y en gestión tributaria en particular.· Experiencia y conocimientos técnicos en SQL.· Capacidad para trabajar en equipo.· Orientación al cliente.· Disponibilidad para viajar.· Deseable titulación universitaria grado medio (diplomatura) o superior (licenciatura).Funciones· Configuración y puesta en marcha, en Ayuntamientos, Diputaciones, etc., de aplicaciones de:- Gestión Tributaria: tipos de ingresos, emisión de padrones, etc.- Recaudación voluntaria y ejecutiva· Liderar funcionalmente la implantación y el reparto de trabajo al resto de consultores.¿Qué te ofrecemos?· Posición estable, ambiente de trabajo muy positivo, dinámico y motivado.· Modelo híbrido de trabajo (teletrabajo/presencial).· Flexibilidad horaria.· Formación continua.· Plan de Retribución Flexible.· Seguro de vida y accidentes.· Tickets guardería· ¡y muchas más ventajas por formar parte de T-Systems!Si estás buscando un nuevo reto, no dudes en enviarnos tu CV¡Únete a nuestro equipo!¡Come to the magenta side!T-Systems Iberia solo tratará los CVs de los candidatos que reúnan los requisitos especificados para cada oferta.",Barcelona,Telecomunicaciones, jornada completa,al menos 4 años,indefinido,o disponible,2024-01-26,infojobs
CREADOR/A DE CONTENIDOS DE INTELIGENCIA ARTIFICIAL,Grupo Ioe," 
15 de ene","['Mantenimiento', 'Implementación de sistemas', 'Gestión de datos', 'Inteligencia artificial', 'Redacción y corrección']","Grupo IOE, consultora integral de formación, trabaja a nivel nacional dando servicio a más de 10.000 trabajadores en activo de aproximadamente 1.500 empresas, estudiando, diseñando, organizando y ejecutando acciones de formación a medida, según la necesidad de nuestros clientes.En este proceso de selección buscamos personas AUTÓNOMAS expertas en INTELIGENCIA ARTIFICIAL para desarrollar el contenido de los siguientes cursos, contenidos que irán dirigidos a los alumnos matriculados en nuestros estudios:- INSTALACIÓN Y MANTENIMIENTO DE SISTEMAS DE INTELIGENCIA ARTIFICIAL (IA)- GESTIÓN DE DATOS EN SISTEMAS DE INTELIGENCIA ARTIFICIAL (IA)- PREPARACIÓN DE MODELOS EN SISTEMAS DE INTELIGENCIA ARTIFICIAL (IA)- DESARROLLO DE SISTEMAS DE INTELIGENCIA ARTIFICIAL (IA)- IMPLEMENTACIÓN DE SISTEMAS DE INTELIGENCIA ARTIFICIAL (IA)Las personas seleccionadas pasarán a formar parte de nuestra plantilla de elaboradores, disfrutando de un horario y una organización flexibles, sin desplazamientos, respetando siempre los plazos de entrega. El plazo de entrega del material de cada uno de los cursos de este proyecto es de aproximadamente un mes.Una vez iniciado el curso, el elaborador/a podrá decidir si quiere tutorizar a los alumnos inscritos en el programa, asegurando así su continuidad en la empresa.Deberá contar con material bibliográfico suficiente y experiencia en ELABORACIÓN de material didáctico. La colaboración es en modalidad mercantil.",Sevilla,Educación, jornada indiferente,al menos 3 años,autónomo,o disponible,2024-01-26,infojobs
Desarrollador Abap IV (Remoto),BOYCOR," 
15 de ene","['ABAP', 'Gestión presupuestaria', 'Sap Webdynpro ']","¿Eres desarrollador de Abap IV y te gustaría trabajar en remoto?¡Te estamos esperando! Buscamos un Abap IV Developer para incorporarse directamente en una multinacional española, la cual, opera en más de 25 países a nivel mundial, ¿Cuál es la CLAVE de este puesto?- Contar con 2 años de experiencia en proyectos, desarrollando con Abap IV- Conocimientos en Sap Webdynpro y Gestión Presupuestaria. ¿Cómo SERÁ tu día a día?- Participación desde cero (manuales, parametrización)- Desarrollo de evolutivos y nuevas funcionalidades - Desarrollo y mantenimiento de aplicaciones - Soporte a usuarios y resolución de incidencias - Configuración y parametrización de soluciones estándar- Análisis e implementación de mejoras de procesos. Refactorización. - Identificar e Interpretar errores, desarrollar las soluciones y hacer propuestas - Documentación del proceso - Ejecución de planes de pruebas Deseable:Certificación en SAP Titulación Universitaria Te ofrecemos:- Contrato indefinido con cliente final para proyecto estable.- Modalidad de trabajo: remota.- Horario flexible:  7:30 a 9:30 y de 17 a 19. Viernes de 8 a 2 o de 9 a 15 y jornada intensiva en Julio y agosto - Una plataforma de formación propia bastante completa- Condiciones económicas: 33.500 - 34.000 euros brutos/año.  ¿Te sientes identificado/a? No dudes en inscribirte.",Valencia,EPT 005-24, jornada completa,al menos 3 años,indefinido,33.000€ - 36.000€ Bruto/año,2024-01-26,infojobs
Agile Program Manager TIC (100% Teletrabajo),ENTELGY - Resto de España," 
15 de ene","['Scrum', 'Análisis', 'Gestión', 'Comercio electrónico', 'Ecommerce', 'Retail', 'Agile', 'Desarrollo de proyectos']","DÉJANOS CONTARTE LO QUE NOS HACE GENUINEBuscamos profesionales que quieran reinventarse cada día, que enfrentarse a los retos vaya en su ADN y que sientan pasión por trabajar con la tecnología. Esto nos hace únicos, diferentes y auténticos.¿QUÉ ESTAMOS BUSCANDO?Buscamos a un Program Manager bajo el marco AGILE, para trabajar en la gestión y planificación de un Programa Técnico Senior, dentro de uno de nuestros clientes más relevantes en el sector retail.Trabajamos en un modelo 100% remoto.Funciones:Liderar un equipo como Program Manager, encargándose en las siguientes responsabilidades:- Interactuar con los stakeholders, usuarios y clientes para lograr tener una visión funcional de los requerimientos del proyecto.- Aterrizar esas necesidades funcionales en una serie de requisitos a trasladar a los distintos equipos.- Priorizar los requisitos a trasladar a los equipos manteniendo una mentalidad lean y ágilestableciendo unos criterios de aceptación de los mismos claros.- Coordinar distintos proyectos paralelos entre los distintos equipos ubicados en distintas áreasde la empresa.- Gestionar los cuellos de botella notificando a equipos afectados tratando de buscar solucionesjunto a ellos.- Maximizar la productividad de los equipos para conseguir los mejores resultados.- Identificar, seguir y aplacar los problemas durante el desarrollo de proyectos e interactuar con los patrocinadores de negocio y los equipos para buscar una solución.- Compartir la información del avance del proyecto a todas las partes interesadas.- Coordinar las implementaciones en un entorno ágil teniendo en cuenta las fechas de finalización de los sprints.- Elaboración y seguimiento del Roadmap de proyectos.- Ser capaz de leer las historias de usuario de los distintos equipos y validar el correcto cumplimiento de los criterios de aceptación de los requisitos.- Definir KPIs para los proyectos gestionados con ayuda de los product managers.PORQUE EN ENTELGY TODO COMIENZA CONTIGOCuidarte en todos los aspectos es una máxima en Entelgy, por ello, la conciliación es algo que valoramos y facilitamos con nuestro modelo de trabajo flexible, #Balance.Nuestra cultura se vive en el día a día, somos como una gran familia y formamos Entelgy Family, donde podrás participar en actividades, eventos, concursos y mucho más. También tenemos un conjunto de iniciativas orientadas a potenciar que tengas una vida sana y equilibrada, como nuestra plataforma digital de Salud y Bienestar MyWellness, Health Training y Entelgy SportClub.Además, con nuestro programa de Retribución Flexible MyFlex accederás a productos con ventaja económica y fiscal, así como podrás beneficiarte de más de 450 descuentos y ofertas especiales en nuestro portal MyClub y mucho más.ASÍ ES COMO PONEMOS TODO NUESTRO TALENTO EN POTENCIAR EL TUYOVen para formar parte de nuestro equipo, y descubre que no es sólo lo que hacemos, sino cómo lo hacemos. ¡Atrévete a vivir una experiencia Genuine!· Proyectos retadores para grandes clientes: Trabajarás en proyectos de gran relevancia para nuestros clientes, junto a un gran equipo de profesionales desde el primer día.· Partners de las mejores tecnologías: AWS, Splunk, Red Hat, Microsoft, Opentext y Oracle, Celonis y más.· Entelgy College: nuestra universidad pone a tu disposición una amplia oferta formativa en tecnologías, habilidades, certificaciones, 12 idiomas y mucho más. Tu decides en que quieres formarte.· Un progreso acelerado: Tu crecimiento estará garantizado y potenciado. Vamos contigo en lo que necesites.",A Coruña,Servicios y tecnología de la información, jornada completa,al menos 4 años,indefinido,o disponible,2024-01-26,infojobs
Programador/a CNC,IMAN TEMPORING,11 de ene,"['Programador/a', 'CNC', 'Centro de mecanizado', 'Torno']","Desde IMAN Temporing, empresa especializada en RRHH, queremos acompañarte en tu trayectoria laboral. #ConectamoseltalentoconlasoportunidadesOfrecemos la oportunidad de trabajar para una importante empresa de mecanizado en la comarca de Pamplona. Funciones: - Operar máquinas herramientas convencionales para el conformado de perfiles metálicos.- Programar CNC torno y centro mecanizado. - Determinar los procesos de conformado mecánico y sus variables operativas. - Operar máquinas comandadas a CNC para el conformado de perfiles metálicos.- Aplicar el control dimensional durante el proceso de conformado de perfilerí",Orkoien,Desarrollo de programación, jornada completa,al menos 1 año,indefinido,o disponible,2024-01-26,infojobs
Devops Engineer REMOTO,novanotio," 
15 de ene","['Openshift', 'Github Actions', 'Kubernetes', 'API']","Desde Novanotio estamos buscando un Devops Engineer para trabajar con uno de nuestros principales clientes. Funciones:· Implementar y mantener la infraestructura de OpenShift· Automatizar los procesos de integración y despliegue continuos (CI/CD) con GitHub Actions· Gestionar las aplicaciones desplegadas en Kubernetes· Integrar y gestionar los API Gateways de ApigeeRequisitos:· Al menos 2 años de experiencia en DevOps· Conocimientos sólidos de OpenShift, Kubernetes, GitHub Actions, Apigee y Apigee Connect· Experiencia en la implementación de soluciones DevOps en entornos productivos· Nivel de inglés B2 - C1SALARIO EN FUNCIÓN EXPECTATIVAS DEL CANDIDATO. ¿QUÉ OFRECEMOS?- Contrato INDEFINIDO.- SALARIO A NEGOCIAR en función de experiencia y formación.- Posibilidad de RETRIBUCIÓN FLEXIBLE (seguro médico, cheque guardería, tarjeta transporte, tickets restaurante)- FORMACIÓN ADAPTADA a tu puesto e intereses personales y profesionales.- MENTORING de liderazgo tecnológico. NOVANOTIO CERTIFIED es un mapa del mundo de la tecnología y una brújula personal. Te permitirá orientar tu carrera, crecer con tus éxitos y aprender de tus errores.",Madrid,Servicios y tecnología de la información, jornada completa,al menos 2 años,indefinido,o disponible,2024-01-26,infojobs
