titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal
Senior Active Directory Engineer,Michael Page,24/01/2024,"Active Directory, DHCP, DNS","Perfil buscado (Hombre/Mujer)• Serves as the Senior Active Directory SME (subject matter expert), knowledge of Active Directory related technologies (Group Policy, DHCP, DNS, Active Directory enterprise design principles etc.).• Proven expertise in planning, designing and architecting domain consolidation projects.• SME knowledge of Azure and Azure AD.• Implement and oversee Active Directory security best practices, including user account management, group policy enforcement, and secure authentication mechanisms.• Provide Level 3 support for all Active Directory-related issues, collaborating with other IT teams, as necessary.• Azure AD Connect & AD Connect Upgrades.• ADFS to Pass-through Authentication.• Administer and maintain the hybrid and cloud-only identities across multiple Azure AD tenants.• Responsible all Active Directories within the Group.• Responsible for complex program design, testing, debugging and documentation.• Collaborate with peer groups to help them take full advantage of the latest authentication and authorization protocols.• Experience performing root cause analysis and resolution.• International Healthcare Company|Active Directory - Azure - English• Experience in using and developing automation and Scripting (PowerShell) to drive efficiencies. Strong PowerShell skills are a must, the candidate must be capable of producing high quality, scalable scripts.• Advanced problem diagnosis for applications and infrastructure areas.• Advanced level administrative knowledge of Microsoft Active Directory, Azure Active Directory, and hybrid identities; and familiarity with creating and tuning data loss prevention policies and data classification policies.• Basic Knowledge around Microsoft Exchange and Exchange online.• 5+ years of experience with multi-factor authentication platforms.• 5+ years extensive experience with the design and configuration of Third Party integrations leveraging SAML.• 5+ years extensive hands on experience with Active Directory and Azure AD.International Healthcare Company.• International Company.• 100% remote possibility.• Attractive salary package + Benefits.",100% En remoto,Técnico de Sistemas,Jornada completa,Más de 5 años,Indefinido,,2024-01-26,tecnoempleo
Desarrollador/a Web FullStack (PHP/Vue.JS),Grupo Digital,24/01/2024,"PHP, Vue","Desde Grupo Digital, buscamos un Desarrollador/a Web FullStack (PHP/Vue.JS) para formar parte de nuestro equipo y colaborar con uno de nuestros clientes.Duración del proyecto: Indefinida (Larga duración)Tipo de jornada: CompletaModalidad de trabajo: 100% TeletrabajoViajes o Desplazamientos: NoAños de Experiencia: >= 5Responsabilidades:* Desarrollar y mantener aplicaciones web eficientes y escalables.* Colaborar con el equipo para entender los requisitos y diseñar soluciones técnicas.* Participar activamente en el ciclo de vida completo del desarrollo de software, desde la concepción hasta el despliegue y el mantenimiento.* Trabajar en estrecha colaboración con otros desarrolladores y profesionales de IT para lograr objetivos comunes.* Mantenerse actualizado con las últimas tendencias y tecnologías en desarrollo web.Conocimientos Imprescindibles:* Experiencia mínima de 5 años en desarrollo Fullstack.* Conocimientos sólidos en PHP, con experiencia específica en el framework Laravel.* Experiencia en el desarrollo de interfaces de usuario utilizando Vue.js.* Conocimientos deseables en Framework Laravel y Domain Driven Development (DDD).* Experiencia en metodologías ágiles de desarrollo (Agile).Conocimientos Deseables:* Idioma: Inglés altoGrupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si deseas iniciar tu carrera en el ámbito del desarrollo web y formar parte de un equipo dinámico, ¡esperamos tu candidatura!",100% En remoto,Desarrollador Web,Jornada completa,Más de 5 años,Indefinido,,2024-01-26,tecnoempleo
Magento v2 Senior Developer,Grupo NS,24/01/2024,magento,"En Grupo NS estamos incorporando un Senior Developer Magento, con experiencia mínima 3 años en proyectos de desarrollo en Magento version 2, proyecto 100% remoto desde cualquier provincia de España.  Developer Senior Magento. Perfiles con conocimiento Back, con experiencia mínima de 3 años en magento versión 2. Incorporación inmediata . . .   Deseable Sector: Industria. Horario a realizar: : L - V 09:00-18:00 Formato de trabajo: Remoto 100%. Tarifa: 38,74€/h..  Imprescindibles:* Experiencia 3-5 años en desarrollo con Magento version 2* Conocimiento Back* Experiencia en desarrollo backend y módulos desde 0* Experiencia en la creación de servicios GraphQL y mutations* Experiencia Adobe Commerce Cloud* Minimo Certificado Adobe Commerce Profesional developer* Incorporacion inmediata  Deseables:* Experiencia en proyectos de la Generalitat, integración sistema de autenticación SAML2/Gicar.",100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,30.000 €-39.000 € Bruto/año,2024-01-26,tecnoempleo
SAP SSFF and HR,Page Personnel,24/01/2024,"SAP, ABAP","Perfil buscado (Hombre/Mujer)• Experiencia en SSFF y sistemas de Nomina SAP • Experiencia en programación ABAP. Valorable programación orientada a objetos y familiarización con CDS ABAP y Fiori• Conocimiento de Smartforms, BADI´s, BAPI´S, Webdynpro, ABAP OO, Webservices, Idocs,• Deseable conocimientos en uno o varios de los siguientes módulos (BW, PP, MM, FI, CO, SD, SSFF, ...)• Proactividad y autonomía en el trabajo diario.• Capacidad de interlocución con usuarios• Capacidad para crecer en las áreas funcionales de SAPInglés (valorable)• Importante compañía multinacional|Sector retail• Experiencia en SSFF y sistemas de Nomina SAP • Deseable conocimientos en uno o varios de los siguientes módulos (BW, PP, MM, FI, CO, SD, SSFF, ...)• Proactividad y autonomía en el trabajo diario.• Capacidad de interlocución con usuarios• Capacidad para crecer en las áreas funcionales de SAPInglés (valorable)Impostante compañía multinacional sector retail necesita incoporporar a su equipo de profesionales un perfil SAP SSFF & HR con experiencia previa de al menos dos años.Oportunidades de carrera y desarrollo profesional.Perteneces a una compañía multinacional consolidadaBuen clima laboralContrato indefinidoSalario competitivo según valía",Madrid - España,Consultor,Jornada completa,3 años,Indefinido,33.000 €-54.000 € Bruto/año,2024-01-26,tecnoempleo
Magento - Adobe developer,Page Personnel,24/01/2024,"Magento, PHP","Perfil buscado (Hombre/Mujer)• Translate business needs in Technical solutions with Magento 2 and Magento Commerce• Production of first-class code and development of new technologies like PWA together with a team• Work on pioneering e-commerce and digitisation platform• Integration, maintenance and further development of existing or new features• Frontend Developer (Magento 2/Adobe Commerce) - Barcelona|One of the best Adobe Gold Partners - International company• At least 3 years of experience working as a Backend Developer.• Experience working with Magento If posible Magento 2 version or Magento Commerce.• Strong knowledge about e-commerce architecture and software logic.• Experience working on high crowded platforms.• Good knowledge about PHP or Symfony will be well valuated.• Strong testing skills.• Fluent english mandatoryOur client is one of the leading partners of Adobe, they are specialised on the development of high quality solutions related to e-commerce platforms and marketplaces.They have offices in different countries in Europe, including Barcelona.• 100% remote work.• Team-building travels/activities.• Macbook.• Budget for training.• Free Insurance• Display",100% En remoto,Desarrollador Web,Jornada completa,3 años,Indefinido,39.000 €-60.000 € Bruto/año,2024-01-26,tecnoempleo
Ingeniero/a de Sistemas,HAYS,24/01/2024,"Linux, Windows Server","En HAYS, estamos colaborando con una empresa que se dedica a proteger los datos dando garantía de seguridad y fiabilidad. Tienen un CPD propio, en un edificio bunkerizado y con unas defensas perimetrales garantizadas, además de una seguridad física con protocolos de acceso, escaneos biométricos y vigilancia, y con una conectividad rápida y dedicada. Actualmente buscamos un ingeniero/técnico de sistemas para incorporarse a su equipo. Gesion de incidecias ¿Cuáles son las funciones? - Ejecución y planificación de proyectos planificados por área manager.  - Garantizar la integridad y precisión de las aplicaciones de software y hardware de los Centros de Datos, así como de los sistemas de información de los clientes.   - Comprender la estrategia, las funciones comerciales, el flujo de trabajo y la toma de decisiones.  ¿Cuáles son los requisitos? - Se valorarán estudios de ingeniería o grado superior de sistemas.   - Experiencia de al menos 3 años en un puesto similar.  - Valorable tener las certificaciones en tecnologías y fabricantes, así como conocimientos avanzados en sistemas Linux.  - Conocimientos técnicos de redes y sistemas, así como, en Windows Server, Servicios Microsoft (Active Directory, DNS, DHCP¡), o Sistemas Linux/Unix.  ¿Qué ofrecemos? - Modalidad hibrida. (2/3) - Ubicación: Vitoria.   - Horario: Lunes a Jueves de 8 a 17 y viernes, julios y agostos de 8 a 15.  - Contrato con HAYS.  - Proyecto estable. Estamos esperando perfiles como el tuyo, apasionados con la tecnología y que quiera enfrentarse a un nuevo reto. Si es tu caso, inscríbete en la oferta para que podamos contarte más!",Álava (Híbrido),Técnico de Sistemas,Jornada completa,3 años,Indefinido,,2024-01-26,tecnoempleo
Unity developer,Page Personnel,24/01/2024,"Unity, C#","Perfil buscado (Hombre/Mujer)• Programación: Escribir código en C# para implementar la lógica del juego, la física, la inteligencia artificial y otros aspectos del software.• Diseño de Juegos: Trabajar en la creación y diseño de niveles, personajes, objetos y otros elementos del juego.• Gráficos y Animación: Crear efectos visuales, animaciones y trabajar con gráficos para mejorar la calidad visual del juego.• Física y Simulación: Implementar sistemas de física para crear un comportamiento realista en el juego.• Integración de Audio: Incorporar efectos de sonido y música en el juego para mejorar la experiencia del usuario.• Optimización del Rendimiento: Optimizar el rendimiento del juego para garantizar que se ejecute de manera eficiente en diferentes plataformas.• Desarrollo Multiplataforma: Adaptar el juego para que funcione en diversas plataformas como PC, consolas, dispositivos móviles y realidad virtual.• Resolución de Problemas: Identificar y solucionar problemas técnicos y de diseño durante el desarrollo del juego.• Colaboración: Trabajar en equipo con diseñadores, artistas y otros desarrolladores para lograr una visión cohesiva del juego.• Actualización y Mantenimiento: Realizar actualizaciones y mantenimiento continuo del juego después del lanzamiento para corregir errores y agregar nuevas características.• StartUp |BarcelonaConocimiento demostrable de entre 2-4 años en: • Conocimientos sólidos de programación en C#.• Conocimientos de patrones y arquitectura de software.• Experiencia en optimización de procesos y rendimiento.• Conocimientos en matemáticas 3D espaciales.• Familiaridad con metodologías Agile/Kanban y flujos de desarrollo de software.• Conocimientos de Git y control de versiones.• Conocimientos de Photon para implementar funcionalidades de multiplayer.• Haber trabajado con AssetBundles y gestión de grandes cantitades de objetos.• Conocimiento del funcionamiento de la memoria en aplicaciones de Unity.• Conocimientos del 3D y sus características (UV, vértices, materiales, animaciones).• Comprensión de los principios de diseño de juegos y experiencia en la implementación de mecánicas de juego.• Familiaridad con los componentes de Unity, como animaciones, partículas y físicas.• Fuertes habilidades de resolución de problemas y capacidad para depurar errores.Startup dedicada a crear experiencias únicas y emocionantes para clientes internacionales, utilizando la última tecnología en espacios virtuales y realidad aumentada.• Oportunidades de carrera y desarrollo profesional.• Empresa en crecimiento.• Salario competitivo. • Modalidad Híbrida (Barcelona). • Contrato indefinido.",Barcelona (Híbrido),Programador,Jornada completa,2 años,Indefinido,33.000 €-36.000 € Bruto/año,2024-01-26,tecnoempleo
Systems Engineer,Page Personnel,24/01/2024,"Office 365, AD",Perfil buscado (Hombre/Mujer)- O365 y AD- Networking- Troubleshooting.Switching.- Virtualizacion- Asistencia N1 2 y 3.- Administración de usuarios.- Firewalls.- GPOs• Técnico de Redes|Y sistemasCandidato de 2 a 5 años de experiencia como técnico de redes/sistemas.Uno de los principales proveedores mundiales de soluciones de acceso y gestión de visitantes.- Salario 30-35k.- 2 días de teletrabajo.-Jornada de 9 a 18 30.- Viernes jodnada intensiva.,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,3-5 años,Indefinido,30.000 €-36.000 € Bruto/año,2024-01-26,tecnoempleo
Responsable Proyectos IT,Michael Page,24/01/2024,Proyectos IT,"Perfil buscado (Hombre/Mujer)Gestión global de los proyectos internos dentro del momento fuerte de transformación de la compañía, en coordinación con resto de líderes de la Dirección de Sistemas: coordinación del plan estratégico, desarrollo de presupuesto anual, puesta en marcha de modelos operativos, liderazgo de equipos asignados, canalizar las peticiones de las unidades de negocio, supervisión de la calidad, y apoyo en el área de innovación para promover nuevas ideas.• Incorporación en cliente final en expansión en continua innovación tecnológica|Proyecto a largo plazo con desarrollo profesional y tecnológico- Experiencia de al menos 10 años liderando un portfolio grande de proyectos tecnológicos de transformación con alto volumen de personas implicadas, con una visión transversal pero capaz de entrar al detalle cuando sea necesario. - Nivel de Inglés Alto, hablado y escrito. Será usado diariamente en el trato con proveedores. - Visión estratégica, orientación al cliente, capacidad de comunicación, gestión y liderazgo de equipos.Cliente final internacional del sector servicios en pleno momento de transformación interna tecnológica, busca a un Responsable del área de Proyectos IT, para impulsar la visión tecnológica y abordar las necesidades de cada unidad de negocio, liderando todas las iniciativas con e objetivo de promover la innovación.- Contrato permanente en cliente final puntero en su sector, en pleno momento de expansión y con excelente plan de carrera en el medio y largo plazo.- Régimen híbrido remoto-presencial con amplia flexibilidad, oficinas en la zona Centro-Norte de Madrid. Horario flexible, jornada intensiva viernes y verano.- Paquete salarial compuesto de salario fijo + variable + beneficios (tarjeta comida, seguro de vida, retribución flexible para más opciones).",Madrid (Híbrido),Jefe de Proyecto,Jornada completa,Más de 10 años,Indefinido,,2024-01-26,tecnoempleo
Proyect Manager Ciberseguridad,HAYS,24/01/2024,Ciberseguridad,"Desde Hays technology nos encontramos en la búsqueda de un/a Proyect Manager de Ciberseguridad para la sede de Madrid en una importante empresa del sector tecnológico. Las funciones que realizarás son las siguientes: Llevar a cabo la dirección y gestión de proyectos IT.  Serás el responsable de la definición, planificación y ejecución de un proyecto, para lo que deberá encargarte de coordinar las tareas y los equipos, asumiendo un rol de liderazgo.  No es necesario nivel de inglés, pero es un plus.  Expectativa salarial 30.000-35.000 en función de la experiencia aportada.Si estás interesado en esta oferta y quieres saber más información, haz click en ""aplicar ahora"" para enviar una copia actualizada de tu CV.",Madrid - España,Ciberseguridad,Jornada completa,3 años,Indefinido,,2024-01-26,tecnoempleo
Tester Pruebas Automatizadas (100% Teletrabajo),Grupo Digital,24/01/2024,"Tester, Selenium, Java, Phyton","Desde Grupo Digital, estamos en búsqueda de un/a Tester Pruebas Automatizadas.Duración proyecto: Estable.Ubicación: Málaga.Modalidad de trabajo: 100 % remoto.Experiencia:* Al menos 2 años de experiencia profesional como Tester (SDET), a cargo de la batería de pruebas automáticas de la plataforma.* Selenium, Java, Phyton, Jmeter, aplicados a desarrollo de Scripts de pruebas.* Conocimientos de metodologías ISTBQ.  Grupo DigitalSomos un grupo de empresas tecnológicas, formado actualmente por unos 400 profesionales, en distintas áreas: desarrollo, sistemas, ingeniería automática, consultoría... Si quieres impulsar tu carrera con un proyecto único de la mano de una multinacional de primerísimo nivel, no dudes en presentar tu candidatura. ¡Te esperamos!",100% En remoto,Tester,Jornada completa,2 años,Indefinido,30.000 €-36.000 € Bruto/año,2024-01-26,tecnoempleo
Tècnic/a de Sistemes,Marlex,24/01/2024,"VMWare, Active Directory","Des de Marlex, estem Col•laborant amb una empresa especialitzada en la implementació d’Odoo amb l’objectiu de millorar la gestió empresarial ubicada a Girona que actualment busca incorporar a l’equip un/a Tècnic/a de Sistemes al seu equip.   Responsabilitats: - Instal•lació i manteniment de sistemes operatius i software- Suport tècnic a l’usuari final per resoldre els problemes i incidències de l’equip- Implementar mesures de seguretat informàtica protegint sistemes i dades- Aplicar i gestionar actualitzacions de software i seguretat- Administrar la infraestructura de xarxa i connexions- Identificar i solucionar errors al hardware i software- Implementar i gestionar entorns de virtualització- Crear i mantenir documentació tècnica de sistemes- Entrenar usuaris sobre l’ús efectiu de sistemes- Resolució d’incidències en l’ús de l’ERP- Instal•lar i configurar els equips de nous usuaris- Gestió d’usuaris i permisos en Active Directory- Gestió d’usuaris de correu electrònicQuè ofereix l’empresa: - Contracte indefinit- 1 dia de teletreball a la setmana- Pla de carrera dins l’empresa- Horari flexible- Formació en l’ERP OdooRequirements:- Grau Superior d’Administració de Sistemes- Nivell alt de català i castellà- Valorable coneixement en l’ERP Odoo o un altre ERP (SAP S/4 Hana, Sage, Oracle Fusion Cloud, Microsoft Dynamics 365, etc.)- Coneixement de xarxes- Administració de Firewall- Coneixements de VMWare",Girona (Presencial),Técnico de Sistemas,Jornada completa,2 años,Indefinido,,2024-01-26,tecnoempleo
Desarrollador/a Aplicaciones Móviles,Page Personnel,24/01/2024,"Cordova, Javascript, Ionic","Perfil buscado (Hombre/Mujer)Desarrollo de nuevos proyectos desde cero.Desarrollo de evolutivos y nuevas funcionalidades.Tomar el control del área de desarrollo móvil, reportando al Responsable de IT.• Compañía tecnológica con producto propio.|Podrás convertirte en líder del departamento de apps móviles.Buscamos una persona que cuente principalmente con experiencia en desarrollo de Apps móviles multiplataforma con CORDOVA. Es importante contar con experiencia publicando aplicaciones en AppStore y Google PlayAdemás, teniendo en cuenta que tocarías otras tecnologías, valoramos mucho tu experiencia en Javascript, HTML y CSS; Base de datos SQL, SQLite; IONIC/VueCompañía tecnológica con un producto propio centrado en la automatización de procesos empresariales enfocadas a departamentos financieros.Empresa ubicada en pleno Barrio Salamanca, contarás con una política de teletrabajo muy flexible.Contrato indefinido: estarías contratado directamente por la empresa de producto.Política de teletrabajo muy flexible. El equipo de desarrollo suele ir 1 día por semana a la oficina, pero estudiamos cada caso.Flexibilidad horaria de entrada y salida.Salario valorable en función del perfil y experiencia: 32-40kPosibilidad de incluir participaciones de la empresa.",Madrid (Híbrido),Desarrollador Móvil,Jornada completa,3 años,Indefinido,30.000 €-42.000 € Bruto/año,2024-01-26,tecnoempleo
Enginyer/a Posta en Marxa,Marlex,24/01/2024,C++,"Des de Marlex estem col•laborant amb una empresa molt important i reconeguda ubicada a Girona, a la comarca de la Garrotxa, dedicada a fer maquinària industrial. Actualment busquen incorporar un Enginyer de Posta en Marxa de Projectes per incorporar al seu equip.   Funcions: Els primers 4 mesos consistiran en una formació completa per aprendre a programar la maquinària.- Realització de tasques sobre projectes construïts en una primera fase a les instal•lacions de l´empresa i en una segona fase en el destí final, a casa del client- Viatjar a casa del client on s’haurà d’implementar el projecte - Dissenys, millores i actualitzacions de software de PLC´s- Ajudar a desenvolupar el projecte elèctric (esquemes, llistats de material amb Eplan...) i fer el seguiment amb l’equip de Delineació- Desenvolupar la programació de PLC’s de seguretat, control de sistemes d’escalfament i Indústria 4.0 per cada projecte- Atendre les possibles incidències dels clients en l’àmbit de la programació- Seguiment de proves de prototips i postes en marxa d´equips comercialitzables  Què ofereixen: - Una carrera professional en un entorn jove, ambiciós i dinàmic, aplicant tecnologies punteres- Formació Dual: els primers 4 mesos estaràs de formació completa perquè puguis aprendre a programar la maquinària- Possibilitat de participar en projectes per empreses de marques internacionals i reconegudes- Incorporació immediata- Contracte indefinit- Formació a càrrec de l’empresa- Pla de carrera definitRequeriments:- Estudis requerits: Enginyeria Electrònica, Enginyeria Elèctrica, Enginyeria de Telecomunicacions, Enginyeria Mecànica, Enginyeria Industrial, Enginyeria mecatrònica o Enginyeria Informàtica- Nivell alt d’anglès, mínim B2- Disponibilitat total per viatjar- Experiència en Programació de PLC en llenguatge estructurat (codesys) i llenguatge de contactes, Visió artificial, C++, Javascript, Servomotors- Es valorarà experiència en robòtica i/o automatismes- Carnet de conduir B",Girona (Presencial),Electrónica,Jornada completa,Sin Experiencia,Indefinido,,2024-01-26,tecnoempleo
Recruiter IT (Cert. Discapacidad),Quental,24/01/2024,rrhh,"¿Buscas un nuevo reto profesional?En Quental tenemos un firme compromiso con la inclusión, igualdad y diversidad y por ello, valoramos muy positivamente que los candidatos estén en disposición del certificado de discapacidad, buscamos un técnico de selección IT que quiera desarrollarse en nuestro equipo y crezca con nosotros¿Te gusta la tecnología? ¿Quieres desarrollar tu carrera en este ámbito?¿En qué consistirá tu día a día?- Publicación de ofertas y criba curricular- Búsqueda activa de candidatos en los distintos portales y redes de empleo.- Tramitación convenios universitarios- Participación en ferias de empleo, universidades, conferencias...¡Si te gusta trabajar en equipo, la parte comercial y tienes interés por la tecnología, te esperamos!¿Qué nos puedes ofrecer?Indispensable certificado de discapacidadConocimientos IT, muchas ganas e ilusión y orientada a los resultados.Experiencia previa en selección IT¿Qué podemos ofrecerte?Contrato de sustitución por maternidad con la posibilidad de pasar a indefinido al finalizar la bajaHorario flexible y modelo de teletrabajo total para que puedas teletrabajar desde donde tu quieras!!Desarrollo de carrera en un ambiente colaborativo y con bonificaciones a tu formación, para que siempre estés actualizado y a la última en cuanto a tecnología y tendencias en transformación digital.Entorno salarial negociable en función de la experiencia aportada.Clases particulares de idiomas.Inclusión en el programa de beneficios y descuentos, para disfrutar de tus eventos, vacaciones, compras diarias y caprichos, beneficiándote de todos los descuentos que aporta el Quental Club Benefits!¿Cómo son nuestros procesos de selección? Es primordial para nosotros mantener la coherencia en la toma de decisiones durante las distintas etapas de esta labor llevada a cabo por nuestro equipo. Nuestros procedimientos son inclusivos, sin sesgos ni prejuicios y buscando el objetivo: colaborar con el mejor talento.",100% En remoto,Reclutador,Jornada completa,1 año,Temporal,,2024-01-26,tecnoempleo
Administrador/a de Proxy Inverso,arelance,24/01/2024,"F5, Proxy, APM, ASM","En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes, y en ofrecer a nuestros candidatos los mejores proyectos.Buscamos  un Administrador/a de Proxy Inversos con 5 años de experiencia en el desempeño de las funciones del puesto para incorporación en un importante proyecto híbrido en Madrid.REQUISITOS:   - Poseer 5 años de experiencia en la gestión de incidencias y configuración de proxys inversos con modelo OSI.    - Experiencia en la puesta en marcha y mantenimiento de tecnología F5. Módulos APM y ASM.   - Configuración de NGINX con plataformas como Oracle o Microsoft.¿QUÉ OFRECEMOS?-Incorporación a un proyecto en continuo desarrollo.-Modalidad: Híbrida en Madrid-Condiciones salariales a negociar en función de la experiencia aportada y perfil profesional.-Integración en un proyecto colaborativo en expansión.Si estás interesado/a en una gran oportunidad como ésta, inscríbete! Queremos conocerte!",Madrid (Híbrido),Administrador,Jornada completa,3-5 años,Indefinido,33.000 €-36.000 € Bruto/año,2024-01-26,tecnoempleo
Ingeniero/a de Hardware (presencial),Novanotio,24/01/2024,"racks, cableados, equipos de cabina, simuladores","¡Hola, profesionales de la tecnología!Somos NOVANOTIO, una consultora de RRHH con más de 28 años de experiencia especializada en la selección de perfiles tecnológicos IT para los mejores clientes del sector tecnológico.¿Aún no nos conoces? Visita nuestra página web para conocernos y ver nuestras ofertas de empleo: https://novanotio.es/ofertas/ También puedes seguirnos en LinkedIn, para estar informado de todas nuestras novedades.En NOVANOTIO estamos seleccionando un INGENIERO/A DE HARDWARE PARA EL DISEÑO DE SIMULADORES sector Defensa.¿QUE NECESITAS SABER?Tener experiencia en el diseño de sistemas de simuladores de vuelo (cableados, racks, equipos de cabina, etc.)Coordinación de la fabricación de elementos del simulador y de la instalación y puesta en marcha.CONOCIMIENTOS VALORABLES:Conocimientos en programación.INFORMACIÓN ADICIONAL:Presencial por características de la posición. Nivel de inglés: MedioDisponibilidad para viajar internacionalmente para instalaciones en clientes.¿QUÉ OFRECEMOS?- Contrato INDEFINIDO.- SALARIO A NEGOCIAR en función de experiencia y formación.- Posibilidad de RETRIBUCIÓN FLEXIBLE (seguro médico, cheque guardería, tarjeta transporte, tickets restaurante)- FORMACIÓN ADAPTADA a tu puesto e intereses personales y profesionales.- MENTORING de liderazgo tecnológico. NOVANOTIO CERTIFIED es un mapa del mundo de la tecnología y una brújula personal. Te permitirá orientar tu carrera, crecer con tus éxitos y aprender de tus errores",Madrid (Presencial),Electrónica,Jornada completa,2 años,Indefinido,30.000 €-39.000 € Bruto/año,2024-01-26,tecnoempleo
Cloud Developer,HAYS,24/01/2024,"AWS, Azure, Python, JAVA","Desde Hays nos encontramos en búsqueda de un DESARROLLADOR/A CLOUD para sumarse a equipo al equipo IT de empresa final sector IT¿Qué estamos buscando?- Profesional con 4/5 años de experiencia en el desarrollo de software con stock JAVA, NodeJs o Python y en entornos cloud (AWS o Azure)- Posibilidad de jornada híbrida en Valencia- Nivel de Inglés B2 o superior- Permiso de trabajo vigente para trabajar en territorio Español¿Cuáles serán tus funciones?- Desarrollos de software para producto interno- Nuevos desarrollos, mantenimiento y migraciones de aplicaciones en Cloud- Propuestas de soluciones técnicas para diferentes tipos de proyectos¿Qué ofrecemos?- Banda salarial abierta acorde a la experiencia y experticia aportada.- Jornada híbrida de trabajo.- Beneficios sociales- Seguro de salud- 25 días de vacaciones- Certificaciones por cuenta de la empresa- Clases de Inglés y Español por cuenta de la empresa",Valencia (Híbrido),Desarrollador Web,Jornada completa,3-5 años,Indefinido,45.000 €-60.000 € Bruto/año,2024-01-26,tecnoempleo
Teleoperador/a con Francés,Serem,24/01/2024,Helpdesk,"¿Buscas nuevas oportunidades? ¡Envíanos tu currículum y descubre el camino hacia el éxito!Estamos ampliando nuestro equipo de Service Desk incorporando a personas proactivas y con vocación por la atención al cliente para un proyecto de carácter internacional, centrado en ofrecer soporte técnico y soluciones IT a usuarios que presenten algún problema relacionado con el área informática.Precisamos:. Nivel alto/bilingüe de Francés (C1/C2).. Valorable nivel medio de inglés (B2).. Disponibilidad para trabajar en nuestra oficina de Santa Cruz durante los 3-6 primeros meses.. Flexibilidad horaria en turnos rotativos.. Ganas de desarrollarse en un ambiente profesional y multilingüe.Ofrecemos:. Jornada Completa.. Contrato indefinido.. Sistema híbrido tras los primeros meses de presencialidad. . Remuneración de 17.000 euros brutos anuales (+ Bonos de Productividad).. Formación inicial remunerada.. Posibilidad de crecer en una empresa de alcance internacional.¡No lo dudes y únete a nuestro equipo!Formar parte de una empresa como SEREM se traduce en oportunidad: la diversidad de oferta con la que contamos significa que puedes desarrollar tu trayectoria profesional en el ámbito que mejor responda a tus intereses, así como ir aprendiendo en las distintas áreas de la compañía.En SEREM estamos especializados en Servicios IT Consulting, desarrollo Net y J2EE de Apps y Web 2.0, BPO Outsourcing, Contact Center y Helpdesk. Ofrecemos Soluciones Cloud, IT Service Management e Inteligencia de Negocio.Fomentamos un ambiente de trabajo multicultural e inclusivo, no discriminamos por edad, género o creencias; así como ofrecemos igualdad de oportunidades a todo el personal.Desarrollamos nuestras actividades bajo los principios del cuidado del medioambiente, la sostenibilidad y la responsabilidad social corporativa; colaborando en proyectos de reforestación y sostenibilidad.Apoyamos los 10 principios del Pacto Mundial y los 17 Objetivos de Desarrollo Sostenible, en materia de derechos humanos, condiciones laborales, medio ambiente y anticorrupción.Los procesos de reclutamiento se desarrollan bajo altos estándares de calidad definiendo la incorporación en base a la experiencia y habilidades del candidato.Somos una empresa española líder en servicios tecnológicos y atracción del talento presente en el mercado desde 1995. Contamos con más de 600 empleados en proyectos tanto nacionales como internacionales en sector TI.",Sta. Cruz De Tenerife (Híbrido),Helpdesk,Jornada completa,Sin Experiencia,Indefinido,16.000 €-18.000 € Bruto/año,2024-01-26,tecnoempleo
Jefe de Proyecto de Software,Krell Consulting & Training,24/01/2024,"jefe proyecto, PMP","Oferta de Empleo: Jefe de Proyecto de SoftwareResponsabilidades y Funciones:Estamos en búsqueda de un profesional con experiencia sólida, formación y conocimientos destacados en la jefatura de proyectos de software. Tu papel será fundamental en la planificación, gestión y supervisión de proyectos de desarrollo y mantenimiento, asegurando su ejecución exitosa.Requisitos:Experiencia comprobada de al menos 4 años en jefatura de proyectos de software.Capacidad demostrada en la planificación, gestión y supervisión efectiva de proyectos.Habilidades de liderazgo, organización y comunicación excepcionales.Excelente trabajo en equipo y habilidades para motivar y dirigir equipos multidisciplinarios.Deseable background técnico que facilite la comprensión profunda de los proyectos.Ubicación:Madrid (Híbrido)Tipo de Contrato:IndefinidoSalario:40.000€ brutos anualesSi eres un líder proactivo, con una sólida experiencia en proyectos de software y buscas un nuevo desafío en un entorno dinámico, ¡esperamos recibir tu aplicación!¡Únete a nuestro equipo y sé parte del éxito en el mundo del desarrollo de software!",Madrid (Híbrido),Jefe de Equipo,Jornada completa,3-5 años,Indefinido,,2024-01-26,tecnoempleo
