titulo,empresa,fecha,herramientas,descripcion,presencialidad,funciones,jornada,experiencia,tipo_contrato,salario,fecha_scrapeo,portal,ubicacion,url
Desarrollador Java / Google Web Toolkit,PANEL Sistemas Informáticos,09/02/2024,"java, SOAP, GWT","¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en cliente. Llevamos la innovación y la excelencia tecnológica en nuestro ADN, y trabajamos con actitud positiva y con pasión para alcanzar nuestro objetivo: ayudar a nuestros clientes en su proceso de transformación.Buscamos incorporar al equipo un programador con experiencia mínima de 2-3 años en tecnologías JAVA, Servicios Web (SOAP), GWT o Angular¿En qué nos gustaría que tuvieras experiencia? Al menos 2 años de experiencia en:-JAVA-Servicios Web (SOAP)-Google Web Toolkit (GWT) o AngularLugar de trabajo:100 % Remoto¿Qué ofrecemos?Formación continua.Impulsaremos tu Talento con un Plan de Desarrollo Profesional y Programas de Tutoría individualizada.Completo Programa de formación que incluye desde programas de especialización técnica hasta idiomas, habilidades en gestión de proyectos, metodologías ágiles y certificaciones. Tanto on-line como presencial.Políticas de conciliación como el Teletrabajo en modo full-remote; jornada continua los viernes y en verano, flexibilidad horaria, días de permiso en navidad, y facilidades para la movilidad geográfica de los empleados.Beneficios sociales como retribución flexible, complemento al 100% de bajas médicas, condiciones especiales en seguro médico privado o Tarjeta VISA empleados.Nuestra empresa es hoy referencia en entorno Cloud, participando en varios proyectos de investigación a nivel europeo, y con muchos más proyectos sobre los que podrás diseñar una trayectoria profesional a largo plazo. Aplica y nos conoceremos",,Analista Programador,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-java-google-web-toolkit-remoto/java-soap-gwt/rf-efc41fd6e2e9335a7e44
Desarrollador Java / Google Web Toolkit,PANEL Sistemas Informáticos,09/02/2024,"java, SOAP, GWT","¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en cliente. Llevamos la innovación y la excelencia tecnológica en nuestro ADN, y trabajamos con actitud positiva y con pasión para alcanzar nuestro objetivo: ayudar a nuestros clientes en su proceso de transformación.Buscamos incorporar al equipo un programador con experiencia mínima de 2-3 años en tecnologías JAVA, Servicios Web (SOAP), GWT o Angular¿En qué nos gustaría que tuvieras experiencia? Al menos 2 años de experiencia en:-JAVA-Servicios Web (SOAP)-Google Web Toolkit (GWT) o AngularLugar de trabajo:100 % Remoto¿Qué ofrecemos?Formación continua.Impulsaremos tu Talento con un Plan de Desarrollo Profesional y Programas de Tutoría individualizada.Completo Programa de formación que incluye desde programas de especialización técnica hasta idiomas, habilidades en gestión de proyectos, metodologías ágiles y certificaciones. Tanto on-line como presencial.Políticas de conciliación como el Teletrabajo en modo full-remote; jornada continua los viernes y en verano, flexibilidad horaria, días de permiso en navidad, y facilidades para la movilidad geográfica de los empleados.Beneficios sociales como retribución flexible, complemento al 100% de bajas médicas, condiciones especiales en seguro médico privado o Tarjeta VISA empleados.Nuestra empresa es hoy referencia en entorno Cloud, participando en varios proyectos de investigación a nivel europeo, y con muchos más proyectos sobre los que podrás diseñar una trayectoria profesional a largo plazo. Aplica y nos conoceremos",,Analista Programador,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-java-google-web-toolkit-remoto/java-soap-gwt/rf-efc41fd6e2e9335a7e44
Desarrollador Java Fullstack,HAYS,08/02/2024,"Java, Spring Boot","Desde HAYS estamos trabajando con una empresa tecnológica colaboradora del sector público. En la búsqueda de un perfil de desarrollador Fullstack Java. El perfil que actualmente estamos buscando debería contar con los siguientes conocimientos:Experiencia laboral de + 5 años como fullsatck Front: Angular versión 10 en adelante, CSS Back: Java Spring Boot Base de datos: Bases de datos SQL. Preferiblemente, si tiene experiencia en MariaDB, MySQL, Oracle. Adicional: experiencia en GIS Ofrecemos: - Contrato indefinido  - Remoto 100%  - Retribución acorde a experiencia  - Horario flexible  - Jornada de verano  - Salario acorde a experiencia",,Programador,Jornada completa,Más de 5 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-java-fullstack-remoto/java-spring-boot/rf-e9761e3ad2c4c3c94f40
Desarrollador Java Fullstack,arelance,07/02/2024,"java, angular, spring, javascript","En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes, y en ofrecer a nuestros candidatos los mejores proyectos.Seleccionamos un Programador Senior con más de 3 años de experiencia profesional en desarrollo de proyectos con Java fullstack para incorporación en un importante proyecto 100% en remoto. REQUISITOS:- Al menos 2 años de experiencia en desarrollo fullstack Java (1.8) y valorable GWT y/o Angular (últimas versiones).- Conocimiento y experiencia en Spring Framework.- Valorable experiencia en pruebas unitarias.- Git.- Metodología Scrum, Jira.¿QUÉ OFRECEMOS?-Incorporación a un proyecto en continuo desarrollo.-Modalidad: remoto 100%.-Condiciones salariales a negociar en función de la experiencia aportada y perfil profesional.-Integración en un proyecto colaborativo en expansión.Si estás interesado/a en una gran oportunidad como ésta, inscríbete! Queremos conocerte!",,Analista Programador,Jornada completa,2 años,Indefinido,30.000 €-36.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-java-fullstack-remoto/java-angular-spring-javascript-jira-gi/rf-b7181479b289a3047b43
Desarrollador Oracle ERP Cloud,HAYS,07/02/2024,"Oracle, Net","HAYS TECHNOLOGY ES LA LÍNEA DE CONSULTORÍA DE NEGOCIO DEL GRUPO HAYSEn Hays estamos colaborando con uno de los partners más reconocidos de Oracle, una compañía que ofrece multitud de servicios Cloud permitiendo mejorar los procesos de trabajo. Actualmente están en varios países y varias ciudades europeas y latinoamericanas. Prestan servicio de soporte Oracle, y su objetivo a medio y largo plazo es poder ofrecer también servicios de .NET, dando soporte e implementando esta tecnología. Actualmente buscamos un/a Desarrollador/a Oracle que se incorpore a su equipo y contribuya en la consecución de sus objetivos.¿Cuáles serán tus funciones?•    Realizar desarrollos en Oracle ERP.•    Trabajar en entornos Cloud.•    Prestar servicios multicliente. •    Realizar labores de comunicación y consultoría con el cliente para los temas más técnicos.¿Cuáles son los requisitos?•    Conocimientos y experiencia desarrollando en Oracle ERP Cloud.•    Conocimientos y experiencia con webservices REST y SOAP.•    Conocimientos y experiencia en java y spring boot con Oracle.•    Conocimientos en Oracle BI Publisher.•    Inglés valorable.¿Qué ofrecemos?•    Proyecto estable.•    Modalidad de trabajo híbrida.•    Flexibilidad horaria.•    Horario intensivo los viernes.•    Salario competitivo.",,Programador,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Bizkaia (Híbrido),https://www.tecnoempleo.com/desarrollador-oracle-erp-cloud-hibrido/oracle-net/rf-f261122c421b8324164f
Desarrollador PHP,Michael Page,05/02/2024,"PHP, API Rest","Perfil buscado (Hombre/Mujer)• Crear un back office robusto y funcional para la gestión interna del sitio.• Integrar APIs REST y componentes web para una experiencia de usuario mejorada.• Mantener y optimizar el stack tecnológico LAMP (Linux, Apache, MySQL, PHP).• Trabajar en colaboración con equipos multidisciplinarios para garantizar calidad y eficiencia • Empresa multinacional del sector tecnológico|Grandes proyectos y crecimiento profesional• 5/10 años de experiencia en desarrollo web con tecnologías PHP, LAMP, jQuery.• Experiencia en integración de APIs REST y manejo de componentes web.• Inglés intermedio avanzado• Francés valorablePage Consulting Tech Solutions, es el área de PageGroup especializada en la realización de proyectos IT en clientes, ofreciendo una amplia variedad de soluciones tecnológicas a medida con la flexibilidad y agilidad requerida.• Contrato indefinido con Page Tech Solutions• 40-45k• Híbrido. (3-2). Madrid. Chamartín.• Formación continua para desarrollar tu talento• Beneficios sociales y plan de retribución flexible.• Compensación de gastos de teletrabajo• Plan de carrera en un ecosistema de talento tecnológico.",,Programador,Jornada completa,Más de 5 años,Indefinido,39.000 €-45.000 € Bruto/año,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/desarrollador-php-hibrido/php-api-rest/rf-92511cad0250b3fd3744
Desarrollador Power BI,HAYS,09/02/2024,PowerBI,Tu nueva empresa Desde Hays estamos trabajando con empresa puntera del sector tecnológico como cliente final con sede en Sevilla está buscando un Consultor PowerBI Tu nuevo puesto Desarrollador PowerBIQué necesitarás para encajar con el puesto -Experiencia demostrada como Desarrollador PowerBI.-Experiencia en el desarrollo y mantenimiento de relaciones con clientes.-Experiencia en implantaciones de cuadros de mando.-Conocimiento profundo en establecimiento de FLUJOS DE TRABAJO (“Workflow”)Qué obtendrás a cambio  - Formarás parte del día a día de una empresa referente en su sector.  - Ambiente de trabajo dinámico con grandes retos.  - Trabajo Híbrido y flexibilidad horaria  - Contrato Indefinido.  - Salario 30.000€ - 35.000€  - Crecimiento con un programa de formación continua. Tu siguiente paso,,Programador,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Málaga (Híbrido),https://www.tecnoempleo.com/desarrollador-power-bi-hibrido/powerbi/rf-8cc116ddb2bbc3154a4c
Desarrollador Power BI,HAYS,09/02/2024,PowerBI,Tu nueva empresa Desde Hays estamos trabajando con empresa puntera del sector tecnológico como cliente final con sede en Sevilla está buscando un Consultor PowerBI Tu nuevo puesto Desarrollador PowerBIQué necesitarás para encajar con el puesto -Experiencia demostrada como Desarrollador PowerBI.-Experiencia en el desarrollo y mantenimiento de relaciones con clientes.-Experiencia en implantaciones de cuadros de mando.-Conocimiento profundo en establecimiento de FLUJOS DE TRABAJO (“Workflow”)Qué obtendrás a cambio  - Formarás parte del día a día de una empresa referente en su sector.  - Ambiente de trabajo dinámico con grandes retos.  - Trabajo Híbrido y flexibilidad horaria  - Contrato Indefinido.  - Salario 30.000€ - 35.000€  - Crecimiento con un programa de formación continua. Tu siguiente paso,,Programador,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Málaga (Híbrido),https://www.tecnoempleo.com/desarrollador-power-bi-hibrido/powerbi/rf-8cc116ddb2bbc3154a4c
Desarrollador Salesforce,Social You,08/02/2024,"salesforce, API, LWC, Lightning","Nuestro cliente es una entidad bancaria nacional, el Desarrollador de Salesforce se centrará en ofrecer soluciones funcionales en Salesforce.com, a la vez que asumirá un papel de liderazgo en el diseño, la implementación, la implantación y la documentación de los proyectos de Salesforce.Responsabilidades clave:Realizar la configuración y personalización de la plataforma Salesforce.com.Debe tener sólidos conocimientos sobre integraciones de API (estándar y personalizadas).Debe tener experiencia de trabajo en LWC Framework (Lightning Web Components (LWC))Debe tener sólidos conocimientos sobre la implementación de desencadenadores y clases.Trabajar con el propietario del producto, otros miembros del equipo de ingeniería y las partes interesadas o para definir, aclarar y realizar los requisitos funcionales y no funcionales para los elementos de backlog nuevos y existentes.Mantener la documentación del código, y escribir / mantener clases de prueba para todo el desarrollo personalizado.Colaborar con TI / Desarrolladores para otros sistemas con el fin de integrar a través del negocio.Investigar, determinar el alcance y planificar la implementación de los epics y backlogs asignados, utilizando la plataforma actualizada y la experiencia de dominio del ecosistema para modelar, documentar y justificar soluciones alineadas con los requisitos funcionales y no funcionales.Trabaje y desarrolle código de acuerdo con los procesos del equipo de Salesforce, los estándares de codificación, los documentos de diseño técnico, las iniciativas de arquitectura de la plataforma y las directrices de liderazgo.Habilidades esenciales: Salesforce (Sales Cloud, Service Cloud, etc.) Apex Lightning Web Component Configuración de Salesforce API Modelo de datos GIT 5.Habilidades deseables:  Experiencia Builder 6.Cualificaciones: Certificaciones de SalesforceUbicación : MadridIngles Avanzado (C1)",,Desarrollador Web,Jornada completa,3 años,Indefinido,36.000 €-42.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-salesforce-remoto/salesforce-api-lwc-lightning-backlog-sales/rf-04a2140772fa935d1247
Desarrollador Senior Vuejs. Ingles avanzado,Grupo NS,09/02/2024,"Vue, HTML, CSS, Javascript","Desde Grupo NS estamos seleccionado perfiles Front End con experiencia en desarrollo Vuejs de al menos 5 años.RequesitosMínimo 5 años de experiencia con la versión 9/10 de VUE.JSExperiencia con HTML, CSS, JavascriptExperiencia habiendo trabajado en con metodología AgileInglés: Mínimo B2Mínimo 5 años de experiencia con la versión 9/10 de VUE.JSExperiencia con HTML, CSS, JavascriptExperiencia habiendo trabajado en con metodología AgileInglés: Mínimo B2",,Programador,Jornada completa,Más de 5 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/desarrollador-senior-vuejs-ingles-avanzado-hibrido/vue-html-css-javascript/rf-9103154cb25f93e67743
Desarrollador Senior Vuejs. Ingles avanzado,Grupo NS,09/02/2024,"Vue, HTML, CSS, Javascript","Desde Grupo NS estamos seleccionado perfiles Front End con experiencia en desarrollo Vuejs de al menos 5 años.RequesitosMínimo 5 años de experiencia con la versión 9/10 de VUE.JSExperiencia con HTML, CSS, JavascriptExperiencia habiendo trabajado en con metodología AgileInglés: Mínimo B2Mínimo 5 años de experiencia con la versión 9/10 de VUE.JSExperiencia con HTML, CSS, JavascriptExperiencia habiendo trabajado en con metodología AgileInglés: Mínimo B2",,Programador,Jornada completa,Más de 5 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/desarrollador-senior-vuejs-ingles-avanzado-hibrido/vue-html-css-javascript/rf-9103154cb25f93e67743
Desarrollador Vue,HAYS,09/02/2024,"Vue, HTML, CSS, JavaScript","Tu nueva empresa Desde Hays estamos trabajando con empresa de eventos puntera como cliente final con sede en Sevilla está buscando un desarrollador front-end. Tu nuevo puesto Desarrollador Front-endQué necesitarás para encajar con el puesto  - Experiencia comprobada trabajando con Vue.js en proyectos previos.  - Entendimiento sólido de HTML, CSS y JavaScript (ES6+).  - Experiencia trabajando con preprocesadores CSS y frameworks de diseño.  - Habilidades en pruebas unitarias y de integración.  - Capacidad para traducir con precisión los diseños y wireframes en código.  - Experiencia con sistemas de control de versiones como Git. Qué obtendrás a cambio  - Formarás parte del día a día de una empresa referente en su sector.  - Ambiente de trabajo dinámico con grandes retos.  - Contrato Indefinido.  - Salario 25.000€ - 30.000€  - Modalidad presencial + 1 día de teletrabajo.  - Crecimiento con un programa de formación continua.",,Programador,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Sevilla (Híbrido),https://www.tecnoempleo.com/desarrollador-vue-hibrido/vue-html-css-javascript/rf-afa616a1823a1360c740
Desarrollador Web,Invoin,08/02/2024,"React, Redux, typescript, JavaScript","En Grupo INVOIN necesitamos incorporar a nuestra plantilla un Desarrollador Web Fullstack Senior para participar en un proyecto estable de ingeniería de tráfico y transporte en Madrid con modalidad híbrida de teletrabajo.Características del puestoSalario competitivo y acorde a experiencia aportada.Contratación indefinida, estabilidad y crecimiento profesional.Posibilidad de adquirir beneficios sociales.Incorporación y formación en proyectos desafiantes y tecnológicamente avanzados con un alto componente de Innovación y Desarrollo.Desarrollo de carrera profesional.Agradable ambiente de trabajo, integrándose en un equipo joven.Dedicación:Horarios flexibles (entrada entre las 8h y las 9h).Jornada completa.Jornada intensiva los viernes y en agosto.Teletrabajo: modelo híbrido.Festivos adicionales a las vacaciones: según calendario.Ubicación: Alcobendas (Madrid).RequisitosIngeniería Técnica o Superior en Informática, Telecomunicaciones o similar. Preferiblemente Ingeniería Superior en Informática.Al menos 4 años de experiencia desarrollando soluciones en entornos Web tanto la parte backend como frontend.Nivel de Inglés mínimo B1.Deseable experiencia con herramientas de análisis de código estático (SonarQube).Deseable experiencia en técnicas y tecnologías DevOps.Imprescindible conocimientos en:Front: React, Redux, typescript, JavaScript, CSS y HTMLBack: NodeJS, GO, C# con ASP.netDesarrollo de webservices SOAP, REST-API y jsonLenguaje SQLBases de Datos: SQL Server, MySql y PostgreSQLSubversión, Git e integración continuaEclipse, netbeans, otros.Sistemas Operativos : Linux y WindowsTesting unitario, funcional y test de integración",,Desarrollador Web,Jornada completa,3-5 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/desarrollador-web-hibrido/react-redux-typescript-javascript-css-html-nodej/rf-d550176532c1d33ad840
Desarrollador con Fenergo y .NET,CMV Consultores,09/02/2024,".net, Fenergo, C#, ASP.NET","CMV Consultores es una empresa de Servicios de IT, dedicada fundamentalmente a la selección de profesionales con perfiles técnicos. Asimismo ofrece a sus clientes servicios de asesoría y soporte en la implantación de soluciones tecnológicas y desarrollo de aplicaciones.Desde CMV Consultores, en colaboración con importante partner del sector IT precisamos incorporar un PROGRAMADOR CON EXPERIENCIA EN FENERGO, para participar en un proyecto en colaboración con uno de nuestros socios comerciales más importantes del sector IT.SE REQUIERE:- 3 o 4 años de experiencia- Experiencia en Fenergo, versión 8- Experiencia con ASP.NET y C#Localización: 100% remotoSalario en función de la experiencia aportada",,Desarrollador Web,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-con-fenergo-net-remoto/net-fenergo-c-aspnet/rf-1c751b12d20e237a6948
Desarrollador de Aplicaciones Móviles,Marlex,07/02/2024,"React Native, Swift, Kanban","Desde Marlex estamos colaborando con una compañía de psicotecnología, que se dedica a combinar la tecnología, la IA y la psicología con el objetivo de crear soluciones innovadoras y tecnológicas que ayuden a reducir los problemas de salud mental en la sociedad y que actualmente se encuentra en búsqueda de un/a Desarrollador/a Backend.¿Cuál será tu misión en la empresa?- Desarrollar aplicaciones móviles de alta calidad utilizando React Native a partir de los diseños del equipo de UX/UI.- Colaborar con equipos multidisciplinarios para diseñar y desarrollar solucionesinnovadoras.- Gestión de código fuente y su eficiente construcción..- Gestionar el delivery de las aplicaciones móviles mediante Mobile PaaS.- Garantizar la calidad del código mediante el uso de herramientas como Sonarqubey la adhesión a prácticas de Clean Code.- Asegurar la calidad del software construido a través de un sólido stack de pruebas.- Automatizar procesos de CI/CD relativos a la construcción y delivery de las appsAl perfil seleccionado se le ofrece:- Banda salarial entre 28-40K- Contrato fijo- Horario flexible: lunes a jueves 9:00 a 9:30 de 18:30 a 19 horas y viernes de 8 a 14h.- Modelo híbrido: 2 días de teletrabajo por semana miércoles y viernes- Agosto teletrabajo con horario intensivo: de 8h a 14h- Bonificación por teletrabajo 240€- Crecimiento y desarrollo profesionalRequisitos:Requisitos- Formación universitaria, Grado Superior o Bootcamp- Experiencia de 2-4 años Experiencia demostrable en el desarrollo de aplicaciones móviles con React Native, (deseable Swift y/o Kotlin también).- Conocimiento profundo de la integración de funciones nativas como cámara, GPS ysensores.- Experiencia con SCM: Git, Github, Gitlab y flujos de ramas.- Familiaridad con Mobile PaaS, especialmente soluciones de AWS / Firebase, TestFlight y las tiendas de aplicaciones (Apple Store / Play Store).- Experiencia en aseguramiento de la calidad, incluyendo el uso de Sonarqube, CleanCode, pruebas unitarias, pruebas de módulos, E2E (Espresso / Appium) y pruebas derendimiento tanto en emuladores como en dispositivos reales.",,Desarrollador Móvil,Jornada completa,2 años,Indefinido,,2024-02-10,tecnoempleo,Madrid (Híbrido),https://www.tecnoempleo.com/desarrollador-aplicaciones-moviles-hibrido/react-native-swift-kanban/rf-c84d1b373219a367c54b
Desarrollador fullstack Freelance,HAYS,08/02/2024,"Angular, ionic, node","En HAYS estamos colaborando con una empresa con más de 15 años diseñando soluciones logísticas orientadas a la reducción de costes y a garantizar la calidad de servicios a nuestros clientes.  Trabajan para que las empresas sean capaces de tener mayor adaptabilidad a las necesidades del mercado, realizando una asignación más eficaz de los recursos.  Innovan con el objetivo de lograr cadenas de producción mejor comunicadas que permitan un fluido intercambio de información tanto interna como con los propios clientes. Actualmente estamos buscando un desarrollador fullstack con Angular, para incorporarse a su equipo.¿Cuáles son los requisitos? - Tener experiencia tanto en el front, como en el back: - En la parte de frontend tener experiencia con Angular 12 + redux + ionic.   - En la parte de backend tener experiencia con Node, Express, Mongo db y Sql Server.   ¿Cuáles son las funciones?Migración de stack tecnológico de la herramienta cliente a la nueva herramienta implantada por la compañía, un erp propio de tlsi. ¿Qué ofrecemos? - Modalidad híbrida  - Ubicación: Valencia.  - Proyecto estable.  - Se ajusta al horario que pueda aportar. Estamos esperando perfiles como el tuyo, apasionados con la tecnología y que quiera enfrentarse a un nuevo reto. Si es tu caso, inscríbete en la oferta para que podamos contarte más!",,Programador,Jornada completa,3 años,Indefinido,,2024-02-10,tecnoempleo,Valencia (Híbrido),https://www.tecnoempleo.com/desarrollador-fullstack-freelance-hibrido/angular-ionic-node/rf-781a1d20126f7328ca41
Desarrollador/a .NET,HAYS,02/02/2024,"Net, C#","En HAYS estamos colaborando con una empresa que se dedica a dar servicios de software CRM que han diseñado ellos mismos. En este caso dan servicio a 150 empresas que ya tienen fidelizadas. Ofrecen un CRM para gestionar las actividades empresariales diarias, como la contabilidad, el aprovisionamiento, la gestión de proyectos, la gestión de riesgos, el cumplimiento y las operaciones de la cadena de suministro.Actualmente, buscamos un perfil de Programador/a .NET para incorporarlo a su empresa y colaborar con su equipo de 11 personas, que colabore en el desarrollo de la compañía dado el incremento de la demanda y del volumen de trabajo.¿Cuáles serán tus funciones? Dar respuesta a las distintas solicitudes de desarrollo de las plataformas ERP. Desarrollar a través de .NET Implementar el software que ofrecen a los clientes. Trabajar en la parte de back-office. ¿Cuáles son los requisitos?Experiencia de al menos un año en desarrollo .NET Experiencia en Visual Studio, C++ Conocimientos en VBScript, JavaScript, HTML5, Delphi Bases de datos: SQL Server, Paradox Valorable positivamente conocimiento de herramientas de reporting y BI: Crystal Report, Power BI, QlikView ¿Qué ofrecemos?Flexibilidad horaria. Contrato indefinido con Hays  Modalidad presencial. Proyecto estable. Estamos esperando perfiles como el tuyo, apasionados con la tecnología y que quiera enfrentarse a un nuevo reto. Si es tu caso, inscríbete en la oferta para que podamos contarte más!",,Programador,Jornada completa,1 año,Indefinido,,2024-02-10,tecnoempleo,Cantabria (Presencial),https://www.tecnoempleo.com/desarrollador-net-presencial/net-c/rf-ef38121f32139342db4c
Desarrollador/a Back,CAS TRAINING,09/02/2024,"Springboot, Springcloud","Cas Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a Desarrollador/a Back para un importante proyecto REMOTOAl menos 3 años de experiencia Conocimiento práctico de los lenguajes de programación básicos, la capacidad de entender nuevas tecnologías rápidamente y la capacidad de trabajar en un entorno de equipo. El conocimiento en los siguientes dominios será valorado: o Experiencia y conocimiento en el diseño de patrones, arquitectura, pruebas automáticas y seguridad o Amplia experiencia Spring Boot, Spring Cloud, Spring Data JPA o Programación reactiva: spring webflux, r2dbc. o Arquitecturas Cloud. Se valorará experiencia en Docker, Kubernetes o Conocimientos en APIs (OpenAPI3) o Herramientas de Integración Continua y delivery continuo. o Experiencia en testing (TBD, BDD, frameworks de testing, virtualización de servicios,...) Adicionalmente se valorarán skills y experiencia en: o Metodologías Agiles como SCRUM y Kanban o Comunicación oral y escrita en inglés. o Capacidad analíticaSe ofrece• Formar parte de un equipo joven y dinámico altamente cualificado en una empresa en proceso de expansión.• Participar en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.• Proyectos de larga duración, estabilidad profesional y progresión laboral.• Contratación Indefinida.• Acceso gratuito al catálogo de formación anual de Cas Training.• Salario negociable en base a la experiencia y valía del candidato/a",,Programador,Jornada completa,3 años,Indefinido,27.000 €-30.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-back-remoto/springboot-springcloud/rf-3177199a82c90327ed45
Desarrollador/a Back,CAS TRAINING,09/02/2024,"Springboot, Springcloud","Cas Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a Desarrollador/a Back para un importante proyecto REMOTOAl menos 3 años de experiencia Conocimiento práctico de los lenguajes de programación básicos, la capacidad de entender nuevas tecnologías rápidamente y la capacidad de trabajar en un entorno de equipo. El conocimiento en los siguientes dominios será valorado: o Experiencia y conocimiento en el diseño de patrones, arquitectura, pruebas automáticas y seguridad o Amplia experiencia Spring Boot, Spring Cloud, Spring Data JPA o Programación reactiva: spring webflux, r2dbc. o Arquitecturas Cloud. Se valorará experiencia en Docker, Kubernetes o Conocimientos en APIs (OpenAPI3) o Herramientas de Integración Continua y delivery continuo. o Experiencia en testing (TBD, BDD, frameworks de testing, virtualización de servicios,...) Adicionalmente se valorarán skills y experiencia en: o Metodologías Agiles como SCRUM y Kanban o Comunicación oral y escrita en inglés. o Capacidad analíticaSe ofrece• Formar parte de un equipo joven y dinámico altamente cualificado en una empresa en proceso de expansión.• Participar en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.• Proyectos de larga duración, estabilidad profesional y progresión laboral.• Contratación Indefinida.• Acceso gratuito al catálogo de formación anual de Cas Training.• Salario negociable en base a la experiencia y valía del candidato/a",,Programador,Jornada completa,3 años,Indefinido,27.000 €-30.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-back-remoto/springboot-springcloud/rf-3177199a82c90327ed45
Desarrollador/a Back,CAS TRAINING,09/02/2024,"Springboot, Springcloud","Cas Training, empresa de referencia con más de 20 años en consultoría tecnológica, outsourcing y formación especializada, selecciona a Desarrollador/a Back para un importante proyecto REMOTOAl menos 3 años de experiencia Conocimiento práctico de los lenguajes de programación básicos, la capacidad de entender nuevas tecnologías rápidamente y la capacidad de trabajar en un entorno de equipo. El conocimiento en los siguientes dominios será valorado: o Experiencia y conocimiento en el diseño de patrones, arquitectura, pruebas automáticas y seguridad o Amplia experiencia Spring Boot, Spring Cloud, Spring Data JPA o Programación reactiva: spring webflux, r2dbc. o Arquitecturas Cloud. Se valorará experiencia en Docker, Kubernetes o Conocimientos en APIs (OpenAPI3) o Herramientas de Integración Continua y delivery continuo. o Experiencia en testing (TBD, BDD, frameworks de testing, virtualización de servicios,...) Adicionalmente se valorarán skills y experiencia en: o Metodologías Agiles como SCRUM y Kanban o Comunicación oral y escrita en inglés. o Capacidad analíticaSe ofrece• Formar parte de un equipo joven y dinámico altamente cualificado en una empresa en proceso de expansión.• Participar en proyectos innovadores y punteros para grandes clientes de primer nivel en distintos sectores de mercado.• Proyectos de larga duración, estabilidad profesional y progresión laboral.• Contratación Indefinida.• Acceso gratuito al catálogo de formación anual de Cas Training.• Salario negociable en base a la experiencia y valía del candidato/a",,Programador,Jornada completa,3 años,Indefinido,27.000 €-30.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-back-remoto/springboot-springcloud/rf-3177199a82c90327ed45
Desarrollador/a Back-End NodeJS,arelance,08/02/2024,"nodejs, APIs, Rest, SOAP","En Arelance sabemos que las personas son el activo más importante dentro de una empresa y por tanto invertimos muchos esfuerzos en buscar los mejores profesionales para nuestros clientes, y en ofrecer a nuestros candidatos los mejores proyectos.En este momento, buscamos profesionales con experiencia en desarrollo back con NodeJS¿Qué buscamos en ti?- Experiencia en desarrollo Back End con Node.JS- Gestión de APIs Rest y SOAP- SQLValorable:- Experiencia con AWS,  Heroku- Desarrollo front, Angular¿Qué ofrecemos?- Incorporación en un proyecto estable- Contrato indefinido- Acceso a formación- Modalidad: remotoSi tienes interés en una gran oportunidad como ésta, ¡inscríbete! ¡Queremos conocerte!",,Programador,Jornada completa,3 años,Indefinido,27.000 €-36.000 € Bruto/año,2024-02-10,tecnoempleo,100% En remoto,https://www.tecnoempleo.com/desarrollador-back-end-nodejs-remoto/nodejs-apis-rest-soap-sql-angular/rf-b3c413e592fe336cb147
